Indicator,Disaggregation combinations using this value
#1-2-1,1
#1-2-2,4
#1-3-1,8
#1-5-1,276
#10-3-1,4
#11-5-1,276
#11-7-2,1
#13-1-1,276
#16-1-4,4
#16-3-2,4
#16-6-2,40
#16-b-1,4
#17-8-1,4
#2-2-2,1
#2-2-E1,1
#3-2-1,4
#3-2-2,4
#3-3-1,1
#3-3-2,1
#3-3-3,1
#3-3-4,1
#3-4-1,20
#3-4-2,4
#3-4-E1,1
#3-4-E2,4
#3-5-1,3
#3-6-1,4
#3-8-1,1
#3-9-3,4
#3-a-1,4
#3-c-1,20
#4-1-1,2
#4-1-E1,1
#4-2-2,270
#4-3-1,13
#4-4-1,96
#4-6-1,2
#5-4-1,4
#5-a-1,4
#5-b-1,4
#8-10-2,1
#8-5-1,1
#8-5-2,275
#8-5-E1,275
#8-6-1,4
#8-8-1,8
#9-2-2,4
#9-5-2,4
