Indicator,Disaggregation combinations using this value
#1-1-1,1
#1-2-1,3
#1-2-2,12
#1-3-1,24
#1-4-1,550
#1-5-2,4
#1-5-4,552
#1-a-2,4
#10-1-1,10
#10-2-1,1
#10-4-1,4
#10-4-2,1
#11-1-1,1
#11-3-2,1
#11-5-2,4
#11-6-1,16
#11-7-1,1
#11-a-1,1
#11-b-2,552
#12-4-2,16
#12-5-1,4
#13-1-3,552
#13-2-2,2
#14-5-1,1
#15-1-1,275
#15-1-2,4
#15-1-E1,7
#15-2-1,1
#15-3-1,1
#15-4-2,1
#16-1-4,12
#16-1-E1,4
#16-3-2,12
#16-6-1,2
#16-6-2,120
#16-9-1,1
#17-1-1,4
#17-1-2,2
#17-13-1,15
#17-2-1,1
#17-3-1,1
#17-3-2,1
#17-8-1,12
#2-1-2,2
#2-2-2,3
#2-2-E1,3
#2-4-1,2
#2-4-E1,274
#2-a-1,275
#3-1-2,4
#3-4-1,3
#3-4-E1,4
#3-7-1,1
#3-8-1,3
#3-8-2,2
#3-a-1,12
#3-b-1,4
#4-1-1,6
#4-1-2,2
#4-1-E1,3
#4-2-2,12
#4-3-1,39
#4-4-1,288
#4-6-1,6
#4-a-1,5
#4-c-1,4
#5-1-1,4
#5-3-1,4
#5-5-1,12
#5-5-2,12
#5-a-1,24
#5-b-1,12
#6-1-1,1
#6-2-1,550
#6-3-1,2
#6-3-2,3
#6-5-2,1
#6-b-1,2
#7-1-1,1
#7-1-2,1
#7-2-1,1
#8-1-1,4
#8-10-2,3
#8-2-1,4
#8-5-1,1
#8-5-2,831
#8-5-E1,837
#8-6-1,12
#8-9-1,8
#8-b-1,1
#9-1-1,4
#9-2-1,4
#9-2-2,12
#9-3-1,4
#9-5-1,4
#9-b-1,1
#9-c-1,12
