Year,Series,Units,Value
2014,Official Development Assistance for poverty reduction (total gross disbursement),Millions of euros,6.84
2015,Official Development Assistance for poverty reduction (total gross disbursement),Millions of euros,6.13
2016,Official Development Assistance for poverty reduction (total gross disbursement),Millions of euros,6.94
2017,Official Development Assistance for poverty reduction (total gross disbursement),Millions of euros,8.34
2018,Official Development Assistance for poverty reduction (total gross disbursement),Millions of euros,7.92
2019,Official Development Assistance for poverty reduction (total gross disbursement),Millions of euros,6.11
2020,Official Development Assistance for poverty reduction (total gross disbursement),Millions of euros,4.99
2021,Official Development Assistance for poverty reduction (total gross disbursement),Millions of euros,7.2
2022,Official Development Assistance for poverty reduction (total gross disbursement),Millions of euros,6.88
2023,Official Development Assistance for poverty reduction (total gross disbursement),Millions of euros,6.1
2024,Official Development Assistance for poverty reduction (total gross disbursement),Millions of euros,5.91
