Year,Series,PM,Units,Value
2014,EN_ATM_PM25,PM25,GPERM3,9.2
2021,EN_ATM_PM25,PM25,GPERM3,10.0
2013,EN_ATM_PM25,PM25,GPERM3,10.5
2018,EN_ATM_PM25,PM25,GPERM3,9.9
2011,EN_ATM_PM25,PM25,GPERM3,11.1
2020,EN_ATM_PM25,PM25,GPERM3,8.8
2019,EN_ATM_PM25,PM25,GPERM3,9.0
2015,EN_ATM_PM25,PM25,GPERM3,10.1
2010,EN_ATM_PM25,PM25,GPERM3,11.3
2022,EN_ATM_PM25,PM25,GPERM3,10.4
2016,EN_ATM_PM25,PM25,GPERM3,8.6
2017,EN_ATM_PM25,PM25,GPERM3,9.8
2012,EN_ATM_PM25,PM25,GPERM3,10.1
2022,EN_ATM_PM25,PM10,GPERM3,17.7
2015,EN_ATM_PM25,PM10,GPERM3,17.9
2019,EN_ATM_PM25,PM10,GPERM3,16.3
2010,EN_ATM_PM25,PM10,GPERM3,24.2
2021,EN_ATM_PM25,PM10,GPERM3,16.1
2011,EN_ATM_PM25,PM10,GPERM3,27.0
2017,EN_ATM_PM25,PM10,GPERM3,17.9
2012,EN_ATM_PM25,PM10,GPERM3,26.7
2018,EN_ATM_PM25,PM10,GPERM3,16.7
2013,EN_ATM_PM25,PM10,GPERM3,15.9
2016,EN_ATM_PM25,PM10,GPERM3,15.3
2020,EN_ATM_PM25,PM10,GPERM3,15.6
2014,EN_ATM_PM25,PM10,GPERM3,17.4
