Year,Sex,Units,Value
2018,,"Per 100,000",16.0
2023,,"Per 100,000",29.8
2021,,"Per 100,000",18.2
2022,,"Per 100,000",21.2
2019,,"Per 100,000",17.5
2024,,"Per 100,000",34.6
2016,,"Per 100,000",14.3
2017,,"Per 100,000",15.8
2020,,"Per 100,000",15.9
2015,,"Per 100,000",6.5
2017,Female,"Per 100,000",20.4
2016,Female,"Per 100,000",19.5
2019,Female,"Per 100,000",22.0
2018,Female,"Per 100,000",19.7
2015,Female,"Per 100,000",9.2
2020,Female,"Per 100,000",21.0
2021,Female,"Per 100,000",24.9
2022,Female,"Per 100,000",27.2
2023,Female,"Per 100,000",39.2
2024,Female,"Per 100,000",41.6
2022,Male,"Per 100,000",14.8
2018,Male,"Per 100,000",12.1
2016,Male,"Per 100,000",8.9
2015,Male,"Per 100,000",3.7
2023,Male,"Per 100,000",20.0
2024,Male,"Per 100,000",27.2
2019,Male,"Per 100,000",12.8
2020,Male,"Per 100,000",10.6
2017,Male,"Per 100,000",10.9
2021,Male,"Per 100,000",11.2
