Year,Series,Institution,Province,Units,Value
2010,Proportion of women in parliament relative to the proportion of women in the population,,,Ratio,0.91
2011,Proportion of women in parliament relative to the proportion of women in the population,,,Ratio,0.91
2023,Proportion of women in parliament relative to the proportion of women in the population,,,Ratio,0.99
2014,Proportion of women in parliament relative to the proportion of women in the population,,,Ratio,0.99
2018,Proportion of women in parliament relative to the proportion of women in the population,,,Ratio,1.07
2021,Proportion of women in parliament relative to the proportion of women in the population,,,Ratio,1.01
2017,Proportion of women in parliament relative to the proportion of women in the population,,,Ratio,1.07
2022,Proportion of women in parliament relative to the proportion of women in the population,,,Ratio,1.01
2015,Proportion of women in parliament relative to the proportion of women in the population,,,Ratio,0.99
2020,Proportion of women in parliament relative to the proportion of women in the population,,,Ratio,1.01
2013,Proportion of women in parliament relative to the proportion of women in the population,,,Ratio,0.99
2019,Proportion of women in parliament relative to the proportion of women in the population,,,Ratio,1.07
2016,Proportion of women in parliament relative to the proportion of women in the population,,,Ratio,1.07
2012,Proportion of women in parliament relative to the proportion of women in the population,,,Ratio,0.99
2022,Proportion of women in public administration relative to the proportion of women in the population,,,Ratio,1.23
2014,Proportion of women in public administration relative to the proportion of women in the population,,,Ratio,1.16
2015,Proportion of women in public administration relative to the proportion of women in the population,,,Ratio,1.16
2018,Proportion of women in public administration relative to the proportion of women in the population,,,Ratio,1.16
2012,Proportion of women in public administration relative to the proportion of women in the population,,,Ratio,1.14
2023,Proportion of women in public administration relative to the proportion of women in the population,,,Ratio,1.29
2010,Proportion of women in public administration relative to the proportion of women in the population,,,Ratio,1.13
2013,Proportion of women in public administration relative to the proportion of women in the population,,,Ratio,1.15
2017,Proportion of women in public administration relative to the proportion of women in the population,,,Ratio,1.19
2019,Proportion of women in public administration relative to the proportion of women in the population,,,Ratio,1.21
2011,Proportion of women in public administration relative to the proportion of women in the population,,,Ratio,1.12
2016,Proportion of women in public administration relative to the proportion of women in the population,,,Ratio,1.17
2020,Proportion of women in public administration relative to the proportion of women in the population,,,Ratio,1.22
2021,Proportion of women in public administration relative to the proportion of women in the population,,,Ratio,1.23
2013,Proportion of women in public administration relative to the proportion of women in the population,,Araba/Álava,Ratio,1.19
2015,Proportion of women in public administration relative to the proportion of women in the population,,Araba/Álava,Ratio,1.2
2023,Proportion of women in public administration relative to the proportion of women in the population,,Araba/Álava,Ratio,1.28
2018,Proportion of women in public administration relative to the proportion of women in the population,,Araba/Álava,Ratio,1.22
2011,Proportion of women in public administration relative to the proportion of women in the population,,Araba/Álava,Ratio,1.16
2014,Proportion of women in public administration relative to the proportion of women in the population,,Araba/Álava,Ratio,1.2
2022,Proportion of women in public administration relative to the proportion of women in the population,,Araba/Álava,Ratio,1.27
2021,Proportion of women in public administration relative to the proportion of women in the population,,Araba/Álava,Ratio,1.25
2012,Proportion of women in public administration relative to the proportion of women in the population,,Araba/Álava,Ratio,1.18
2016,Proportion of women in public administration relative to the proportion of women in the population,,Araba/Álava,Ratio,1.21
2010,Proportion of women in public administration relative to the proportion of women in the population,,Araba/Álava,Ratio,1.16
2019,Proportion of women in public administration relative to the proportion of women in the population,,Araba/Álava,Ratio,1.24
2020,Proportion of women in public administration relative to the proportion of women in the population,,Araba/Álava,Ratio,1.24
2017,Proportion of women in public administration relative to the proportion of women in the population,,Araba/Álava,Ratio,1.22
2017,Proportion of women in public administration relative to the proportion of women in the population,,Bizkaia,Ratio,1.17
2021,Proportion of women in public administration relative to the proportion of women in the population,,Bizkaia,Ratio,1.21
2018,Proportion of women in public administration relative to the proportion of women in the population,,Bizkaia,Ratio,1.12
2015,Proportion of women in public administration relative to the proportion of women in the population,,Bizkaia,Ratio,1.14
2016,Proportion of women in public administration relative to the proportion of women in the population,,Bizkaia,Ratio,1.14
2011,Proportion of women in public administration relative to the proportion of women in the population,,Bizkaia,Ratio,1.1
2012,Proportion of women in public administration relative to the proportion of women in the population,,Bizkaia,Ratio,1.11
2010,Proportion of women in public administration relative to the proportion of women in the population,,Bizkaia,Ratio,1.11
2023,Proportion of women in public administration relative to the proportion of women in the population,,Bizkaia,Ratio,1.29
2020,Proportion of women in public administration relative to the proportion of women in the population,,Bizkaia,Ratio,1.2
2013,Proportion of women in public administration relative to the proportion of women in the population,,Bizkaia,Ratio,1.12
2014,Proportion of women in public administration relative to the proportion of women in the population,,Bizkaia,Ratio,1.13
2019,Proportion of women in public administration relative to the proportion of women in the population,,Bizkaia,Ratio,1.19
2022,Proportion of women in public administration relative to the proportion of women in the population,,Bizkaia,Ratio,1.21
2020,Proportion of women in public administration relative to the proportion of women in the population,,Gipuzkoa,Ratio,1.24
2010,Proportion of women in public administration relative to the proportion of women in the population,,Gipuzkoa,Ratio,1.15
2019,Proportion of women in public administration relative to the proportion of women in the population,,Gipuzkoa,Ratio,1.23
2013,Proportion of women in public administration relative to the proportion of women in the population,,Gipuzkoa,Ratio,1.18
2014,Proportion of women in public administration relative to the proportion of women in the population,,Gipuzkoa,Ratio,1.17
2011,Proportion of women in public administration relative to the proportion of women in the population,,Gipuzkoa,Ratio,1.14
2022,Proportion of women in public administration relative to the proportion of women in the population,,Gipuzkoa,Ratio,1.23
2015,Proportion of women in public administration relative to the proportion of women in the population,,Gipuzkoa,Ratio,1.18
2017,Proportion of women in public administration relative to the proportion of women in the population,,Gipuzkoa,Ratio,1.21
2021,Proportion of women in public administration relative to the proportion of women in the population,,Gipuzkoa,Ratio,1.25
2012,Proportion of women in public administration relative to the proportion of women in the population,,Gipuzkoa,Ratio,1.17
2023,Proportion of women in public administration relative to the proportion of women in the population,,Gipuzkoa,Ratio,1.31
2016,Proportion of women in public administration relative to the proportion of women in the population,,Gipuzkoa,Ratio,1.19
2018,Proportion of women in public administration relative to the proportion of women in the population,,Gipuzkoa,Ratio,1.17
2023,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,,Ratio,1.4
2016,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,,Ratio,1.34
2022,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,,Ratio,1.34
2012,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,,Ratio,1.32
2018,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,,Ratio,1.3
2013,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,,Ratio,1.33
2015,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,,Ratio,1.33
2020,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,,Ratio,1.34
2010,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,,Ratio,1.31
2014,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,,Ratio,1.33
2011,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,,Ratio,1.31
2017,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,,Ratio,1.35
2019,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,,Ratio,1.37
2021,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,,Ratio,1.36
2022,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,Araba/Álava,Ratio,1.32
2023,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,Araba/Álava,Ratio,1.32
2016,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,Araba/Álava,Ratio,1.31
2021,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,Araba/Álava,Ratio,1.33
2014,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,Araba/Álava,Ratio,1.31
2019,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,Araba/Álava,Ratio,1.34
2011,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,Araba/Álava,Ratio,1.29
2020,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,Araba/Álava,Ratio,1.32
2015,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,Araba/Álava,Ratio,1.32
2018,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,Araba/Álava,Ratio,1.31
2012,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,Araba/Álava,Ratio,1.29
2013,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,Araba/Álava,Ratio,1.3
2010,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,Araba/Álava,Ratio,1.28
2017,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,Araba/Álava,Ratio,1.32
2017,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,Bizkaia,Ratio,1.33
2015,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,Bizkaia,Ratio,1.32
2023,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,Bizkaia,Ratio,1.41
2022,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,Bizkaia,Ratio,1.33
2020,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,Bizkaia,Ratio,1.32
2021,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,Bizkaia,Ratio,1.33
2018,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,Bizkaia,Ratio,1.26
2016,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,Bizkaia,Ratio,1.32
2010,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,Bizkaia,Ratio,1.3
2011,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,Bizkaia,Ratio,1.29
2012,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,Bizkaia,Ratio,1.3
2019,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,Bizkaia,Ratio,1.35
2013,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,Bizkaia,Ratio,1.31
2014,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,Bizkaia,Ratio,1.32
2010,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,Gipuzkoa,Ratio,1.34
2020,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,Gipuzkoa,Ratio,1.4
2013,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,Gipuzkoa,Ratio,1.38
2015,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,Gipuzkoa,Ratio,1.37
2011,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,Gipuzkoa,Ratio,1.35
2022,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,Gipuzkoa,Ratio,1.39
2017,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,Gipuzkoa,Ratio,1.4
2019,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,Gipuzkoa,Ratio,1.42
2014,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,Gipuzkoa,Ratio,1.37
2016,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,Gipuzkoa,Ratio,1.38
2023,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,Gipuzkoa,Ratio,1.47
2018,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,Gipuzkoa,Ratio,1.34
2012,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,Gipuzkoa,Ratio,1.37
2021,Proportion of women in public administration relative to the proportion of women in the population,Regional Public Sector,Gipuzkoa,Ratio,1.42
2016,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,,Ratio,1.03
2012,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,,Ratio,1.0
2014,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,,Ratio,1.0
2023,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,,Ratio,1.12
2010,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,,Ratio,1.0
2018,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,,Ratio,1.08
2021,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,,Ratio,1.11
2022,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,,Ratio,1.13
2011,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,,Ratio,1.0
2020,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,,Ratio,1.11
2015,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,,Ratio,1.01
2017,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,,Ratio,1.07
2019,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,,Ratio,1.09
2013,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,,Ratio,1.01
2022,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,Araba/Álava,Ratio,1.28
2020,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,Araba/Álava,Ratio,1.27
2010,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,Araba/Álava,Ratio,1.2
2015,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,Araba/Álava,Ratio,1.22
2019,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,Araba/Álava,Ratio,1.24
2016,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,Araba/Álava,Ratio,1.24
