Year,Series,Economic activity,Units,Value
2022,Ammonia emissions from agriculture and livestock per hectare,,Kg per hectare,18.0
2018,Ammonia emissions from agriculture and livestock per hectare,,Kg per hectare,18.2
2012,Ammonia emissions from agriculture and livestock per hectare,,Kg per hectare,19.2
2011,Ammonia emissions from agriculture and livestock per hectare,,Kg per hectare,18.6
2017,Ammonia emissions from agriculture and livestock per hectare,,Kg per hectare,19.2
2021,Ammonia emissions from agriculture and livestock per hectare,,Kg per hectare,18.1
2019,Ammonia emissions from agriculture and livestock per hectare,,Kg per hectare,18.4
2010,Ammonia emissions from agriculture and livestock per hectare,,Kg per hectare,19.6
2016,Ammonia emissions from agriculture and livestock per hectare,,Kg per hectare,19.2
2015,Ammonia emissions from agriculture and livestock per hectare,,Kg per hectare,19.1
2014,Ammonia emissions from agriculture and livestock per hectare,,Kg per hectare,19.3
2023,Ammonia emissions from agriculture and livestock per hectare,,Kg per hectare,16.1
2020,Ammonia emissions from agriculture and livestock per hectare,,Kg per hectare,18.5
2013,Ammonia emissions from agriculture and livestock per hectare,,Kg per hectare,18.6
2012,Ammonia emissions from agriculture and livestock per hectare,Agriculture,Kg per hectare,38.3
2021,Ammonia emissions from agriculture and livestock per hectare,Agriculture,Kg per hectare,35.2
2017,Ammonia emissions from agriculture and livestock per hectare,Agriculture,Kg per hectare,40.2
2016,Ammonia emissions from agriculture and livestock per hectare,Agriculture,Kg per hectare,39.4
2010,Ammonia emissions from agriculture and livestock per hectare,Agriculture,Kg per hectare,38.1
2011,Ammonia emissions from agriculture and livestock per hectare,Agriculture,Kg per hectare,36.3
2013,Ammonia emissions from agriculture and livestock per hectare,Agriculture,Kg per hectare,39.1
2018,Ammonia emissions from agriculture and livestock per hectare,Agriculture,Kg per hectare,37.0
2019,Ammonia emissions from agriculture and livestock per hectare,Agriculture,Kg per hectare,37.0
2015,Ammonia emissions from agriculture and livestock per hectare,Agriculture,Kg per hectare,38.7
2023,Ammonia emissions from agriculture and livestock per hectare,Agriculture,Kg per hectare,30.8
2014,Ammonia emissions from agriculture and livestock per hectare,Agriculture,Kg per hectare,38.9
2020,Ammonia emissions from agriculture and livestock per hectare,Agriculture,Kg per hectare,36.1
