Year,Province,County,Municipality,Units,GeoCode,Value
2021,,,,PT,CAE,0.8
2011,,,,PT,CAE,0.7
2017,,,,PT,CAE,0.9
2019,,,,PT,CAE,0.8
2014,,,,PT,CAE,0.7
2010,,,,PT,CAE,0.7
2018,,,,PT,CAE,0.8
2012,,,,PT,CAE,0.8
2016,,,,PT,CAE,0.7
2022,,,,PT,CAE,0.8
2020,,,,PT,CAE,0.7
2013,,,,PT,CAE,0.8
2015,,,,PT,CAE,0.7
2023,,,,PT,CAE,0.8
2015,,,Abadiño,PT,Abadiño,0.2
2016,,,Abadiño,PT,Abadiño,0.2
2019,,,Abadiño,PT,Abadiño,0.2
2018,,,Abadiño,PT,Abadiño,0.2
2017,,,Abadiño,PT,Abadiño,0.2
2021,,,Abadiño,PT,Abadiño,0.2
2014,,,Abadiño,PT,Abadiño,0.2
2020,,,Abadiño,PT,Abadiño,0.3
2019,,,Abaltzisketa,PT,Abaltzisketa,5.8
2016,,,Abaltzisketa,PT,Abaltzisketa,6.9
2015,,,Abaltzisketa,PT,Abaltzisketa,8.8
2018,,,Abaltzisketa,PT,Abaltzisketa,5.1
2020,,,Abaltzisketa,PT,Abaltzisketa,5.9
2017,,,Abaltzisketa,PT,Abaltzisketa,6.3
2014,,,Abaltzisketa,PT,Abaltzisketa,6.0
2021,,,Abaltzisketa,PT,Abaltzisketa,7.1
2016,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,0.3
2018,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,0.2
2014,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,0.4
2020,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,0.2
2021,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,0.2
2017,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,0.2
2019,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,0.2
2015,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,0.3
2015,,,Aduna,PT,Aduna,0.7
2021,,,Aduna,PT,Aduna,0.4
2019,,,Aduna,PT,Aduna,0.5
2016,,,Aduna,PT,Aduna,0.6
2020,,,Aduna,PT,Aduna,0.3
2018,,,Aduna,PT,Aduna,0.4
2017,,,Aduna,PT,Aduna,0.6
2014,,,Aduna,PT,Aduna,0.5
2021,,,Agurain/Salvatierra,PT,Agurain/Salvatierra,1.4
2014,,,Agurain/Salvatierra,PT,Agurain/Salvatierra,2.6
2018,,,Agurain/Salvatierra,PT,Agurain/Salvatierra,1.4
2017,,,Agurain/Salvatierra,PT,Agurain/Salvatierra,1.6
2019,,,Agurain/Salvatierra,PT,Agurain/Salvatierra,1.4
2015,,,Agurain/Salvatierra,PT,Agurain/Salvatierra,2.4
2016,,,Agurain/Salvatierra,PT,Agurain/Salvatierra,2.0
2020,,,Agurain/Salvatierra,PT,Agurain/Salvatierra,1.3
2016,,,Aia,PT,Aia,4.2
2017,,,Aia,PT,Aia,4.7
2021,,,Aia,PT,Aia,4.2
2015,,,Aia,PT,Aia,4.7
2020,,,Aia,PT,Aia,4.4
2014,,,Aia,PT,Aia,4.8
2019,,,Aia,PT,Aia,4.5
2018,,,Aia,PT,Aia,3.8
2021,,,Aizarnazabal,PT,Aizarnazabal,0.8
2014,,,Aizarnazabal,PT,Aizarnazabal,0.8
2018,,,Aizarnazabal,PT,Aizarnazabal,0.9
2019,,,Aizarnazabal,PT,Aizarnazabal,0.9
2015,,,Aizarnazabal,PT,Aizarnazabal,1.0
2020,,,Aizarnazabal,PT,Aizarnazabal,1.1
2017,,,Aizarnazabal,PT,Aizarnazabal,0.9
2016,,,Aizarnazabal,PT,Aizarnazabal,0.9
2019,,,Ajangiz,PT,Ajangiz,0.9
2021,,,Ajangiz,PT,Ajangiz,0.9
2018,,,Ajangiz,PT,Ajangiz,0.7
2014,,,Ajangiz,PT,Ajangiz,0.8
2020,,,Ajangiz,PT,Ajangiz,0.9
2017,,,Ajangiz,PT,Ajangiz,0.9
2016,,,Ajangiz,PT,Ajangiz,0.9
2015,,,Ajangiz,PT,Ajangiz,0.8
2014,,,Albiztur,PT,Albiztur,4.4
2019,,,Albiztur,PT,Albiztur,3.7
2017,,,Albiztur,PT,Albiztur,4.2
2015,,,Albiztur,PT,Albiztur,3.6
2020,,,Albiztur,PT,Albiztur,3.2
2021,,,Albiztur,PT,Albiztur,3.3
2016,,,Albiztur,PT,Albiztur,3.8
2018,,,Albiztur,PT,Albiztur,2.9
2021,,,Alegia,PT,Alegia,0.6
2019,,,Alegia,PT,Alegia,0.8
2020,,,Alegia,PT,Alegia,0.6
2015,,,Alegia,PT,Alegia,0.6
2014,,,Alegia,PT,Alegia,0.7
2018,,,Alegia,PT,Alegia,0.6
2016,,,Alegia,PT,Alegia,0.7
2017,,,Alegia,PT,Alegia,0.8
2015,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,3.3
2017,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,3.7
2014,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,2.3
2018,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,3.6
2016,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,3.0
2019,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,3.1
2021,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,3.3
2020,,,Alegría-Dulantzi,PT,Alegría-Dulantzi,2.8
2015,,,Alkiza,PT,Alkiza,9.5
2014,,,Alkiza,PT,Alkiza,7.9
2020,,,Alkiza,PT,Alkiza,10.4
2016,,,Alkiza,PT,Alkiza,8.5
2017,,,Alkiza,PT,Alkiza,10.2
2018,,,Alkiza,PT,Alkiza,8.5
2019,,,Alkiza,PT,Alkiza,10.2
2021,,,Alkiza,PT,Alkiza,11.0
2015,,,Alonsotegi,PT,Alonsotegi,0.5
2021,,,Alonsotegi,PT,Alonsotegi,1.0
2014,,,Alonsotegi,PT,Alonsotegi,0.6
2018,,,Alonsotegi,PT,Alonsotegi,0.6
2017,,,Alonsotegi,PT,Alonsotegi,0.7
2019,,,Alonsotegi,PT,Alonsotegi,0.7
2016,,,Alonsotegi,PT,Alonsotegi,0.7
2020,,,Alonsotegi,PT,Alonsotegi,0.7
2019,,,Altzaga,PT,Altzaga,4.5
2016,,,Altzaga,PT,Altzaga,4.9
2020,,,Altzaga,PT,Altzaga,4.3
2017,,,Altzaga,PT,Altzaga,5.4
2021,,,Altzaga,PT,Altzaga,5.8
