Year,Series,Sex,Province,Units,Value
2012,Life expectancy at birth,,,Years,82.48
2022,Life expectancy at birth,,,Years,83.35
2010,Life expectancy at birth,,,Years,82.27
2017,Life expectancy at birth,,,Years,83.41
2015,Life expectancy at birth,,,Years,83.11
2021,Life expectancy at birth,,,Years,83.57
2018,Life expectancy at birth,,,Years,83.53
2024,Life expectancy at birth,,,Years,84.39
2019,Life expectancy at birth,,,Years,83.77
2014,Life expectancy at birth,,,Years,83.09
2013,Life expectancy at birth,,,Years,82.99
2011,Life expectancy at birth,,,Years,82.38
2016,Life expectancy at birth,,,Years,83.33
2020,Life expectancy at birth,,,Years,83.57
2023,Life expectancy at birth,,,Years,83.98
2018,Life expectancy at birth,,Araba/Álava,Years,84.01
2011,Life expectancy at birth,,Araba/Álava,Years,83.03
2010,Life expectancy at birth,,Araba/Álava,Years,82.87
2017,Life expectancy at birth,,Araba/Álava,Years,84.13
2015,Life expectancy at birth,,Araba/Álava,Years,83.69
2013,Life expectancy at birth,,Araba/Álava,Years,83.63
2020,Life expectancy at birth,,Araba/Álava,Years,84.13
2021,Life expectancy at birth,,Araba/Álava,Years,84.24
2023,Life expectancy at birth,,Araba/Álava,Years,84.69
2022,Life expectancy at birth,,Araba/Álava,Years,83.86
2016,Life expectancy at birth,,Araba/Álava,Years,83.97
2019,Life expectancy at birth,,Araba/Álava,Years,84.26
2012,Life expectancy at birth,,Araba/Álava,Years,83.37
2014,Life expectancy at birth,,Araba/Álava,Years,83.57
2024,Life expectancy at birth,,Araba/Álava,Years,84.73
2017,Life expectancy at birth,,Bizkaia,Years,83.27
2024,Life expectancy at birth,,Bizkaia,Years,84.39
2011,Life expectancy at birth,,Bizkaia,Years,81.99
2016,Life expectancy at birth,,Bizkaia,Years,83.06
2015,Life expectancy at birth,,Bizkaia,Years,83.0
2020,Life expectancy at birth,,Bizkaia,Years,83.27
2019,Life expectancy at birth,,Bizkaia,Years,83.48
2023,Life expectancy at birth,,Bizkaia,Years,83.9
2013,Life expectancy at birth,,Bizkaia,Years,82.83
2010,Life expectancy at birth,,Bizkaia,Years,81.96
2022,Life expectancy at birth,,Bizkaia,Years,83.42
2018,Life expectancy at birth,,Bizkaia,Years,83.49
2014,Life expectancy at birth,,Bizkaia,Years,82.95
2012,Life expectancy at birth,,Bizkaia,Years,82.2
2021,Life expectancy at birth,,Bizkaia,Years,83.48
2015,Life expectancy at birth,,Gipuzkoa,Years,83.06
2021,Life expectancy at birth,,Gipuzkoa,Years,83.4
2023,Life expectancy at birth,,Gipuzkoa,Years,83.81
2022,Life expectancy at birth,,Gipuzkoa,Years,83.06
2014,Life expectancy at birth,,Gipuzkoa,Years,83.1
2017,Life expectancy at birth,,Gipuzkoa,Years,83.35
2012,Life expectancy at birth,,Gipuzkoa,Years,82.58
2013,Life expectancy at birth,,Gipuzkoa,Years,83.0
2016,Life expectancy at birth,,Gipuzkoa,Years,83.51
2018,Life expectancy at birth,,Gipuzkoa,Years,83.4
2024,Life expectancy at birth,,Gipuzkoa,Years,84.26
2020,Life expectancy at birth,,Gipuzkoa,Years,83.78
2010,Life expectancy at birth,,Gipuzkoa,Years,82.54
2019,Life expectancy at birth,,Gipuzkoa,Years,84.03
2011,Life expectancy at birth,,Gipuzkoa,Years,82.73
2015,Life expectancy at birth,Female,,Years,85.99
2020,Life expectancy at birth,Female,,Years,86.3
2024,Life expectancy at birth,Female,,Years,86.98
2012,Life expectancy at birth,Female,,Years,85.58
2010,Life expectancy at birth,Female,,Years,85.55
2011,Life expectancy at birth,Female,,Years,85.55
2013,Life expectancy at birth,Female,,Years,86.05
2022,Life expectancy at birth,Female,,Years,86.05
2016,Life expectancy at birth,Female,,Years,86.16
2017,Life expectancy at birth,Female,,Years,86.31
2019,Life expectancy at birth,Female,,Years,86.55
2018,Life expectancy at birth,Female,,Years,86.35
2021,Life expectancy at birth,Female,,Years,86.38
2023,Life expectancy at birth,Female,,Years,86.64
2014,Life expectancy at birth,Female,,Years,86.1
2017,Life expectancy at birth,Female,Araba/Álava,Years,86.94
2010,Life expectancy at birth,Female,Araba/Álava,Years,86.12
2024,Life expectancy at birth,Female,Araba/Álava,Years,87.29
2011,Life expectancy at birth,Female,Araba/Álava,Years,85.93
2013,Life expectancy at birth,Female,Araba/Álava,Years,86.65
2023,Life expectancy at birth,Female,Araba/Álava,Years,87.27
2020,Life expectancy at birth,Female,Araba/Álava,Years,86.86
2018,Life expectancy at birth,Female,Araba/Álava,Years,86.76
2016,Life expectancy at birth,Female,Araba/Álava,Years,86.45
2019,Life expectancy at birth,Female,Araba/Álava,Years,87.6
2015,Life expectancy at birth,Female,Araba/Álava,Years,86.5
2012,Life expectancy at birth,Female,Araba/Álava,Years,86.18
2014,Life expectancy at birth,Female,Araba/Álava,Years,86.59
2022,Life expectancy at birth,Female,Araba/Álava,Years,86.26
2021,Life expectancy at birth,Female,Araba/Álava,Years,87.2
2021,Life expectancy at birth,Female,Bizkaia,Years,86.32
2024,Life expectancy at birth,Female,Bizkaia,Years,86.86
2022,Life expectancy at birth,Female,Bizkaia,Years,86.16
2020,Life expectancy at birth,Female,Bizkaia,Years,86.1
2013,Life expectancy at birth,Female,Bizkaia,Years,85.79
2014,Life expectancy at birth,Female,Bizkaia,Years,85.83
2019,Life expectancy at birth,Female,Bizkaia,Years,86.27
2018,Life expectancy at birth,Female,Bizkaia,Years,86.32
2010,Life expectancy at birth,Female,Bizkaia,Years,85.45
2011,Life expectancy at birth,Female,Bizkaia,Years,85.29
2023,Life expectancy at birth,Female,Bizkaia,Years,86.39
2017,Life expectancy at birth,Female,Bizkaia,Years,86.11
2012,Life expectancy at birth,Female,Bizkaia,Years,85.3
2015,Life expectancy at birth,Female,Bizkaia,Years,85.95
2016,Life expectancy at birth,Female,Bizkaia,Years,85.97
2019,Life expectancy at birth,Female,Gipuzkoa,Years,86.59
2014,Life expectancy at birth,Female,Gipuzkoa,Years,86.33
2021,Life expectancy at birth,Female,Gipuzkoa,Years,86.13
2020,Life expectancy at birth,Female,Gipuzkoa,Years,86.37
2017,Life expectancy at birth,Female,Gipuzkoa,Years,86.39
2015,Life expectancy at birth,Female,Gipuzkoa,Years,85.85
