Year,Series,Sex,Province,Units,Value
2017,Injury mortality rate due to traffic accidents.,,,"Per 100,000 inhabitants",3.1
2013,Injury mortality rate due to traffic accidents.,,,"Per 100,000 inhabitants",3.7
2010,Injury mortality rate due to traffic accidents.,,,"Per 100,000 inhabitants",4.1
2018,Injury mortality rate due to traffic accidents.,,,"Per 100,000 inhabitants",2.8
2011,Injury mortality rate due to traffic accidents.,,,"Per 100,000 inhabitants",3.7
2020,Injury mortality rate due to traffic accidents.,,,"Per 100,000 inhabitants",2.7
2019,Injury mortality rate due to traffic accidents.,,,"Per 100,000 inhabitants",3.1
2015,Injury mortality rate due to traffic accidents.,,,"Per 100,000 inhabitants",3.5
2012,Injury mortality rate due to traffic accidents.,,,"Per 100,000 inhabitants",4.0
2023,Injury mortality rate due to traffic accidents.,,,"Per 100,000 inhabitants",3.0
2021,Injury mortality rate due to traffic accidents.,,,"Per 100,000 inhabitants",2.9
2022,Injury mortality rate due to traffic accidents.,,,"Per 100,000 inhabitants",3.7
2014,Injury mortality rate due to traffic accidents.,,,"Per 100,000 inhabitants",2.6
2016,Injury mortality rate due to traffic accidents.,,,"Per 100,000 inhabitants",3.8
2015,Injury mortality rate due to traffic accidents.,,Araba/Álava,"Per 100,000 inhabitants",2.2
2012,Injury mortality rate due to traffic accidents.,,Araba/Álava,"Per 100,000 inhabitants",4.4
2022,Injury mortality rate due to traffic accidents.,,Araba/Álava,"Per 100,000 inhabitants",3.9
2021,Injury mortality rate due to traffic accidents.,,Araba/Álava,"Per 100,000 inhabitants",2.4
2011,Injury mortality rate due to traffic accidents.,,Araba/Álava,"Per 100,000 inhabitants",2.2
2014,Injury mortality rate due to traffic accidents.,,Araba/Álava,"Per 100,000 inhabitants",3.7
2023,Injury mortality rate due to traffic accidents.,,Araba/Álava,"Per 100,000 inhabitants",2.1
2016,Injury mortality rate due to traffic accidents.,,Araba/Álava,"Per 100,000 inhabitants",2.2
2013,Injury mortality rate due to traffic accidents.,,Araba/Álava,"Per 100,000 inhabitants",4.1
2018,Injury mortality rate due to traffic accidents.,,Araba/Álava,"Per 100,000 inhabitants",3.4
2010,Injury mortality rate due to traffic accidents.,,Araba/Álava,"Per 100,000 inhabitants",3.1
2020,Injury mortality rate due to traffic accidents.,,Araba/Álava,"Per 100,000 inhabitants",1.5
2019,Injury mortality rate due to traffic accidents.,,Araba/Álava,"Per 100,000 inhabitants",5.2
2017,Injury mortality rate due to traffic accidents.,,Araba/Álava,"Per 100,000 inhabitants",3.4
2018,Injury mortality rate due to traffic accidents.,,Bizkaia,"Per 100,000 inhabitants",2.5
2010,Injury mortality rate due to traffic accidents.,,Bizkaia,"Per 100,000 inhabitants",4.1
2021,Injury mortality rate due to traffic accidents.,,Bizkaia,"Per 100,000 inhabitants",3.1
2012,Injury mortality rate due to traffic accidents.,,Bizkaia,"Per 100,000 inhabitants",4.4
2016,Injury mortality rate due to traffic accidents.,,Bizkaia,"Per 100,000 inhabitants",4.1
2019,Injury mortality rate due to traffic accidents.,,Bizkaia,"Per 100,000 inhabitants",3.0
2015,Injury mortality rate due to traffic accidents.,,Bizkaia,"Per 100,000 inhabitants",2.6
2017,Injury mortality rate due to traffic accidents.,,Bizkaia,"Per 100,000 inhabitants",1.9
2013,Injury mortality rate due to traffic accidents.,,Bizkaia,"Per 100,000 inhabitants",3.2
2014,Injury mortality rate due to traffic accidents.,,Bizkaia,"Per 100,000 inhabitants",2.4
2011,Injury mortality rate due to traffic accidents.,,Bizkaia,"Per 100,000 inhabitants",3.6
2022,Injury mortality rate due to traffic accidents.,,Bizkaia,"Per 100,000 inhabitants",3.4
2020,Injury mortality rate due to traffic accidents.,,Bizkaia,"Per 100,000 inhabitants",2.9
2023,Injury mortality rate due to traffic accidents.,,Bizkaia,"Per 100,000 inhabitants",2.2
2020,Injury mortality rate due to traffic accidents.,,Gipuzkoa,"Per 100,000 inhabitants",2.9
2019,Injury mortality rate due to traffic accidents.,,Gipuzkoa,"Per 100,000 inhabitants",2.5
2013,Injury mortality rate due to traffic accidents.,,Gipuzkoa,"Per 100,000 inhabitants",4.2
2010,Injury mortality rate due to traffic accidents.,,Gipuzkoa,"Per 100,000 inhabitants",4.4
2017,Injury mortality rate due to traffic accidents.,,Gipuzkoa,"Per 100,000 inhabitants",4.9
2021,Injury mortality rate due to traffic accidents.,,Gipuzkoa,"Per 100,000 inhabitants",2.8
2023,Injury mortality rate due to traffic accidents.,,Gipuzkoa,"Per 100,000 inhabitants",4.7
2018,Injury mortality rate due to traffic accidents.,,Gipuzkoa,"Per 100,000 inhabitants",3.1
2011,Injury mortality rate due to traffic accidents.,,Gipuzkoa,"Per 100,000 inhabitants",4.4
2014,Injury mortality rate due to traffic accidents.,,Gipuzkoa,"Per 100,000 inhabitants",2.4
2022,Injury mortality rate due to traffic accidents.,,Gipuzkoa,"Per 100,000 inhabitants",4.2
2015,Injury mortality rate due to traffic accidents.,,Gipuzkoa,"Per 100,000 inhabitants",5.3
2012,Injury mortality rate due to traffic accidents.,,Gipuzkoa,"Per 100,000 inhabitants",3.1
2016,Injury mortality rate due to traffic accidents.,,Gipuzkoa,"Per 100,000 inhabitants",3.9
2019,Injury mortality rate due to traffic accidents.,Female,,"Per 100,000 inhabitants",1.1
2015,Injury mortality rate due to traffic accidents.,Female,,"Per 100,000 inhabitants",1.4
2013,Injury mortality rate due to traffic accidents.,Female,,"Per 100,000 inhabitants",1.4
2023,Injury mortality rate due to traffic accidents.,Female,,"Per 100,000 inhabitants",1.0
2020,Injury mortality rate due to traffic accidents.,Female,,"Per 100,000 inhabitants",1.5
2021,Injury mortality rate due to traffic accidents.,Female,,"Per 100,000 inhabitants",1.0
2012,Injury mortality rate due to traffic accidents.,Female,,"Per 100,000 inhabitants",1.9
2016,Injury mortality rate due to traffic accidents.,Female,,"Per 100,000 inhabitants",1.3
2022,Injury mortality rate due to traffic accidents.,Female,,"Per 100,000 inhabitants",1.6
2014,Injury mortality rate due to traffic accidents.,Female,,"Per 100,000 inhabitants",1.2
2017,Injury mortality rate due to traffic accidents.,Female,,"Per 100,000 inhabitants",1.8
2018,Injury mortality rate due to traffic accidents.,Female,,"Per 100,000 inhabitants",1.4
2011,Injury mortality rate due to traffic accidents.,Female,,"Per 100,000 inhabitants",1.9
2010,Injury mortality rate due to traffic accidents.,Female,,"Per 100,000 inhabitants",1.6
2022,Injury mortality rate due to traffic accidents.,Female,Araba/Álava,"Per 100,000 inhabitants",1.8
2015,Injury mortality rate due to traffic accidents.,Female,Araba/Álava,"Per 100,000 inhabitants",1.2
2019,Injury mortality rate due to traffic accidents.,Female,Araba/Álava,"Per 100,000 inhabitants",1.8
2018,Injury mortality rate due to traffic accidents.,Female,Araba/Álava,"Per 100,000 inhabitants",1.2
2017,Injury mortality rate due to traffic accidents.,Female,Araba/Álava,"Per 100,000 inhabitants",3.0
2023,Injury mortality rate due to traffic accidents.,Female,Araba/Álava,"Per 100,000 inhabitants",1.2
2020,Injury mortality rate due to traffic accidents.,Female,Araba/Álava,"Per 100,000 inhabitants",0.6
2011,Injury mortality rate due to traffic accidents.,Female,Araba/Álava,"Per 100,000 inhabitants",0.6
2013,Injury mortality rate due to traffic accidents.,Female,Araba/Álava,"Per 100,000 inhabitants",1.9
2016,Injury mortality rate due to traffic accidents.,Female,Araba/Álava,"Per 100,000 inhabitants",0.0
2021,Injury mortality rate due to traffic accidents.,Female,Araba/Álava,"Per 100,000 inhabitants",2.4
2012,Injury mortality rate due to traffic accidents.,Female,Araba/Álava,"Per 100,000 inhabitants",2.5
2010,Injury mortality rate due to traffic accidents.,Female,Araba/Álava,"Per 100,000 inhabitants",1.9
2014,Injury mortality rate due to traffic accidents.,Female,Araba/Álava,"Per 100,000 inhabitants",1.2
2010,Injury mortality rate due to traffic accidents.,Female,Bizkaia,"Per 100,000 inhabitants",1.7
2017,Injury mortality rate due to traffic accidents.,Female,Bizkaia,"Per 100,000 inhabitants",1.5
2022,Injury mortality rate due to traffic accidents.,Female,Bizkaia,"Per 100,000 inhabitants",1.7
2014,Injury mortality rate due to traffic accidents.,Female,Bizkaia,"Per 100,000 inhabitants",1.0
2020,Injury mortality rate due to traffic accidents.,Female,Bizkaia,"Per 100,000 inhabitants",2.2
2016,Injury mortality rate due to traffic accidents.,Female,Bizkaia,"Per 100,000 inhabitants",1.7
2018,Injury mortality rate due to traffic accidents.,Female,Bizkaia,"Per 100,000 inhabitants",1.4
2012,Injury mortality rate due to traffic accidents.,Female,Bizkaia,"Per 100,000 inhabitants",1.8
2015,Injury mortality rate due to traffic accidents.,Female,Bizkaia,"Per 100,000 inhabitants",1.5
2011,Injury mortality rate due to traffic accidents.,Female,Bizkaia,"Per 100,000 inhabitants",1.8
2019,Injury mortality rate due to traffic accidents.,Female,Bizkaia,"Per 100,000 inhabitants",0.8
2021,Injury mortality rate due to traffic accidents.,Female,Bizkaia,"Per 100,000 inhabitants",0.8
2023,Injury mortality rate due to traffic accidents.,Female,Bizkaia,"Per 100,000 inhabitants",0.8
2013,Injury mortality rate due to traffic accidents.,Female,Bizkaia,"Per 100,000 inhabitants",1.3
2011,Injury mortality rate due to traffic accidents.,Female,Gipuzkoa,"Per 100,000 inhabitants",2.5
2019,Injury mortality rate due to traffic accidents.,Female,Gipuzkoa,"Per 100,000 inhabitants",1.1
2020,Injury mortality rate due to traffic accidents.,Female,Gipuzkoa,"Per 100,000 inhabitants",0.8
2018,Injury mortality rate due to traffic accidents.,Female,Gipuzkoa,"Per 100,000 inhabitants",1.6
2016,Injury mortality rate due to traffic accidents.,Female,Gipuzkoa,"Per 100,000 inhabitants",1.4
2022,Injury mortality rate due to traffic accidents.,Female,Gipuzkoa,"Per 100,000 inhabitants",1.4
2023,Injury mortality rate due to traffic accidents.,Female,Gipuzkoa,"Per 100,000 inhabitants",1.1
2017,Injury mortality rate due to traffic accidents.,Female,Gipuzkoa,"Per 100,000 inhabitants",1.6
2014,Injury mortality rate due to traffic accidents.,Female,Gipuzkoa,"Per 100,000 inhabitants",1.4
2012,Injury mortality rate due to traffic accidents.,Female,Gipuzkoa,"Per 100,000 inhabitants",1.7
2013,Injury mortality rate due to traffic accidents.,Female,Gipuzkoa,"Per 100,000 inhabitants",1.4
2010,Injury mortality rate due to traffic accidents.,Female,Gipuzkoa,"Per 100,000 inhabitants",1.4
2021,Injury mortality rate due to traffic accidents.,Female,Gipuzkoa,"Per 100,000 inhabitants",0.5
2015,Injury mortality rate due to traffic accidents.,Female,Gipuzkoa,"Per 100,000 inhabitants",1.4
2018,Injury mortality rate due to traffic accidents.,Male,,"Per 100,000 inhabitants",4.3
2012,Injury mortality rate due to traffic accidents.,Male,,"Per 100,000 inhabitants",6.2
2021,Injury mortality rate due to traffic accidents.,Male,,"Per 100,000 inhabitants",4.9
