Year,Sex,Province,Units,Value
2018,,,%,16.7
2013,,,%,21.3
2008,,,%,25.0
2023,,,%,15.4
2023,,Araba/Álava,%,16.3
2008,,Araba/Álava,%,22.9
2018,,Araba/Álava,%,12.9
2013,,Araba/Álava,%,21.0
2013,,Bizkaia,%,21.7
2018,,Bizkaia,%,17.6
2023,,Bizkaia,%,17.3
2008,,Bizkaia,%,25.9
2008,,Gipuzkoa,%,24.4
2013,,Gipuzkoa,%,20.7
2023,,Gipuzkoa,%,11.9
2018,,Gipuzkoa,%,16.9
2018,Female,,%,13.5
2013,Female,,%,18.1
2008,Female,,%,21.1
2023,Female,,%,13.4
2008,Female,Araba/Álava,%,19.9
2023,Female,Araba/Álava,%,15.8
2013,Female,Araba/Álava,%,19.2
2018,Female,Araba/Álava,%,11.0
2023,Female,Bizkaia,%,14.4
2018,Female,Bizkaia,%,14.1
2013,Female,Bizkaia,%,17.7
2008,Female,Bizkaia,%,21.9
2013,Female,Gipuzkoa,%,18.2
2008,Female,Gipuzkoa,%,20.3
2023,Female,Gipuzkoa,%,10.8
2018,Female,Gipuzkoa,%,13.7
2008,Male,,%,29.1
2023,Male,,%,17.5
2013,Male,,%,24.7
2018,Male,,%,20.1
2008,Male,Araba/Álava,%,26.1
2013,Male,Araba/Álava,%,22.8
2018,Male,Araba/Álava,%,14.8
2023,Male,Araba/Álava,%,16.8
2023,Male,Bizkaia,%,20.5
2018,Male,Bizkaia,%,21.5
2013,Male,Bizkaia,%,26.0
2008,Male,Bizkaia,%,30.1
2008,Male,Gipuzkoa,%,28.7
2013,Male,Gipuzkoa,%,23.4
2023,Male,Gipuzkoa,%,13.1
2018,Male,Gipuzkoa,%,20.2
