Year,Series,Profession,Sex,Province,Units,Value
2023,Density and distribution of health care workers.,Physician,,,"Per 10,000 inhabitants",72.1
2020,Density and distribution of health care workers.,Physician,,,"Per 10,000 inhabitants",66.9
2015,Density and distribution of health care workers.,Physician,,,"Per 10,000 inhabitants",60.0
2014,Density and distribution of health care workers.,Physician,,,"Per 10,000 inhabitants",59.3
2012,Density and distribution of health care workers.,Physician,,,"Per 10,000 inhabitants",57.0
2016,Density and distribution of health care workers.,Physician,,,"Per 10,000 inhabitants",61.1
2011,Density and distribution of health care workers.,Physician,,,"Per 10,000 inhabitants",55.8
2019,Density and distribution of health care workers.,Physician,,,"Per 10,000 inhabitants",65.4
2013,Density and distribution of health care workers.,Physician,,,"Per 10,000 inhabitants",58.1
2010,Density and distribution of health care workers.,Physician,,,"Per 10,000 inhabitants",54.5
2021,Density and distribution of health care workers.,Physician,,,"Per 10,000 inhabitants",68.7
2022,Density and distribution of health care workers.,Physician,,,"Per 10,000 inhabitants",70.6
2018,Density and distribution of health care workers.,Physician,,,"Per 10,000 inhabitants",63.6
2017,Density and distribution of health care workers.,Physician,,,"Per 10,000 inhabitants",62.2
2022,Density and distribution of health care workers.,Physician,,Araba/Álava,"Per 10,000 inhabitants",63.9
2016,Density and distribution of health care workers.,Physician,,Araba/Álava,"Per 10,000 inhabitants",58.8
2019,Density and distribution of health care workers.,Physician,,Araba/Álava,"Per 10,000 inhabitants",60.7
2014,Density and distribution of health care workers.,Physician,,Araba/Álava,"Per 10,000 inhabitants",57.9
2015,Density and distribution of health care workers.,Physician,,Araba/Álava,"Per 10,000 inhabitants",58.0
2012,Density and distribution of health care workers.,Physician,,Araba/Álava,"Per 10,000 inhabitants",55.1
2018,Density and distribution of health care workers.,Physician,,Araba/Álava,"Per 10,000 inhabitants",59.7
2010,Density and distribution of health care workers.,Physician,,Araba/Álava,"Per 10,000 inhabitants",51.9
2011,Density and distribution of health care workers.,Physician,,Araba/Álava,"Per 10,000 inhabitants",54.0
2013,Density and distribution of health care workers.,Physician,,Araba/Álava,"Per 10,000 inhabitants",56.5
2017,Density and distribution of health care workers.,Physician,,Araba/Álava,"Per 10,000 inhabitants",59.4
2020,Density and distribution of health care workers.,Physician,,Araba/Álava,"Per 10,000 inhabitants",61.3
2021,Density and distribution of health care workers.,Physician,,Araba/Álava,"Per 10,000 inhabitants",62.7
2023,Density and distribution of health care workers.,Physician,,Araba/Álava,"Per 10,000 inhabitants",65.1
2013,Density and distribution of health care workers.,Physician,,Bizkaia,"Per 10,000 inhabitants",61.2
2019,Density and distribution of health care workers.,Physician,,Bizkaia,"Per 10,000 inhabitants",70.4
2016,Density and distribution of health care workers.,Physician,,Bizkaia,"Per 10,000 inhabitants",64.9
2010,Density and distribution of health care workers.,Physician,,Bizkaia,"Per 10,000 inhabitants",57.2
2011,Density and distribution of health care workers.,Physician,,Bizkaia,"Per 10,000 inhabitants",58.6
2015,Density and distribution of health care workers.,Physician,,Bizkaia,"Per 10,000 inhabitants",63.4
2018,Density and distribution of health care workers.,Physician,,Bizkaia,"Per 10,000 inhabitants",68.2
2023,Density and distribution of health care workers.,Physician,,Bizkaia,"Per 10,000 inhabitants",78.4
2022,Density and distribution of health care workers.,Physician,,Bizkaia,"Per 10,000 inhabitants",76.2
2012,Density and distribution of health care workers.,Physician,,Bizkaia,"Per 10,000 inhabitants",59.9
2017,Density and distribution of health care workers.,Physician,,Bizkaia,"Per 10,000 inhabitants",66.2
2021,Density and distribution of health care workers.,Physician,,Bizkaia,"Per 10,000 inhabitants",74.1
2014,Density and distribution of health care workers.,Physician,,Bizkaia,"Per 10,000 inhabitants",62.4
2020,Density and distribution of health care workers.,Physician,,Bizkaia,"Per 10,000 inhabitants",72.2
2010,Density and distribution of health care workers.,Physician,,Gipuzkoa,"Per 10,000 inhabitants",51.1
2012,Density and distribution of health care workers.,Physician,,Gipuzkoa,"Per 10,000 inhabitants",53.0
2018,Density and distribution of health care workers.,Physician,,Gipuzkoa,"Per 10,000 inhabitants",58.1
2017,Density and distribution of health care workers.,Physician,,Gipuzkoa,"Per 10,000 inhabitants",57.0
2016,Density and distribution of health care workers.,Physician,,Gipuzkoa,"Per 10,000 inhabitants",56.1
2011,Density and distribution of health care workers.,Physician,,Gipuzkoa,"Per 10,000 inhabitants",52.0
2021,Density and distribution of health care workers.,Physician,,Gipuzkoa,"Per 10,000 inhabitants",62.8
2019,Density and distribution of health care workers.,Physician,,Gipuzkoa,"Per 10,000 inhabitants",59.6
2015,Density and distribution of health care workers.,Physician,,Gipuzkoa,"Per 10,000 inhabitants",55.4
2013,Density and distribution of health care workers.,Physician,,Gipuzkoa,"Per 10,000 inhabitants",53.8
2022,Density and distribution of health care workers.,Physician,,Gipuzkoa,"Per 10,000 inhabitants",64.7
2023,Density and distribution of health care workers.,Physician,,Gipuzkoa,"Per 10,000 inhabitants",65.5
2020,Density and distribution of health care workers.,Physician,,Gipuzkoa,"Per 10,000 inhabitants",61.1
2014,Density and distribution of health care workers.,Physician,,Gipuzkoa,"Per 10,000 inhabitants",54.9
2023,Density and distribution of health care workers.,Physician,Female,,"Per 10,000 inhabitants",80.7
2015,Density and distribution of health care workers.,Physician,Female,,"Per 10,000 inhabitants",61.6
2019,Density and distribution of health care workers.,Physician,Female,,"Per 10,000 inhabitants",69.8
2020,Density and distribution of health care workers.,Physician,Female,,"Per 10,000 inhabitants",72.3
2012,Density and distribution of health care workers.,Physician,Female,,"Per 10,000 inhabitants",56.8
2016,Density and distribution of health care workers.,Physician,Female,,"Per 10,000 inhabitants",63.3
2011,Density and distribution of health care workers.,Physician,Female,,"Per 10,000 inhabitants",54.6
2018,Density and distribution of health care workers.,Physician,Female,,"Per 10,000 inhabitants",67.1
2022,Density and distribution of health care workers.,Physician,Female,,"Per 10,000 inhabitants",78.1
2017,Density and distribution of health care workers.,Physician,Female,,"Per 10,000 inhabitants",65.1
2013,Density and distribution of health care workers.,Physician,Female,,"Per 10,000 inhabitants",58.5
2010,Density and distribution of health care workers.,Physician,Female,,"Per 10,000 inhabitants",52.5
2021,Density and distribution of health care workers.,Physician,Female,,"Per 10,000 inhabitants",75.2
2014,Density and distribution of health care workers.,Physician,Female,,"Per 10,000 inhabitants",60.1
2019,Density and distribution of health care workers.,Physician,Female,Araba/Álava,"Per 10,000 inhabitants",66.3
2020,Density and distribution of health care workers.,Physician,Female,Araba/Álava,"Per 10,000 inhabitants",67.6
2022,Density and distribution of health care workers.,Physician,Female,Araba/Álava,"Per 10,000 inhabitants",72.5
2018,Density and distribution of health care workers.,Physician,Female,Araba/Álava,"Per 10,000 inhabitants",64.5
2011,Density and distribution of health care workers.,Physician,Female,Araba/Álava,"Per 10,000 inhabitants",55.2
2014,Density and distribution of health care workers.,Physician,Female,Araba/Álava,"Per 10,000 inhabitants",61.4
2012,Density and distribution of health care workers.,Physician,Female,Araba/Álava,"Per 10,000 inhabitants",57.4
2013,Density and distribution of health care workers.,Physician,Female,Araba/Álava,"Per 10,000 inhabitants",59.6
2015,Density and distribution of health care workers.,Physician,Female,Araba/Álava,"Per 10,000 inhabitants",62.1
2017,Density and distribution of health care workers.,Physician,Female,Araba/Álava,"Per 10,000 inhabitants",63.9
2010,Density and distribution of health care workers.,Physician,Female,Araba/Álava,"Per 10,000 inhabitants",52.8
2023,Density and distribution of health care workers.,Physician,Female,Araba/Álava,"Per 10,000 inhabitants",74.7
2021,Density and distribution of health care workers.,Physician,Female,Araba/Álava,"Per 10,000 inhabitants",70.5
2016,Density and distribution of health care workers.,Physician,Female,Araba/Álava,"Per 10,000 inhabitants",63.6
2020,Density and distribution of health care workers.,Physician,Female,Bizkaia,"Per 10,000 inhabitants",76.8
2023,Density and distribution of health care workers.,Physician,Female,Bizkaia,"Per 10,000 inhabitants",85.7
2015,Density and distribution of health care workers.,Physician,Female,Bizkaia,"Per 10,000 inhabitants",64.2
2016,Density and distribution of health care workers.,Physician,Female,Bizkaia,"Per 10,000 inhabitants",66.3
2018,Density and distribution of health care workers.,Physician,Female,Bizkaia,"Per 10,000 inhabitants",70.8
2014,Density and distribution of health care workers.,Physician,Female,Bizkaia,"Per 10,000 inhabitants",62.3
2021,Density and distribution of health care workers.,Physician,Female,Bizkaia,"Per 10,000 inhabitants",79.4
2013,Density and distribution of health care workers.,Physician,Female,Bizkaia,"Per 10,000 inhabitants",60.8
2010,Density and distribution of health care workers.,Physician,Female,Bizkaia,"Per 10,000 inhabitants",54.5
2017,Density and distribution of health care workers.,Physician,Female,Bizkaia,"Per 10,000 inhabitants",68.4
2011,Density and distribution of health care workers.,Physician,Female,Bizkaia,"Per 10,000 inhabitants",56.5
2022,Density and distribution of health care workers.,Physician,Female,Bizkaia,"Per 10,000 inhabitants",82.7
2019,Density and distribution of health care workers.,Physician,Female,Bizkaia,"Per 10,000 inhabitants",74.1
2012,Density and distribution of health care workers.,Physician,Female,Bizkaia,"Per 10,000 inhabitants",59.1
2016,Density and distribution of health care workers.,Physician,Female,Gipuzkoa,"Per 10,000 inhabitants",58.4
2022,Density and distribution of health care workers.,Physician,Female,Gipuzkoa,"Per 10,000 inhabitants",73.3
2018,Density and distribution of health care workers.,Physician,Female,Gipuzkoa,"Per 10,000 inhabitants",62.3
2023,Density and distribution of health care workers.,Physician,Female,Gipuzkoa,"Per 10,000 inhabitants",75.3
2019,Density and distribution of health care workers.,Physician,Female,Gipuzkoa,"Per 10,000 inhabitants",64.5
2010,Density and distribution of health care workers.,Physician,Female,Gipuzkoa,"Per 10,000 inhabitants",49.1
2012,Density and distribution of health care workers.,Physician,Female,Gipuzkoa,"Per 10,000 inhabitants",52.6
2011,Density and distribution of health care workers.,Physician,Female,Gipuzkoa,"Per 10,000 inhabitants",51.0
2014,Density and distribution of health care workers.,Physician,Female,Gipuzkoa,"Per 10,000 inhabitants",55.9
2017,Density and distribution of health care workers.,Physician,Female,Gipuzkoa,"Per 10,000 inhabitants",60.3
2015,Density and distribution of health care workers.,Physician,Female,Gipuzkoa,"Per 10,000 inhabitants",57.2
2020,Density and distribution of health care workers.,Physician,Female,Gipuzkoa,"Per 10,000 inhabitants",67.3
2013,Density and distribution of health care workers.,Physician,Female,Gipuzkoa,"Per 10,000 inhabitants",54.2
