Year,Type of skill,Sex,Units,Value
2015,Reading,,PT,82.6
2012,Reading,,PT,85.6
2018,Reading,,PT,77.0
2022,Reading,,PT,74.2
2022,Reading,Female,PT,80.1
2015,Reading,Female,PT,86.6
2012,Reading,Female,PT,90.1
2018,Reading,Female,PT,83.6
2022,Reading,Male,PT,68.3
2015,Reading,Male,PT,78.4
2018,Reading,Male,PT,70.2
2012,Reading,Male,PT,81.1
2015,Mathematics,,PT,80.5
2012,Mathematics,,PT,84.5
2018,Mathematics,,PT,81.9
2022,Mathematics,,PT,77.3
2018,Mathematics,Female,PT,83.4
2022,Mathematics,Female,PT,78.0
2012,Mathematics,Female,PT,83.4
2015,Mathematics,Female,PT,79.9
2018,Mathematics,Male,PT,80.3
2015,Mathematics,Male,PT,81.1
2012,Mathematics,Male,PT,85.6
2022,Mathematics,Male,PT,76.7
