Year,Sex,Units,Value
2013,,PT,8.5
2018,,PT,11.3
2016,,PT,9.8
2017,,PT,9.5
2014,,PT,7.5
2019,,PT,8.8
2011,,PT,9.0
2012,,PT,7.8
2015,,PT,10.2
2010,,PT,10.8
2012,Female,PT,7.2
2011,Female,PT,9.3
2014,Female,PT,6.8
2013,Female,PT,8.2
2010,Female,PT,8.9
2015,Female,PT,7.3
2016,Female,PT,10.0
2017,Female,PT,8.7
2018,Female,PT,9.7
2019,Female,PT,8.0
2017,Male,PT,10.3
2013,Male,PT,8.8
2011,Male,PT,8.7
2010,Male,PT,12.5
2018,Male,PT,12.8
2019,Male,PT,9.6
2014,Male,PT,8.2
2015,Male,PT,13.0
2012,Male,PT,8.2
2016,Male,PT,9.6
