Year,Computer skills,Age,Sex,Province,Units,Value
2022,,,,,%,68.8
2021,,,,,%,75.0
2019,,,,,%,67.0
2020,,,,,%,69.8
2023,,,,,%,71.5
2024,,,,,%,69.8
2019,,,,Araba/Álava,%,68.5
2024,,,,Araba/Álava,%,69.6
2020,,,,Araba/Álava,%,70.1
2021,,,,Araba/Álava,%,75.4
2023,,,,Araba/Álava,%,71.3
2022,,,,Araba/Álava,%,68.3
2020,,,,Bizkaia,%,69.5
2019,,,,Bizkaia,%,67.7
2023,,,,Bizkaia,%,71.3
2024,,,,Bizkaia,%,70.8
2021,,,,Bizkaia,%,74.6
2022,,,,Bizkaia,%,68.5
2019,,,,Gipuzkoa,%,65.2
2023,,,,Gipuzkoa,%,72.0
2024,,,,Gipuzkoa,%,68.4
2021,,,,Gipuzkoa,%,75.4
2020,,,,Gipuzkoa,%,70.2
2022,,,,Gipuzkoa,%,69.4
2019,,,Female,,%,64.5
2022,,,Female,,%,68.2
2020,,,Female,,%,68.3
2024,,,Female,,%,68.4
2021,,,Female,,%,73.8
2023,,,Female,,%,70.5
2023,,,Female,Araba/Álava,%,72.8
2019,,,Female,Araba/Álava,%,66.1
2021,,,Female,Araba/Álava,%,74.4
2022,,,Female,Araba/Álava,%,67.8
2024,,,Female,Araba/Álava,%,67.0
2020,,,Female,Araba/Álava,%,70.8
2022,,,Female,Bizkaia,%,67.3
2023,,,Female,Bizkaia,%,69.6
2024,,,Female,Bizkaia,%,69.1
2021,,,Female,Bizkaia,%,72.8
2019,,,Female,Bizkaia,%,64.6
2020,,,Female,Bizkaia,%,67.7
2021,,,Female,Gipuzkoa,%,75.0
2020,,,Female,Gipuzkoa,%,68.1
2024,,,Female,Gipuzkoa,%,67.8
2019,,,Female,Gipuzkoa,%,63.6
2023,,,Female,Gipuzkoa,%,70.9
2022,,,Female,Gipuzkoa,%,70.0
2023,,,Male,,%,72.5
2024,,,Male,,%,71.4
2019,,,Male,,%,69.7
2021,,,Male,,%,76.2
2022,,,Male,,%,69.4
2020,,,Male,,%,71.4
2023,,,Male,Araba/Álava,%,69.8
2021,,,Male,Araba/Álava,%,76.4
2024,,,Male,Araba/Álava,%,72.3
2020,,,Male,Araba/Álava,%,69.5
2019,,,Male,Araba/Álava,%,71.0
2022,,,Male,Araba/Álava,%,68.9
2023,,,Male,Bizkaia,%,73.0
2022,,,Male,Bizkaia,%,69.9
2024,,,Male,Bizkaia,%,72.6
2019,,,Male,Bizkaia,%,71.0
2020,,,Male,Bizkaia,%,71.4
2021,,,Male,Bizkaia,%,76.5
2023,,,Male,Gipuzkoa,%,73.0
2020,,,Male,Gipuzkoa,%,72.3
2021,,,Male,Gipuzkoa,%,75.8
2024,,,Male,Gipuzkoa,%,69.0
2022,,,Male,Gipuzkoa,%,68.8
2019,,,Male,Gipuzkoa,%,66.9
2022,,16-24 years,,,%,95.5
2024,,16-24 years,,,%,93.9
2020,,16-24 years,,,%,95.9
2023,,16-24 years,,,%,95.9
2019,,16-24 years,,,%,95.7
2021,,16-24 years,,,%,96.2
2019,,16-24 years,,Araba/Álava,%,95.6
2021,,16-24 years,,Araba/Álava,%,96.8
