Year,Province,County,Municipality,Units,GeoCode,Value
2022,,,,"Per 10,000",,39.9
2020,,,,"Per 10,000",,33.9
2019,,,,"Per 10,000",,36.5
2021,,,,"Per 10,000",,34.3
2023,,,,"Per 10,000",,42.8
2023,,,Abadiño,"Per 10,000",Abadiño,20.5
2020,,,Abadiño,"Per 10,000",Abadiño,18.2
2022,,,Abadiño,"Per 10,000",Abadiño,23.3
2021,,,Abadiño,"Per 10,000",Abadiño,31.0
2019,,,Abadiño,"Per 10,000",Abadiño,28.6
2021,,,Abaltzisketa,"Per 10,000",Abaltzisketa,0.0
2019,,,Abaltzisketa,"Per 10,000",Abaltzisketa,0.0
2020,,,Abaltzisketa,"Per 10,000",Abaltzisketa,68.7
2023,,,Abaltzisketa,"Per 10,000",Abaltzisketa,0.0
2022,,,Abaltzisketa,"Per 10,000",Abaltzisketa,0.0
2022,,,Abanto y Ciérvana-Abanto Zierbena,"Per 10,000",Abanto y Ciérvana-Abanto Zierbena,52.4
2023,,,Abanto y Ciérvana-Abanto Zierbena,"Per 10,000",Abanto y Ciérvana-Abanto Zierbena,55.2
2020,,,Abanto y Ciérvana-Abanto Zierbena,"Per 10,000",Abanto y Ciérvana-Abanto Zierbena,49.7
2021,,,Abanto y Ciérvana-Abanto Zierbena,"Per 10,000",Abanto y Ciérvana-Abanto Zierbena,52.2
2019,,,Abanto y Ciérvana-Abanto Zierbena,"Per 10,000",Abanto y Ciérvana-Abanto Zierbena,32.9
2023,,,Aduna,"Per 10,000",Aduna,0.0
2019,,,Aduna,"Per 10,000",Aduna,0.0
2022,,,Aduna,"Per 10,000",Aduna,0.0
2021,,,Aduna,"Per 10,000",Aduna,0.0
2020,,,Aduna,"Per 10,000",Aduna,136.1
2021,,,Agurain/Salvatierra,"Per 10,000",Agurain/Salvatierra,18.8
2020,,,Agurain/Salvatierra,"Per 10,000",Agurain/Salvatierra,49.1
2022,,,Agurain/Salvatierra,"Per 10,000",Agurain/Salvatierra,30.6
2019,,,Agurain/Salvatierra,"Per 10,000",Agurain/Salvatierra,22.7
2023,,,Agurain/Salvatierra,"Per 10,000",Agurain/Salvatierra,58.1
2023,,,Aia,"Per 10,000",Aia,20.1
2022,,,Aia,"Per 10,000",Aia,0.0
2019,,,Aia,"Per 10,000",Aia,31.8
2021,,,Aia,"Per 10,000",Aia,0.0
2020,,,Aia,"Per 10,000",Aia,32.0
2023,,,Aizarnazabal,"Per 10,000",Aizarnazabal,0.0
2022,,,Aizarnazabal,"Per 10,000",Aizarnazabal,0.0
2020,,,Aizarnazabal,"Per 10,000",Aizarnazabal,0.0
2019,,,Aizarnazabal,"Per 10,000",Aizarnazabal,0.0
2021,,,Aizarnazabal,"Per 10,000",Aizarnazabal,26.5
2022,,,Ajangiz,"Per 10,000",Ajangiz,0.0
2019,,,Ajangiz,"Per 10,000",Ajangiz,0.0
2020,,,Ajangiz,"Per 10,000",Ajangiz,0.0
2021,,,Ajangiz,"Per 10,000",Ajangiz,0.0
2023,,,Ajangiz,"Per 10,000",Ajangiz,0.0
2022,,,Albiztur,"Per 10,000",Albiztur,0.0
2021,,,Albiztur,"Per 10,000",Albiztur,0.0
2019,,,Albiztur,"Per 10,000",Albiztur,0.0
2023,,,Albiztur,"Per 10,000",Albiztur,67.1
2020,,,Albiztur,"Per 10,000",Albiztur,0.0
2023,,,Alegia,"Per 10,000",Alegia,34.9
2019,,,Alegia,"Per 10,000",Alegia,47.2
2022,,,Alegia,"Per 10,000",Alegia,23.0
2020,,,Alegia,"Per 10,000",Alegia,23.7
2021,,,Alegia,"Per 10,000",Alegia,23.4
2022,,,Alegría-Dulantzi,"Per 10,000",Alegría-Dulantzi,52.7
2019,,,Alegría-Dulantzi,"Per 10,000",Alegría-Dulantzi,26.9
2023,,,Alegría-Dulantzi,"Per 10,000",Alegría-Dulantzi,25.8
2021,,,Alegría-Dulantzi,"Per 10,000",Alegría-Dulantzi,33.1
2020,,,Alegría-Dulantzi,"Per 10,000",Alegría-Dulantzi,40.0
2023,,,Alkiza,"Per 10,000",Alkiza,0.0
2022,,,Alkiza,"Per 10,000",Alkiza,0.0
2019,,,Alkiza,"Per 10,000",Alkiza,0.0
2021,,,Alkiza,"Per 10,000",Alkiza,0.0
2020,,,Alkiza,"Per 10,000",Alkiza,0.0
2021,,,Alonsotegi,"Per 10,000",Alonsotegi,60.6
2020,,,Alonsotegi,"Per 10,000",Alonsotegi,20.1
2023,,,Alonsotegi,"Per 10,000",Alonsotegi,19.8
2022,,,Alonsotegi,"Per 10,000",Alonsotegi,26.8
2019,,,Alonsotegi,"Per 10,000",Alonsotegi,53.7
2019,,,Altzaga,"Per 10,000",Altzaga,0.0
2021,,,Altzaga,"Per 10,000",Altzaga,0.0
2020,,,Altzaga,"Per 10,000",Altzaga,0.0
2022,,,Altzaga,"Per 10,000",Altzaga,0.0
2023,,,Altzaga,"Per 10,000",Altzaga,0.0
2023,,,Altzo,"Per 10,000",Altzo,0.0
2020,,,Altzo,"Per 10,000",Altzo,0.0
2022,,,Altzo,"Per 10,000",Altzo,0.0
2021,,,Altzo,"Per 10,000",Altzo,0.0
2019,,,Altzo,"Per 10,000",Altzo,0.0
2019,,,Amezketa,"Per 10,000",Amezketa,0.0
2021,,,Amezketa,"Per 10,000",Amezketa,22.9
2022,,,Amezketa,"Per 10,000",Amezketa,0.0
2020,,,Amezketa,"Per 10,000",Amezketa,23.1
2023,,,Amezketa,"Per 10,000",Amezketa,0.0
2020,,,Amorebieta-Etxano,"Per 10,000",Amorebieta-Etxano,26.2
2023,,,Amorebieta-Etxano,"Per 10,000",Amorebieta-Etxano,33.7
2022,,,Amorebieta-Etxano,"Per 10,000",Amorebieta-Etxano,41.2
2021,,,Amorebieta-Etxano,"Per 10,000",Amorebieta-Etxano,26.0
2019,,,Amorebieta-Etxano,"Per 10,000",Amorebieta-Etxano,26.4
2023,,,Amoroto,"Per 10,000",Amoroto,0.0
2022,,,Amoroto,"Per 10,000",Amoroto,0.0
2020,,,Amoroto,"Per 10,000",Amoroto,0.0
2019,,,Amoroto,"Per 10,000",Amoroto,48.2
2021,,,Amoroto,"Per 10,000",Amoroto,0.0
2020,,,Amurrio,"Per 10,000",Amurrio,30.4
2021,,,Amurrio,"Per 10,000",Amurrio,17.1
2022,,,Amurrio,"Per 10,000",Amurrio,32.3
2019,,,Amurrio,"Per 10,000",Amurrio,26.7
2023,,,Amurrio,"Per 10,000",Amurrio,36.1
2020,,,Andoain,"Per 10,000",Andoain,32.0
2023,,,Andoain,"Per 10,000",Andoain,39.2
2022,,,Andoain,"Per 10,000",Andoain,44.1
2019,,,Andoain,"Per 10,000",Andoain,30.7
2021,,,Andoain,"Per 10,000",Andoain,25.4
2019,,,Anoeta,"Per 10,000",Anoeta,10.5
2022,,,Anoeta,"Per 10,000",Anoeta,20.0
2020,,,Anoeta,"Per 10,000",Anoeta,31.1
2021,,,Anoeta,"Per 10,000",Anoeta,30.7
2023,,,Anoeta,"Per 10,000",Anoeta,9.7
2021,,,Antzuola,"Per 10,000",Antzuola,18.2
2020,,,Antzuola,"Per 10,000",Antzuola,18.0
2019,,,Antzuola,"Per 10,000",Antzuola,36.1
2023,,,Antzuola,"Per 10,000",Antzuola,18.6
2022,,,Antzuola,"Per 10,000",Antzuola,9.2
2021,,,Añana,"Per 10,000",Añana,0.0
2019,,,Añana,"Per 10,000",Añana,0.0
2023,,,Añana,"Per 10,000",Añana,0.0
2020,,,Añana,"Per 10,000",Añana,0.0
2022,,,Añana,"Per 10,000",Añana,0.0
2022,,,Arakaldo,"Per 10,000",Arakaldo,0.0
2020,,,Arakaldo,"Per 10,000",Arakaldo,0.0
2019,,,Arakaldo,"Per 10,000",Arakaldo,0.0
2023,,,Arakaldo,"Per 10,000",Arakaldo,0.0
2021,,,Arakaldo,"Per 10,000",Arakaldo,0.0
2023,,,Arama,"Per 10,000",Arama,0.0
2021,,,Arama,"Per 10,000",Arama,0.0
2020,,,Arama,"Per 10,000",Arama,0.0
2022,,,Arama,"Per 10,000",Arama,0.0
2019,,,Arama,"Per 10,000",Arama,0.0
2020,,,Aramaio,"Per 10,000",Aramaio,0.0
