Year,Sex,Province,Units,Value
2013,,,Minutes,173
2018,,,Minutes,161
2023,,,Minutes,154
2018,,Araba/Álava,Minutes,166
2023,,Araba/Álava,Minutes,155
2013,,Araba/Álava,Minutes,175
2013,,Bizkaia,Minutes,176
2023,,Bizkaia,Minutes,156
2018,,Bizkaia,Minutes,160
2018,,Gipuzkoa,Minutes,158
2023,,Gipuzkoa,Minutes,152
2013,,Gipuzkoa,Minutes,166
2018,Female,,Minutes,209
2013,Female,,Minutes,224
2023,Female,,Minutes,182
2023,Female,Araba/Álava,Minutes,189
2013,Female,Araba/Álava,Minutes,223
2018,Female,Araba/Álava,Minutes,217
2013,Female,Bizkaia,Minutes,229
2023,Female,Bizkaia,Minutes,181
2018,Female,Bizkaia,Minutes,208
2023,Female,Gipuzkoa,Minutes,180
2018,Female,Gipuzkoa,Minutes,206
2013,Female,Gipuzkoa,Minutes,217
2013,Male,,Minutes,118
2018,Male,,Minutes,109
2023,Male,,Minutes,124
2023,Male,Araba/Álava,Minutes,118
2013,Male,Araba/Álava,Minutes,127
2018,Male,Araba/Álava,Minutes,111
2013,Male,Bizkaia,Minutes,118
2023,Male,Bizkaia,Minutes,128
2018,Male,Bizkaia,Minutes,108
2013,Male,Gipuzkoa,Minutes,113
2023,Male,Gipuzkoa,Minutes,121
2018,Male,Gipuzkoa,Minutes,108
