Year,Occupation,Province,Units,Value
2018,Managerial position,,%,35.8
2022,Managerial position,,%,32.3
2021,Managerial position,,%,32.3
2017,Managerial position,,%,35.6
2015,Managerial position,,%,36.7
2012,Managerial position,,%,29.0
2011,Managerial position,,%,31.7
2013,Managerial position,,%,31.3
2019,Managerial position,,%,34.3
2023,Managerial position,,%,33.9
2024,Managerial position,,%,34.5
2014,Managerial position,,%,28.7
2010,Managerial position,,%,28.8
2020,Managerial position,,%,31.8
2016,Managerial position,,%,34.7
2011,Managerial position,Araba/Álava,%,25.8
2016,Managerial position,Araba/Álava,%,27.6
2019,Managerial position,Araba/Álava,%,28.4
2012,Managerial position,Araba/Álava,%,24.8
2023,Managerial position,Araba/Álava,%,36.5
2024,Managerial position,Araba/Álava,%,37.6
2018,Managerial position,Araba/Álava,%,39.4
2015,Managerial position,Araba/Álava,%,35.2
2010,Managerial position,Araba/Álava,%,28.4
2021,Managerial position,Araba/Álava,%,28.8
2020,Managerial position,Araba/Álava,%,27.0
2017,Managerial position,Araba/Álava,%,36.2
2013,Managerial position,Araba/Álava,%,29.3
2022,Managerial position,Araba/Álava,%,31.3
2014,Managerial position,Araba/Álava,%,26.5
2013,Managerial position,Bizkaia,%,30.6
2023,Managerial position,Bizkaia,%,35.7
2020,Managerial position,Bizkaia,%,31.5
2018,Managerial position,Bizkaia,%,35.5
2015,Managerial position,Bizkaia,%,37.1
2022,Managerial position,Bizkaia,%,34.5
2021,Managerial position,Bizkaia,%,30.2
2024,Managerial position,Bizkaia,%,33.6
2012,Managerial position,Bizkaia,%,29.4
2014,Managerial position,Bizkaia,%,26.8
2019,Managerial position,Bizkaia,%,35.3
2016,Managerial position,Bizkaia,%,34.7
2011,Managerial position,Bizkaia,%,33.2
2010,Managerial position,Bizkaia,%,30.4
2017,Managerial position,Bizkaia,%,35.5
2012,Managerial position,Gipuzkoa,%,30.4
2024,Managerial position,Gipuzkoa,%,34.8
2022,Managerial position,Gipuzkoa,%,29.8
2016,Managerial position,Gipuzkoa,%,38.6
2019,Managerial position,Gipuzkoa,%,34.7
2011,Managerial position,Gipuzkoa,%,31.0
2018,Managerial position,Gipuzkoa,%,35.0
2023,Managerial position,Gipuzkoa,%,30.3
2014,Managerial position,Gipuzkoa,%,32.5
2010,Managerial position,Gipuzkoa,%,26.4
2020,Managerial position,Gipuzkoa,%,34.3
2021,Managerial position,Gipuzkoa,%,37.0
2017,Managerial position,Gipuzkoa,%,35.4
2015,Managerial position,Gipuzkoa,%,36.6
2013,Managerial position,Gipuzkoa,%,33.3
2014,Senior management,,%,27.2
2023,Senior management,,%,29.5
2019,Senior management,,%,31.4
2020,Senior management,,%,29.8
2012,Senior management,,%,25.7
2017,Senior management,,%,32.3
2011,Senior management,,%,28.1
2018,Senior management,,%,31.9
2024,Senior management,,%,30.0
2013,Senior management,,%,30.6
2015,Senior management,,%,29.5
2021,Senior management,,%,28.6
2016,Senior management,,%,30.2
2010,Senior management,,%,32.5
2022,Senior management,,%,27.7
2020,Senior management,Araba/Álava,%,25.1
2017,Senior management,Araba/Álava,%,38.7
2024,Senior management,Araba/Álava,%,31.5
2015,Senior management,Araba/Álava,%,25.5
2023,Senior management,Araba/Álava,%,30.2
2022,Senior management,Araba/Álava,%,24.6
2021,Senior management,Araba/Álava,%,24.3
2018,Senior management,Araba/Álava,%,42.3
2016,Senior management,Araba/Álava,%,26.0
2013,Senior management,Araba/Álava,%,20.1
2019,Senior management,Araba/Álava,%,23.3
2011,Senior management,Araba/Álava,%,29.6
2010,Senior management,Araba/Álava,%,34.6
2012,Senior management,Araba/Álava,%,11.7
2014,Senior management,Araba/Álava,%,19.9
2023,Senior management,Bizkaia,%,31.7
2024,Senior management,Bizkaia,%,29.9
2021,Senior management,Bizkaia,%,29.5
2020,Senior management,Bizkaia,%,32.8
2019,Senior management,Bizkaia,%,34.5
2013,Senior management,Bizkaia,%,30.9
2018,Senior management,Bizkaia,%,27.8
2017,Senior management,Bizkaia,%,29.3
2015,Senior management,Bizkaia,%,32.3
2012,Senior management,Bizkaia,%,27.8
2010,Senior management,Bizkaia,%,34.9
2014,Senior management,Bizkaia,%,25.2
2022,Senior management,Bizkaia,%,31.1
2011,Senior management,Bizkaia,%,29.3
2016,Senior management,Bizkaia,%,29.9
2024,Senior management,Gipuzkoa,%,29.4
2022,Senior management,Gipuzkoa,%,24.9
2017,Senior management,Gipuzkoa,%,33.7
2018,Senior management,Gipuzkoa,%,33.8
