Year,Series,Sex,Type of tenure,Province,Units,Value
2009,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,,,%,33.2
2009,Proportion of the total agricultural population with property rights or secure rights to agricultural land,,,,%,54.5
2016,Proportion of the total agricultural population with property rights or secure rights to agricultural land,,,,%,51.7
2020,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,,,%,30.6
2023,Proportion of the total agricultural population with property rights or secure rights to agricultural land,,,,%,43.2
2016,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,,,%,38.2
2023,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,,,%,32.9
2020,Proportion of the total agricultural population with property rights or secure rights to agricultural land,,,,%,47.9
2013,Proportion of the total agricultural population with property rights or secure rights to agricultural land,,,,%,57.5
2013,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,,,%,37.4
2013,Proportion of the total agricultural population with property rights or secure rights to agricultural land,,,Araba/Álava,%,49.2
2009,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,,Araba/Álava,%,29.1
2023,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,,Araba/Álava,%,21.6
2023,Proportion of the total agricultural population with property rights or secure rights to agricultural land,,,Araba/Álava,%,46.3
2009,Proportion of the total agricultural population with property rights or secure rights to agricultural land,,,Araba/Álava,%,51.2
2016,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,,Araba/Álava,%,31.6
2013,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,,Araba/Álava,%,29.2
2016,Proportion of the total agricultural population with property rights or secure rights to agricultural land,,,Araba/Álava,%,42.8
2016,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,,Bizkaia,%,41.4
2023,Proportion of the total agricultural population with property rights or secure rights to agricultural land,,,Bizkaia,%,44.0
2023,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,,Bizkaia,%,39.4
2016,Proportion of the total agricultural population with property rights or secure rights to agricultural land,,,Bizkaia,%,54.5
2013,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,,Bizkaia,%,40.9
2013,Proportion of the total agricultural population with property rights or secure rights to agricultural land,,,Bizkaia,%,62.0
2009,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,,Bizkaia,%,36.8
2009,Proportion of the total agricultural population with property rights or secure rights to agricultural land,,,Bizkaia,%,58.3
2016,Proportion of the total agricultural population with property rights or secure rights to agricultural land,,,Gipuzkoa,%,53.0
2013,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,,Gipuzkoa,%,37.1
2013,Proportion of the total agricultural population with property rights or secure rights to agricultural land,,,Gipuzkoa,%,57.1
2009,Proportion of the total agricultural population with property rights or secure rights to agricultural land,,,Gipuzkoa,%,52.1
2023,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,,Gipuzkoa,%,35.5
2023,Proportion of the total agricultural population with property rights or secure rights to agricultural land,,,Gipuzkoa,%,40.8
2009,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,,Gipuzkoa,%,31.1
2016,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,,Gipuzkoa,%,37.0
2023,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,Owned,,%,35.6
2020,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,Owned,,%,32.9
2016,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,Owned,,%,40.4
2009,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,Owned,,%,35.1
2013,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,Owned,,%,39.1
2009,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,Owned,Araba/Álava,%,30.7
2023,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,Owned,Araba/Álava,%,24.2
2009,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,Owned,Bizkaia,%,39.0
2023,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,Owned,Bizkaia,%,41.8
2023,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,Owned,Gipuzkoa,%,38.0
2009,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,Owned,Gipuzkoa,%,32.5
2023,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,Rented,,%,26.6
2009,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,Rented,,%,26.4
2013,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,Rented,,%,29.8
2016,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,Rented,,%,31.0
2020,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,Rented,,%,25.8
2009,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,Rented,Araba/Álava,%,23.2
2023,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,Rented,Araba/Álava,%,14.0
2023,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,Rented,Bizkaia,%,40.0
2009,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,Rented,Bizkaia,%,30.6
2009,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,Rented,Gipuzkoa,%,23.1
2023,"Proportion of women among owners or holders of rights to agricultural land, by tenure type",,Rented,Gipuzkoa,%,26.2
2013,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Female,,,%,58.9
2009,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Female,,,%,55.8
