Year,Series,Province,County,Municipality,Units,GeoCode,Value
2019,Proportion of households with running water,,,,%,,99.9
2023,Proportion of households with running water,,,,%,,99.9
2010,Proportion of households with a toilet,,,,%,,99.5
2022,Proportion of households with running water,,,,%,,99.9
2014,Proportion of households with running water,,,,%,,99.9
2015,Proportion of households with a toilet,,,,%,,99.6
2021,Proportion of households with running water,,,,%,,99.9
2013,Proportion of households with running water,,,,%,,99.9
2021,Proportion of households with a toilet,,,,%,,99.8
2016,Proportion of households with running water,,,,%,,99.9
2015,Proportion of households with running water,,,,%,,99.9
2020,Proportion of households with a toilet,,,,%,,99.8
2016,Proportion of households with a toilet,,,,%,,99.6
2020,Proportion of households with running water,,,,%,,99.9
2018,Proportion of households with running water,,,,%,,99.9
2013,Proportion of households with a toilet,,,,%,,99.6
2023,Proportion of households with a toilet,,,,%,,99.8
2019,Proportion of households with a toilet,,,,%,,99.6
2022,Proportion of households with a toilet,,,,%,,99.8
2014,Proportion of households with a toilet,,,,%,,99.6
2018,Proportion of households with a toilet,,,,%,,99.6
2010,Proportion of households with running water,,,,%,,99.9
2022,Proportion of households with running water,,,Abadiño,%,Abadiño,100.0
2015,Proportion of households with a toilet,,,Abadiño,%,Abadiño,99.7
2016,Proportion of households with running water,,,Abadiño,%,Abadiño,100.0
2010,Proportion of households with a toilet,,,Abadiño,%,Abadiño,99.7
2023,Proportion of households with running water,,,Abadiño,%,Abadiño,100.0
2015,Proportion of households with running water,,,Abadiño,%,Abadiño,100.0
2013,Proportion of households with a toilet,,,Abadiño,%,Abadiño,99.7
2019,Proportion of households with a toilet,,,Abadiño,%,Abadiño,99.8
2020,Proportion of households with running water,,,Abadiño,%,Abadiño,100.0
2021,Proportion of households with running water,,,Abadiño,%,Abadiño,100.0
2021,Proportion of households with a toilet,,,Abadiño,%,Abadiño,100.0
2019,Proportion of households with running water,,,Abadiño,%,Abadiño,100.0
2010,Proportion of households with running water,,,Abadiño,%,Abadiño,100.0
2018,Proportion of households with a toilet,,,Abadiño,%,Abadiño,99.8
2022,Proportion of households with a toilet,,,Abadiño,%,Abadiño,100.0
2014,Proportion of households with a toilet,,,Abadiño,%,Abadiño,99.7
2020,Proportion of households with a toilet,,,Abadiño,%,Abadiño,100.0
2018,Proportion of households with running water,,,Abadiño,%,Abadiño,100.0
2014,Proportion of households with running water,,,Abadiño,%,Abadiño,100.0
2013,Proportion of households with running water,,,Abadiño,%,Abadiño,100.0
2016,Proportion of households with a toilet,,,Abadiño,%,Abadiño,99.7
