Year,Type of use,Province,Units,Value
2018,,,M3,179965484.0
2022,,,M3,178506380.0
2023,,,M3,180064405.0
2020,,,M3,163675651.0
2013,,,M3,177555343.0
2021,,,M3,176421751.0
2017,,,M3,180334331.0
2016,,,M3,180637435.0
2019,,,M3,178194264.0
2022,,Araba/Álava,M3,34289283.3
2021,,Araba/Álava,M3,33005213.7
2023,,Araba/Álava,M3,30181664.0
2022,,Bizkaia,M3,80667418.7
2023,,Bizkaia,M3,86372241.0
2021,,Bizkaia,M3,80592250.2
2023,,Gipuzkoa,M3,63510500.0
2021,,Gipuzkoa,M3,62824287.1
2022,,Gipuzkoa,M3,63549678.2
2023,Domestic use,,M3,86895324.9
2018,Domestic use,,M3,88318278.6
2020,Domestic use,,M3,84373909.2
2022,Domestic use,,M3,92735193.3
2016,Domestic use,,M3,89191117.7
2021,Domestic use,,M3,92949522.0
2013,Domestic use,,M3,87929643.4
2017,Domestic use,,M3,88547260.4
2019,Domestic use,,M3,88407446.1
2022,Domestic use,Araba/Álava,M3,14077675.9
2023,Domestic use,Araba/Álava,M3,11989165.1
2021,Domestic use,Araba/Álava,M3,14177085.4
2021,Domestic use,Bizkaia,M3,45477855.0
2022,Domestic use,Bizkaia,M3,45514402.4
2023,Domestic use,Bizkaia,M3,43068870.3
2021,Domestic use,Gipuzkoa,M3,33294582.0
2023,Domestic use,Gipuzkoa,M3,31837289.5
2022,Domestic use,Gipuzkoa,M3,33143115.0
2017,Industrial use,,M3,66412090.1
2018,Industrial use,,M3,66232578.1
2021,Industrial use,,M3,60880414.0
2019,Industrial use,,M3,64695490.7
2023,Industrial use,,M3,61328986.0
2020,Industrial use,,M3,58454182.7
2016,Industrial use,,M3,65939730.6
2013,Industrial use,,M3,65635020.7
2022,Industrial use,,M3,60067313.1
2022,Industrial use,Araba/Álava,M3,14823181.0
2023,Industrial use,Araba/Álava,M3,13125427.2
2021,Industrial use,Araba/Álava,M3,15019725.6
2022,Industrial use,Bizkaia,M3,24288140.7
2023,Industrial use,Bizkaia,M3,25445892.7
2021,Industrial use,Bizkaia,M3,24292745.1
2023,Industrial use,Gipuzkoa,M3,22757666.1
2022,Industrial use,Gipuzkoa,M3,20955991.4
2021,Industrial use,Gipuzkoa,M3,21567942.9
2018,Commercial use,,M3,12219522.3
2022,Commercial use,,M3,11060459.6
2019,Commercial use,,M3,11666682.7
2013,Commercial use,,M3,11740415.2
2023,Commercial use,,M3,9772381.2
2021,Commercial use,,M3,10471436.0
2020,Commercial use,,M3,11253856.2
2017,Commercial use,,M3,11970086.0
2016,Commercial use,,M3,12429023.2
2023,Commercial use,Araba/Álava,M3,119019.2
2022,Commercial use,Araba/Álava,M3,315629.0
2021,Commercial use,Araba/Álava,M3,307205.5
2021,Commercial use,Bizkaia,M3,4743841.0
2022,Commercial use,Bizkaia,M3,4746266.6
2023,Commercial use,Bizkaia,M3,6283333.0
2022,Commercial use,Gipuzkoa,M3,5998564.0
2023,Commercial use,Gipuzkoa,M3,3370029.0
2021,Commercial use,Gipuzkoa,M3,5420389.0
2017,Public use,,M3,10650290.2
2019,Public use,,M3,10440779.4
2016,Public use,,M3,10427598.1
2021,Public use,,M3,9263988.0
2023,Public use,,M3,18438765.3
2020,Public use,,M3,5047360.5
2018,Public use,,M3,10356549.1
2013,Public use,,M3,10687889.9
2022,Public use,,M3,11010562.7
2022,Public use,Araba/Álava,M3,4000563.8
2023,Public use,Araba/Álava,M3,3766872.3
2021,Public use,Araba/Álava,M3,3068185.1
2023,Public use,Bizkaia,M3,9791675.0
2022,Public use,Bizkaia,M3,4162631.5
2021,Public use,Bizkaia,M3,4165676.5
2023,Public use,Gipuzkoa,M3,4880218.0
2022,Public use,Gipuzkoa,M3,2847367.4
2021,Public use,Gipuzkoa,M3,2030126.5
2023,Agricultural use,,M3,2051068.7
2021,Agricultural use,,M3,1065919.0
2016,Agricultural use,,M3,1127021.1
2018,Agricultural use,,M3,1131076.3
2017,Agricultural use,,M3,1122869.4
2013,Agricultural use,,M3,358850.4
2022,Agricultural use,,M3,1827137.7
2019,Agricultural use,,M3,1262937.4
2020,Agricultural use,,M3,2907569.7
2021,Agricultural use,Araba/Álava,M3,256133.2
2023,Agricultural use,Araba/Álava,M3,984376.7
2022,Agricultural use,Araba/Álava,M3,895748.9
2022,Agricultural use,Bizkaia,M3,704744.6
2023,Agricultural use,Bizkaia,M3,694183.4
2021,Agricultural use,Bizkaia,M3,660993.0
2022,Agricultural use,Gipuzkoa,M3,226644.3
2023,Agricultural use,Gipuzkoa,M3,372508.6
2021,Agricultural use,Gipuzkoa,M3,148793.0
2017,Other uses,,M3,1631735.3
2022,Other uses,,M3,1805713.9
2020,Other uses,,M3,1638772.1
2016,Other uses,,M3,1522943.9
2018,Other uses,,M3,1707479.9
2013,Other uses,,M3,1203523.7
2019,Other uses,,M3,1720927.5
2023,Other uses,,M3,1577879.3
2021,Other uses,,M3,1790472.0
2023,Other uses,Araba/Álava,M3,196804.0
2022,Other uses,Araba/Álava,M3,176484.9
2021,Other uses,Araba/Álava,M3,176878.9
2023,Other uses,Bizkaia,M3,1088286.9
2022,Other uses,Bizkaia,M3,1251232.9
2021,Other uses,Bizkaia,M3,1251139.6
2023,Other uses,Gipuzkoa,M3,292788.4
2022,Other uses,Gipuzkoa,M3,377996.1
2021,Other uses,Gipuzkoa,M3,362453.8
