Year,Series,Units,Value
2017,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in drinking water management,%,100
2019,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in drinking water management,%,100
2018,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in drinking water management,%,100
2015,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in drinking water management,%,100
2022,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in drinking water management,%,100
2013,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in drinking water management,%,100
2021,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in drinking water management,%,100
2023,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in drinking water management,%,100
2014,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in drinking water management,%,100
2011,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in drinking water management,%,100
2020,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in drinking water management,%,100
2016,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in drinking water management,%,100
2012,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in drinking water management,%,100
2010,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in drinking water management,%,100
2024,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in drinking water management,%,100
2017,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in bathing water management,%,100
2020,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in bathing water management,%,100
2011,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in bathing water management,%,100
2016,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in bathing water management,%,100
2014,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in bathing water management,%,100
2023,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in bathing water management,%,100
2022,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in bathing water management,%,100
2010,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in bathing water management,%,100
2018,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in bathing water management,%,100
2024,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in bathing water management,%,100
2015,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in bathing water management,%,100
2021,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in bathing water management,%,100
2019,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in bathing water management,%,100
2012,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in bathing water management,%,100
2013,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in bathing water management,%,100
