Year,Units,Value
2007,Megajoules per constant USD PPP (GDP),2.59
2008,Megajoules per constant USD PPP (GDP),2.59
2009,Megajoules per constant USD PPP (GDP),2.51
2010,Megajoules per constant USD PPP (GDP),2.43
2011,Megajoules per constant USD PPP (GDP),2.24
2012,Megajoules per constant USD PPP (GDP),2.31
2013,Megajoules per constant USD PPP (GDP),2.25
2014,Megajoules per constant USD PPP (GDP),2.16
2015,Megajoules per constant USD PPP (GDP),2.13
2016,Megajoules per constant USD PPP (GDP),2.05
2017,Megajoules per constant USD PPP (GDP),2.05
2018,Megajoules per constant USD PPP (GDP),1.99
2019,Megajoules per constant USD PPP (GDP),1.97
2020,Megajoules per constant USD PPP (GDP),1.96
2021,Megajoules per constant USD PPP (GDP),1.99
2022,Megajoules per constant USD PPP (GDP),1.95
2023,Megajoules per constant USD PPP (GDP),1.7
