Year,Sex,Age,Residence,People with and without disabilities,Province,County,Municipality,Units,GeoCode,Value
2015,,16 years and over,,,,,,PT,,15.7
2019,,16 years and over,,,,,,PT,,9.8
2012,,16 years and over,,,,,,PT,,11.8
2014,,16 years and over,,,,,,PT,,16.1
2010,,16 years and over,,,,,,PT,,9.2
2016,,16 years and over,,,,,,PT,,13.8
2018,,16 years and over,,,,,,PT,,10.5
2017,,16 years and over,,,,,,PT,,11.6
2011,,16 years and over,,,,,,PT,,10.8
2021,,16 years and over,,,,,,PT,,10.0
2023,,16 years and over,,,,,,PT,,7.8
2013,,16 years and over,,,,,,PT,,15.1
2022,,16 years and over,,,,,,PT,,8.6
2020,,16 years and over,,,,,,PT,,10.6
2016,,16 years and over,,,,,Abadiño,PT,Abadiño,12.0
2021,,16 years and over,,,,,Abadiño,PT,Abadiño,10.7
2018,,16 years and over,,,,,Abadiño,PT,Abadiño,9.7
2019,,16 years and over,,,,,Abadiño,PT,Abadiño,9.1
2020,,16 years and over,,,,,Abadiño,PT,Abadiño,8.7
2010,,16 years and over,,,,,Abadiño,PT,Abadiño,9.2
2015,,16 years and over,,,,,Abadiño,PT,Abadiño,13.9
2019,,16 years and over,,,,,Abaltzisketa,PT,Abaltzisketa,5.0
2020,,16 years and over,,,,,Abaltzisketa,PT,Abaltzisketa,2.9
2010,,16 years and over,,,,,Abaltzisketa,PT,Abaltzisketa,7.1
2021,,16 years and over,,,,,Abaltzisketa,PT,Abaltzisketa,3.0
2016,,16 years and over,,,,,Abaltzisketa,PT,Abaltzisketa,7.5
2018,,16 years and over,,,,,Abaltzisketa,PT,Abaltzisketa,10.1
2015,,16 years and over,,,,,Abaltzisketa,PT,Abaltzisketa,6.6
2021,,16 years and over,,,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,14.3
2018,,16 years and over,,,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,14.1
2016,,16 years and over,,,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,18.7
2019,,16 years and over,,,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,12.5
2010,,16 years and over,,,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,9.8
2020,,16 years and over,,,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,13.0
2015,,16 years and over,,,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,17.8
2016,,16 years and over,,,,,Aduna,PT,Aduna,8.5
2018,,16 years and over,,,,,Aduna,PT,Aduna,4.0
2015,,16 years and over,,,,,Aduna,PT,Aduna,11.4
2020,,16 years and over,,,,,Aduna,PT,Aduna,3.6
2010,,16 years and over,,,,,Aduna,PT,Aduna,5.4
2021,,16 years and over,,,,,Aduna,PT,Aduna,1.2
2019,,16 years and over,,,,,Aduna,PT,Aduna,2.8
2020,,16 years and over,,,,,Agurain/Salvatierra,PT,Agurain/Salvatierra,14.7
2016,,16 years and over,,,,,Agurain/Salvatierra,PT,Agurain/Salvatierra,16.6
2018,,16 years and over,,,,,Agurain/Salvatierra,PT,Agurain/Salvatierra,14.5
2015,,16 years and over,,,,,Agurain/Salvatierra,PT,Agurain/Salvatierra,18.6
2010,,16 years and over,,,,,Agurain/Salvatierra,PT,Agurain/Salvatierra,10.4
2019,,16 years and over,,,,,Agurain/Salvatierra,PT,Agurain/Salvatierra,13.1
2021,,16 years and over,,,,,Agurain/Salvatierra,PT,Agurain/Salvatierra,14.9
2018,,16 years and over,,,,,Aia,PT,Aia,8.3
2010,,16 years and over,,,,,Aia,PT,Aia,8.0
2020,,16 years and over,,,,,Aia,PT,Aia,5.8
2015,,16 years and over,,,,,Aia,PT,Aia,11.2
2021,,16 years and over,,,,,Aia,PT,Aia,6.5
