Year,Series,Sex,Type of contract,Province,County,Municipality,Units,GeoCode,Value
2011,Employment rate,,,,,,%,,67.7
2020,Employment rate,,,,,,%,,70.9
2010,Employment rate,,,,,,%,,68.3
2017,Employment rate,,,,,,%,,70.0
2022,Employment rate,,,,,,%,,74.0
2012,Employment rate,,,,,,%,,66.3
2016,Employment rate,,,,,,%,,68.9
2013,Employment rate,,,,,,%,,66.0
2019,Employment rate,,,,,,%,,72.6
2018,Employment rate,,,,,,%,,72.0
2021,Employment rate,,,,,,%,,72.2
2015,Employment rate,,,,,,%,,67.6
2023,Employment rate,,,,,,%,,74.6
2014,Employment rate,,,,,,%,,66.4
2021,Employment rate,,,,,Abadiño,%,Abadiño,72.6
2019,Employment rate,,,,,Abadiño,%,Abadiño,72.9
2022,Employment rate,,,,,Abadiño,%,Abadiño,74.5
2010,Employment rate,,,,,Abadiño,%,Abadiño,65.7
2018,Employment rate,,,,,Abadiño,%,Abadiño,72.0
2015,Employment rate,,,,,Abadiño,%,Abadiño,68.7
2020,Employment rate,,,,,Abadiño,%,Abadiño,73.1
2016,Employment rate,,,,,Abadiño,%,Abadiño,69.6
2023,Employment rate,,,,,Abadiño,%,Abadiño,76.7
2021,Employment rate,,,,,Abaltzisketa,%,Abaltzisketa,79.3
2018,Employment rate,,,,,Abaltzisketa,%,Abaltzisketa,74.1
2020,Employment rate,,,,,Abaltzisketa,%,Abaltzisketa,82.1
2022,Employment rate,,,,,Abaltzisketa,%,Abaltzisketa,80.3
2023,Employment rate,,,,,Abaltzisketa,%,Abaltzisketa,78.4
2016,Employment rate,,,,,Abaltzisketa,%,Abaltzisketa,75.1
2015,Employment rate,,,,,Abaltzisketa,%,Abaltzisketa,77.3
2019,Employment rate,,,,,Abaltzisketa,%,Abaltzisketa,77.2
2010,Employment rate,,,,,Abaltzisketa,%,Abaltzisketa,76.8
2018,Employment rate,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,66.4
2019,Employment rate,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,68.2
2010,Employment rate,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,65.3
2015,Employment rate,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,63.3
2016,Employment rate,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,63.0
2020,Employment rate,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,68.2
2021,Employment rate,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,67.4
2022,Employment rate,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,70.1
2023,Employment rate,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,72.8
2010,Employment rate,,,,,Aduna,%,Aduna,76.2
2016,Employment rate,,,,,Aduna,%,Aduna,80.3
2022,Employment rate,,,,,Aduna,%,Aduna,84.1
2021,Employment rate,,,,,Aduna,%,Aduna,84.8
2018,Employment rate,,,,,Aduna,%,Aduna,83.8
2015,Employment rate,,,,,Aduna,%,Aduna,77.6
2019,Employment rate,,,,,Aduna,%,Aduna,84.2
2023,Employment rate,,,,,Aduna,%,Aduna,86.0
2020,Employment rate,,,,,Aduna,%,Aduna,82.3
2020,Employment rate,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,69.2
2022,Employment rate,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,73.2
2010,Employment rate,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,68.6
2015,Employment rate,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,66.7
2023,Employment rate,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,73.5
2021,Employment rate,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,69.1
2016,Employment rate,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,66.4
2018,Employment rate,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,67.8
2019,Employment rate,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,68.2
2015,Employment rate,,,,,Aia,%,Aia,73.8
2018,Employment rate,,,,,Aia,%,Aia,76.9
2022,Employment rate,,,,,Aia,%,Aia,79.6
2016,Employment rate,,,,,Aia,%,Aia,74.5
2019,Employment rate,,,,,Aia,%,Aia,78.3
2021,Employment rate,,,,,Aia,%,Aia,78.0
2023,Employment rate,,,,,Aia,%,Aia,82.6
2020,Employment rate,,,,,Aia,%,Aia,78.2
2010,Employment rate,,,,,Aia,%,Aia,72.0
2022,Employment rate,,,,,Aizarnazabal,%,Aizarnazabal,73.3
2020,Employment rate,,,,,Aizarnazabal,%,Aizarnazabal,73.7
2016,Employment rate,,,,,Aizarnazabal,%,Aizarnazabal,64.8
2015,Employment rate,,,,,Aizarnazabal,%,Aizarnazabal,65.5
2023,Employment rate,,,,,Aizarnazabal,%,Aizarnazabal,77.4
2010,Employment rate,,,,,Aizarnazabal,%,Aizarnazabal,68.4
2018,Employment rate,,,,,Aizarnazabal,%,Aizarnazabal,69.0
2019,Employment rate,,,,,Aizarnazabal,%,Aizarnazabal,71.8
2021,Employment rate,,,,,Aizarnazabal,%,Aizarnazabal,71.0
2015,Employment rate,,,,,Ajangiz,%,Ajangiz,76.2
2018,Employment rate,,,,,Ajangiz,%,Ajangiz,78.5
2016,Employment rate,,,,,Ajangiz,%,Ajangiz,78.6
2019,Employment rate,,,,,Ajangiz,%,Ajangiz,81.5
2021,Employment rate,,,,,Ajangiz,%,Ajangiz,73.7
2010,Employment rate,,,,,Ajangiz,%,Ajangiz,76.0
2023,Employment rate,,,,,Ajangiz,%,Ajangiz,79.7
2020,Employment rate,,,,,Ajangiz,%,Ajangiz,77.5
2022,Employment rate,,,,,Ajangiz,%,Ajangiz,78.4
2010,Employment rate,,,,,Albiztur,%,Albiztur,70.8
2020,Employment rate,,,,,Albiztur,%,Albiztur,82.2
2015,Employment rate,,,,,Albiztur,%,Albiztur,79.8
2021,Employment rate,,,,,Albiztur,%,Albiztur,77.4
2018,Employment rate,,,,,Albiztur,%,Albiztur,79.6
2016,Employment rate,,,,,Albiztur,%,Albiztur,76.1
2022,Employment rate,,,,,Albiztur,%,Albiztur,80.6
