Year,Series,Units,Value
2017,Regional public administration spending on employment promotion,Millions of euros,363.0
2020,Regional public administration spending on employment promotion,Millions of euros,424.0
2016,Regional public administration spending on employment promotion,Millions of euros,333.6
2014,Regional public administration spending on employment promotion,Millions of euros,319.8
2012,Regional public administration spending on employment promotion,Millions of euros,527.1
2021,Regional public administration spending on employment promotion,Millions of euros,405.3
2018,Regional public administration spending on employment promotion,Millions of euros,358.1
2010,Regional public administration spending on employment promotion,Millions of euros,94.6
2013,Regional public administration spending on employment promotion,Millions of euros,321.7
2011,Regional public administration spending on employment promotion,Millions of euros,399.9
2019,Regional public administration spending on employment promotion,Millions of euros,408.7
2015,Regional public administration spending on employment promotion,Millions of euros,341.3
2010,Regional public administration spending on employment promotion as a proportion of total spending,PT,0.9
2011,Regional public administration spending on employment promotion as a proportion of total spending,PT,4.0
2012,Regional public administration spending on employment promotion as a proportion of total spending,PT,5.2
2013,Regional public administration spending on employment promotion as a proportion of total spending,PT,3.4
2015,Regional public administration spending on employment promotion as a proportion of total spending,PT,3.4
2016,Regional public administration spending on employment promotion as a proportion of total spending,PT,3.2
2020,Regional public administration spending on employment promotion as a proportion of total spending,PT,3.6
2014,Regional public administration spending on employment promotion as a proportion of total spending,PT,3.2
2017,Regional public administration spending on employment promotion as a proportion of total spending,PT,3.4
2018,Regional public administration spending on employment promotion as a proportion of total spending,PT,3.1
2019,Regional public administration spending on employment promotion as a proportion of total spending,PT,3.4
2021,Regional public administration spending on employment promotion as a proportion of total spending,PT,3.2
