Year,Province,Units,Value
2013,,PT,26.8
2010,,PT,25.8
2017,,PT,23.7
2012,,PT,25.9
2022,,PT,19.9
2018,,PT,23.0
2014,,PT,25.9
2011,,PT,26.0
2019,,PT,22.4
2021,,PT,21.1
2016,,PT,23.4
2020,,PT,22.2
2015,,PT,23.9
2015,Araba/Álava,PT,17.0
2016,Araba/Álava,PT,17.2
2013,Araba/Álava,PT,19.0
2019,Araba/Álava,PT,16.3
2010,Araba/Álava,PT,20.6
2017,Araba/Álava,PT,17.4
2014,Araba/Álava,PT,18.6
2018,Araba/Álava,PT,16.7
2020,Araba/Álava,PT,16.0
2022,Araba/Álava,PT,15.1
2011,Araba/Álava,PT,19.5
2021,Araba/Álava,PT,15.1
2012,Araba/Álava,PT,18.6
2011,Bizkaia,PT,29.8
2015,Bizkaia,PT,26.9
2017,Bizkaia,PT,26.0
2018,Bizkaia,PT,25.7
2019,Bizkaia,PT,25.0
2021,Bizkaia,PT,22.9
2022,Bizkaia,PT,19.5
2010,Bizkaia,PT,29.0
2012,Bizkaia,PT,30.5
2013,Bizkaia,PT,31.6
2014,Bizkaia,PT,30.2
2020,Bizkaia,PT,25.1
2016,Bizkaia,PT,25.7
2020,Gipuzkoa,PT,23.1
2021,Gipuzkoa,PT,22.7
2022,Gipuzkoa,PT,22.9
2010,Gipuzkoa,PT,25.3
2011,Gipuzkoa,PT,26.0
2012,Gipuzkoa,PT,25.6
2013,Gipuzkoa,PT,27.0
2014,Gipuzkoa,PT,26.2
2015,Gipuzkoa,PT,25.3
2016,Gipuzkoa,PT,24.9
2017,Gipuzkoa,PT,25.3
2018,Gipuzkoa,PT,24.1
2019,Gipuzkoa,PT,23.3
