Year,Series,Units,Value
2011,CO2 emissions per unit of value added,Kg of CO2 equivalent per euro of GDP,0.2
2014,CO2 emissions per unit of value added,Kg of CO2 equivalent per euro of GDP,0.19
2017,CO2 emissions per unit of value added,Kg of CO2 equivalent per euro of GDP,0.19
2020,CO2 emissions per unit of value added,Kg of CO2 equivalent per euro of GDP,0.18
2010,CO2 emissions per unit of value added,Kg of CO2 equivalent per euro of GDP,0.22
2022,CO2 emissions per unit of value added,Kg of CO2 equivalent per euro of GDP,0.18
2015,CO2 emissions per unit of value added,Kg of CO2 equivalent per euro of GDP,0.19
2016,CO2 emissions per unit of value added,Kg of CO2 equivalent per euro of GDP,0.18
2021,CO2 emissions per unit of value added,Kg of CO2 equivalent per euro of GDP,0.18
2018,CO2 emissions per unit of value added,Kg of CO2 equivalent per euro of GDP,0.18
2012,CO2 emissions per unit of value added,Kg of CO2 equivalent per euro of GDP,0.21
2019,CO2 emissions per unit of value added,Kg of CO2 equivalent per euro of GDP,0.18
2013,CO2 emissions per unit of value added,Kg of CO2 equivalent per euro of GDP,0.2
2010,CO2 emissions from the manufacturing sector per unit of manufacturing value added,Kg of CO2 equivalent per euro of GDP,0.49
2011,CO2 emissions from the manufacturing sector per unit of manufacturing value added,Kg of CO2 equivalent per euro of GDP,0.45
2012,CO2 emissions from the manufacturing sector per unit of manufacturing value added,Kg of CO2 equivalent per euro of GDP,0.45
2013,CO2 emissions from the manufacturing sector per unit of manufacturing value added,Kg of CO2 equivalent per euro of GDP,0.47
2014,CO2 emissions from the manufacturing sector per unit of manufacturing value added,Kg of CO2 equivalent per euro of GDP,0.47
2015,CO2 emissions from the manufacturing sector per unit of manufacturing value added,Kg of CO2 equivalent per euro of GDP,0.45
2016,CO2 emissions from the manufacturing sector per unit of manufacturing value added,Kg of CO2 equivalent per euro of GDP,0.44
2017,CO2 emissions from the manufacturing sector per unit of manufacturing value added,Kg of CO2 equivalent per euro of GDP,0.43
2018,CO2 emissions from the manufacturing sector per unit of manufacturing value added,Kg of CO2 equivalent per euro of GDP,0.41
2019,CO2 emissions from the manufacturing sector per unit of manufacturing value added,Kg of CO2 equivalent per euro of GDP,0.4
2020,CO2 emissions from the manufacturing sector per unit of manufacturing value added,Kg of CO2 equivalent per euro of GDP,0.4
2021,CO2 emissions from the manufacturing sector per unit of manufacturing value added,Kg of CO2 equivalent per euro of GDP,0.41
2022,CO2 emissions from the manufacturing sector per unit of manufacturing value added,Kg of CO2 equivalent per euro of GDP,0.38
