Year,Series,Territorio,Units,Value
2018,IT_MOB_3GNTWK,,PT,99.97
2014,IT_MOB_3GNTWK,,PT,99.4
2016,IT_MOB_3GNTWK,,PT,99.85
2013,IT_MOB_3GNTWK,,PT,99.5
2017,IT_MOB_3GNTWK,,PT,99.96
2015,IT_MOB_3GNTWK,,PT,99.89
2020,IT_MOB_3GNTWK,,PT,99.99
2012,IT_MOB_3GNTWK,,PT,96.6
2019,IT_MOB_3GNTWK,,PT,99.97
2017,IT_MOB_3GNTWK,ES211,PT,99.94
2020,IT_MOB_3GNTWK,ES211,PT,100.0
2016,IT_MOB_3GNTWK,ES211,PT,99.83
2019,IT_MOB_3GNTWK,ES211,PT,99.93
2015,IT_MOB_3GNTWK,ES211,PT,99.81
2014,IT_MOB_3GNTWK,ES211,PT,98.7
2018,IT_MOB_3GNTWK,ES211,PT,99.93
2016,IT_MOB_3GNTWK,ES213,PT,99.94
2018,IT_MOB_3GNTWK,ES213,PT,100.0
2017,IT_MOB_3GNTWK,ES213,PT,100.0
2015,IT_MOB_3GNTWK,ES213,PT,99.98
2019,IT_MOB_3GNTWK,ES213,PT,100.0
2014,IT_MOB_3GNTWK,ES213,PT,99.8
2020,IT_MOB_3GNTWK,ES213,PT,99.99
2018,IT_MOB_3GNTWK,ES212,PT,99.95
2016,IT_MOB_3GNTWK,ES212,PT,99.78
2015,IT_MOB_3GNTWK,ES212,PT,99.79
2020,IT_MOB_3GNTWK,ES212,PT,99.99
2019,IT_MOB_3GNTWK,ES212,PT,99.95
2014,IT_MOB_3GNTWK,ES212,PT,99.0
2017,IT_MOB_3GNTWK,ES212,PT,99.92
2020,IT_MOB_4GNTWK,,PT,99.98
2022,IT_MOB_4GNTWK,,PT,99.97
2019,IT_MOB_4GNTWK,,PT,99.95
2017,IT_MOB_4GNTWK,,PT,99.01
2015,IT_MOB_4GNTWK,,PT,79.64
2014,IT_MOB_4GNTWK,,PT,55.1
2021,IT_MOB_4GNTWK,,PT,99.99
2016,IT_MOB_4GNTWK,,PT,93.46
2018,IT_MOB_4GNTWK,,PT,99.89
2022,IT_MOB_4GNTWK,ES211,PT,99.97
2016,IT_MOB_4GNTWK,ES211,PT,90.02
2014,IT_MOB_4GNTWK,ES211,PT,76.0
2020,IT_MOB_4GNTWK,ES211,PT,99.99
2019,IT_MOB_4GNTWK,ES211,PT,99.7
2018,IT_MOB_4GNTWK,ES211,PT,99.7
2015,IT_MOB_4GNTWK,ES211,PT,79.54
2017,IT_MOB_4GNTWK,ES211,PT,97.92
2021,IT_MOB_4GNTWK,ES211,PT,99.98
2015,IT_MOB_4GNTWK,ES213,PT,85.25
2014,IT_MOB_4GNTWK,ES213,PT,68.5
2020,IT_MOB_4GNTWK,ES213,PT,99.99
2022,IT_MOB_4GNTWK,ES213,PT,99.98
2021,IT_MOB_4GNTWK,ES213,PT,100.0
2019,IT_MOB_4GNTWK,ES213,PT,99.97
2018,IT_MOB_4GNTWK,ES213,PT,99.97
2017,IT_MOB_4GNTWK,ES213,PT,99.52
2016,IT_MOB_4GNTWK,ES213,PT,95.37
2022,IT_MOB_4GNTWK,ES212,PT,99.96
2021,IT_MOB_4GNTWK,ES212,PT,99.98
2020,IT_MOB_4GNTWK,ES212,PT,99.95
2019,IT_MOB_4GNTWK,ES212,PT,99.94
2018,IT_MOB_4GNTWK,ES212,PT,99.94
2014,IT_MOB_4GNTWK,ES212,PT,23.7
2017,IT_MOB_4GNTWK,ES212,PT,98.71
2016,IT_MOB_4GNTWK,ES212,PT,92.01
2015,IT_MOB_4GNTWK,ES212,PT,70.63
2021,IT_MOB_5GNTWK,,PT,66.8
2022,IT_MOB_5GNTWK,,PT,84.6
2023,IT_MOB_5GNTWK,,PT,95.8
2023,IT_MOB_5GNTWK,ES211,PT,92.67
2023,IT_MOB_5GNTWK,ES213,PT,97.58
2023,IT_MOB_5GNTWK,ES212,PT,94.44
