Year,Series,Sexo,Territorio,Units,Value
2022,SI_COV_UEMP,,,PT,61.3
2024,SI_COV_UEMP,,,PT,70.0
2020,SI_COV_UEMP,,,PT,92.6
2018,SI_COV_UEMP,,,PT,46.7
2021,SI_COV_UEMP,,,PT,59.1
2019,SI_COV_UEMP,,,PT,53.5
2017,SI_COV_UEMP,,,PT,45.7
2023,SI_COV_UEMP,,,PT,66.4
2020,SI_COV_UEMP,,ES211,PT,92.4
2023,SI_COV_UEMP,,ES211,PT,69.0
2021,SI_COV_UEMP,,ES211,PT,56.7
2018,SI_COV_UEMP,,ES211,PT,44.4
2017,SI_COV_UEMP,,ES211,PT,46.0
2024,SI_COV_UEMP,,ES211,PT,71.3
2019,SI_COV_UEMP,,ES211,PT,50.5
2022,SI_COV_UEMP,,ES211,PT,57.0
2024,SI_COV_UEMP,,ES213,PT,65.7
2020,SI_COV_UEMP,,ES213,PT,84.7
2023,SI_COV_UEMP,,ES213,PT,64.7
2018,SI_COV_UEMP,,ES213,PT,43.3
2019,SI_COV_UEMP,,ES213,PT,49.7
2021,SI_COV_UEMP,,ES213,PT,56.4
2022,SI_COV_UEMP,,ES213,PT,61.2
2017,SI_COV_UEMP,,ES213,PT,42.8
2018,SI_COV_UEMP,,ES212,PT,56.4
2021,SI_COV_UEMP,,ES212,PT,66.8
2023,SI_COV_UEMP,,ES212,PT,68.7
2024,SI_COV_UEMP,,ES212,PT,79.2
2022,SI_COV_UEMP,,ES212,PT,64.6
2020,SI_COV_UEMP,,ES212,PT,100.0
2017,SI_COV_UEMP,,ES212,PT,52.1
2019,SI_COV_UEMP,,ES212,PT,65.0
2022,SI_COV_UEMP,F,,PT,65.1
2017,SI_COV_UEMP,F,,PT,48.6
2021,SI_COV_UEMP,F,,PT,65.8
2018,SI_COV_UEMP,F,,PT,49.9
2024,SI_COV_UEMP,F,,PT,79.0
2023,SI_COV_UEMP,F,,PT,74.9
2020,SI_COV_UEMP,F,,PT,100.0
2019,SI_COV_UEMP,F,,PT,56.4
2017,SI_COV_UEMP,F,ES211,PT,45.6
2021,SI_COV_UEMP,F,ES211,PT,57.8
2020,SI_COV_UEMP,F,ES211,PT,78.6
2022,SI_COV_UEMP,F,ES211,PT,68.1
2023,SI_COV_UEMP,F,ES211,PT,90.7
2019,SI_COV_UEMP,F,ES211,PT,53.4
2018,SI_COV_UEMP,F,ES211,PT,47.0
2024,SI_COV_UEMP,F,ES211,PT,90.9
2020,SI_COV_UEMP,F,ES213,PT,100.0
2019,SI_COV_UEMP,F,ES213,PT,50.3
2022,SI_COV_UEMP,F,ES213,PT,60.7
2017,SI_COV_UEMP,F,ES213,PT,45.5
2018,SI_COV_UEMP,F,ES213,PT,45.6
2021,SI_COV_UEMP,F,ES213,PT,64.0
2024,SI_COV_UEMP,F,ES213,PT,70.5
2023,SI_COV_UEMP,F,ES213,PT,69.2
2021,SI_COV_UEMP,F,ES212,PT,74.9
2024,SI_COV_UEMP,F,ES212,PT,92.1
2020,SI_COV_UEMP,F,ES212,PT,100.0
2019,SI_COV_UEMP,F,ES212,PT,74.5
2018,SI_COV_UEMP,F,ES212,PT,61.8
2023,SI_COV_UEMP,F,ES212,PT,78.7
2017,SI_COV_UEMP,F,ES212,PT,57.2
2022,SI_COV_UEMP,F,ES212,PT,72.5
2023,SI_COV_UEMP,M,,PT,58.4
2022,SI_COV_UEMP,M,,PT,57.5
2019,SI_COV_UEMP,M,,PT,50.3
2018,SI_COV_UEMP,M,,PT,43.4
2024,SI_COV_UEMP,M,,PT,61.4
2021,SI_COV_UEMP,M,,PT,53.1
2020,SI_COV_UEMP,M,,PT,84.7
2017,SI_COV_UEMP,M,,PT,42.8
2019,SI_COV_UEMP,M,ES211,PT,47.4
2021,SI_COV_UEMP,M,ES211,PT,54.7
2018,SI_COV_UEMP,M,ES211,PT,41.5
2017,SI_COV_UEMP,M,ES211,PT,46.6
2024,SI_COV_UEMP,M,ES211,PT,55.6
2023,SI_COV_UEMP,M,ES211,PT,51.6
2022,SI_COV_UEMP,M,ES211,PT,47.3
2020,SI_COV_UEMP,M,ES211,PT,100.0
2017,SI_COV_UEMP,M,ES213,PT,40.3
2019,SI_COV_UEMP,M,ES213,PT,48.9
2018,SI_COV_UEMP,M,ES213,PT,41.1
2022,SI_COV_UEMP,M,ES213,PT,61.4
2024,SI_COV_UEMP,M,ES213,PT,60.5
2020,SI_COV_UEMP,M,ES213,PT,71.9
2023,SI_COV_UEMP,M,ES213,PT,59.8
2021,SI_COV_UEMP,M,ES213,PT,50.0
2019,SI_COV_UEMP,M,ES212,PT,55.9
2017,SI_COV_UEMP,M,ES212,PT,46.8
2020,SI_COV_UEMP,M,ES212,PT,100.0
2018,SI_COV_UEMP,M,ES212,PT,50.6
2021,SI_COV_UEMP,M,ES212,PT,59.2
2022,SI_COV_UEMP,M,ES212,PT,56.9
2023,SI_COV_UEMP,M,ES212,PT,59.3
2024,SI_COV_UEMP,M,ES212,PT,67.0
2019,SI_COV_PENSN,,,PT,83.0
2024,SI_COV_PENSN,,,PT,82.5
2020,SI_COV_PENSN,,,PT,82.9
2015,SI_COV_PENSN,,,PT,82.7
2023,SI_COV_PENSN,,,PT,81.8
2013,SI_COV_PENSN,,,PT,82.8
2011,SI_COV_PENSN,,,PT,82.4
2010,SI_COV_PENSN,,,PT,82.4
