Year,Series,Territorio,Comarca,Municipio,Units,GeoCode,Value
2016,SP_ACS_BSRVH2O,,,,PT,,99.9
2013,SP_ACS_BSRVH2O,,,,PT,,99.9
2023,SP_ACS_BSRVH2O,,,,PT,,99.9
2010,SP_ACS_BSRVH2O,,,,PT,,99.9
2018,SP_ACS_BSRVH2O,,,,PT,,99.9
2022,SP_ACS_BSRVH2O,,,,PT,,99.9
2020,SP_ACS_BSRVH2O,,,,PT,,99.9
2021,SP_ACS_BSRVH2O,,,,PT,,99.9
2019,SP_ACS_BSRVH2O,,,,PT,,99.9
2014,SP_ACS_BSRVH2O,,,,PT,,99.9
2015,SP_ACS_BSRVH2O,,,,PT,,99.9
2020,SP_ACS_BSRVH2O,,,ES48001,PT,ES48001,100.0
2016,SP_ACS_BSRVH2O,,,ES48001,PT,ES48001,100.0
2010,SP_ACS_BSRVH2O,,,ES48001,PT,ES48001,100.0
2018,SP_ACS_BSRVH2O,,,ES48001,PT,ES48001,100.0
2014,SP_ACS_BSRVH2O,,,ES48001,PT,ES48001,100.0
2015,SP_ACS_BSRVH2O,,,ES48001,PT,ES48001,100.0
2019,SP_ACS_BSRVH2O,,,ES48001,PT,ES48001,100.0
2022,SP_ACS_BSRVH2O,,,ES48001,PT,ES48001,100.0
2023,SP_ACS_BSRVH2O,,,ES48001,PT,ES48001,100.0
2021,SP_ACS_BSRVH2O,,,ES48001,PT,ES48001,100.0
2013,SP_ACS_BSRVH2O,,,ES48001,PT,ES48001,100.0
2015,SP_ACS_BSRVH2O,,,ES20001,PT,ES20001,99.1
2016,SP_ACS_BSRVH2O,,,ES20001,PT,ES20001,99.1
2021,SP_ACS_BSRVH2O,,,ES20001,PT,ES20001,99.1
2010,SP_ACS_BSRVH2O,,,ES20001,PT,ES20001,99.1
2023,SP_ACS_BSRVH2O,,,ES20001,PT,ES20001,99.1
2013,SP_ACS_BSRVH2O,,,ES20001,PT,ES20001,99.1
2020,SP_ACS_BSRVH2O,,,ES20001,PT,ES20001,99.1
2022,SP_ACS_BSRVH2O,,,ES20001,PT,ES20001,99.1
2019,SP_ACS_BSRVH2O,,,ES20001,PT,ES20001,99.1
2014,SP_ACS_BSRVH2O,,,ES20001,PT,ES20001,99.1
2018,SP_ACS_BSRVH2O,,,ES20001,PT,ES20001,99.1
2021,SP_ACS_BSRVH2O,,,ES48002,PT,ES48002,99.7
2022,SP_ACS_BSRVH2O,,,ES48002,PT,ES48002,99.7
2010,SP_ACS_BSRVH2O,,,ES48002,PT,ES48002,99.8
2019,SP_ACS_BSRVH2O,,,ES48002,PT,ES48002,99.7
2018,SP_ACS_BSRVH2O,,,ES48002,PT,ES48002,99.8
2016,SP_ACS_BSRVH2O,,,ES48002,PT,ES48002,99.8
2015,SP_ACS_BSRVH2O,,,ES48002,PT,ES48002,99.8
2013,SP_ACS_BSRVH2O,,,ES48002,PT,ES48002,99.7
2020,SP_ACS_BSRVH2O,,,ES48002,PT,ES48002,99.7
2023,SP_ACS_BSRVH2O,,,ES48002,PT,ES48002,99.7
2014,SP_ACS_BSRVH2O,,,ES48002,PT,ES48002,99.8
2020,SP_ACS_BSRVH2O,,,ES20002,PT,ES20002,100.0
2023,SP_ACS_BSRVH2O,,,ES20002,PT,ES20002,100.0
2022,SP_ACS_BSRVH2O,,,ES20002,PT,ES20002,100.0
2015,SP_ACS_BSRVH2O,,,ES20002,PT,ES20002,100.0
2021,SP_ACS_BSRVH2O,,,ES20002,PT,ES20002,100.0
2016,SP_ACS_BSRVH2O,,,ES20002,PT,ES20002,100.0
2019,SP_ACS_BSRVH2O,,,ES20002,PT,ES20002,100.0
2018,SP_ACS_BSRVH2O,,,ES20002,PT,ES20002,100.0
2013,SP_ACS_BSRVH2O,,,ES20002,PT,ES20002,100.0
2014,SP_ACS_BSRVH2O,,,ES20002,PT,ES20002,100.0
2010,SP_ACS_BSRVH2O,,,ES20002,PT,ES20002,100.0
2023,SP_ACS_BSRVH2O,,,ES01051,PT,ES01051,100.0
2018,SP_ACS_BSRVH2O,,,ES01051,PT,ES01051,100.0
2014,SP_ACS_BSRVH2O,,,ES01051,PT,ES01051,100.0
2015,SP_ACS_BSRVH2O,,,ES01051,PT,ES01051,100.0
2010,SP_ACS_BSRVH2O,,,ES01051,PT,ES01051,100.0
2022,SP_ACS_BSRVH2O,,,ES01051,PT,ES01051,100.0
2013,SP_ACS_BSRVH2O,,,ES01051,PT,ES01051,100.0
2016,SP_ACS_BSRVH2O,,,ES01051,PT,ES01051,100.0
2019,SP_ACS_BSRVH2O,,,ES01051,PT,ES01051,100.0
2020,SP_ACS_BSRVH2O,,,ES01051,PT,ES01051,100.0
2021,SP_ACS_BSRVH2O,,,ES01051,PT,ES01051,100.0
2019,SP_ACS_BSRVH2O,,,ES20016,PT,ES20016,99.7
2021,SP_ACS_BSRVH2O,,,ES20016,PT,ES20016,99.7
2022,SP_ACS_BSRVH2O,,,ES20016,PT,ES20016,99.7
2015,SP_ACS_BSRVH2O,,,ES20016,PT,ES20016,99.7
2020,SP_ACS_BSRVH2O,,,ES20016,PT,ES20016,99.7
2013,SP_ACS_BSRVH2O,,,ES20016,PT,ES20016,99.7
2018,SP_ACS_BSRVH2O,,,ES20016,PT,ES20016,99.7
2023,SP_ACS_BSRVH2O,,,ES20016,PT,ES20016,99.7
2014,SP_ACS_BSRVH2O,,,ES20016,PT,ES20016,99.7
2016,SP_ACS_BSRVH2O,,,ES20016,PT,ES20016,99.7
2010,SP_ACS_BSRVH2O,,,ES20016,PT,ES20016,99.7
2014,SP_ACS_BSRVH2O,,,ES20003,PT,ES20003,99.6
2015,SP_ACS_BSRVH2O,,,ES20003,PT,ES20003,99.6
2020,SP_ACS_BSRVH2O,,,ES20003,PT,ES20003,99.6
