Year,Particulate matter,Units,Value
2017,PM 2.5,Micrograms per cubic meter,9.8
2019,PM 2.5,Micrograms per cubic meter,9.0
2018,PM 2.5,Micrograms per cubic meter,9.9
2015,PM 2.5,Micrograms per cubic meter,10.1
2022,PM 2.5,Micrograms per cubic meter,10.4
2013,PM 2.5,Micrograms per cubic meter,10.5
2021,PM 2.5,Micrograms per cubic meter,10.0
2023,PM 2.5,Micrograms per cubic meter,9.5
2014,PM 2.5,Micrograms per cubic meter,9.2
2011,PM 2.5,Micrograms per cubic meter,11.1
2020,PM 2.5,Micrograms per cubic meter,8.8
2016,PM 2.5,Micrograms per cubic meter,8.6
2012,PM 2.5,Micrograms per cubic meter,10.1
2010,PM 2.5,Micrograms per cubic meter,11.3
2024,PM 2.5,Micrograms per cubic meter,8.4
2017,PM 10,Micrograms per cubic meter,17.9
2020,PM 10,Micrograms per cubic meter,15.6
2011,PM 10,Micrograms per cubic meter,27.0
2016,PM 10,Micrograms per cubic meter,15.3
2014,PM 10,Micrograms per cubic meter,17.4
2023,PM 10,Micrograms per cubic meter,16.4
2022,PM 10,Micrograms per cubic meter,17.7
2010,PM 10,Micrograms per cubic meter,24.2
2018,PM 10,Micrograms per cubic meter,16.7
2024,PM 10,Micrograms per cubic meter,14.6
2015,PM 10,Micrograms per cubic meter,17.9
2021,PM 10,Micrograms per cubic meter,16.1
2019,PM 10,Micrograms per cubic meter,16.3
2012,PM 10,Micrograms per cubic meter,26.7
2013,PM 10,Micrograms per cubic meter,15.9
