Year,Public services,Sex,Province,Units,Value
2018,,,,PT,57.4
2017,,,,PT,57.4
2019,,,,PT,57.3
2013,,,,PT,40.2
2020,,,,PT,54.1
2023,,,,PT,56.8
2022,,,,PT,51.0
2015,,,,PT,46.3
2014,,,,PT,41.2
2016,,,,PT,50.4
2011,,,,PT,47.7
2012,,,,PT,50.3
2021,,,,PT,55.1
2022,,,Araba/Álava,PT,42.7
2017,,,Araba/Álava,PT,60.5
2019,,,Araba/Álava,PT,54.8
2016,,,Araba/Álava,PT,49.6
2021,,,Araba/Álava,PT,48.2
2023,,,Araba/Álava,PT,55.7
2020,,,Araba/Álava,PT,47.3
2018,,,Araba/Álava,PT,56.0
2022,,,Bizkaia,PT,54.9
2018,,,Bizkaia,PT,55.7
2017,,,Bizkaia,PT,50.4
2020,,,Bizkaia,PT,56.9
2016,,,Bizkaia,PT,45.0
2021,,,Bizkaia,PT,57.9
2019,,,Bizkaia,PT,51.2
2023,,,Bizkaia,PT,53.1
2017,,,Gipuzkoa,PT,62.1
2019,,,Gipuzkoa,PT,61.6
2022,,,Gipuzkoa,PT,51.0
2018,,,Gipuzkoa,PT,59.8
2023,,,Gipuzkoa,PT,59.4
2021,,,Gipuzkoa,PT,54.8
2016,,,Gipuzkoa,PT,55.9
2020,,,Gipuzkoa,PT,54.9
2022,,Female,,PT,49.1
2017,,Female,,PT,57.0
2016,,Female,,PT,46.6
2021,,Female,,PT,53.1
2023,,Female,,PT,54.8
2019,,Female,,PT,54.6
2018,,Female,,PT,54.5
2020,,Female,,PT,50.2
2017,,Female,Araba/Álava,PT,56.2
2020,,Female,Araba/Álava,PT,44.6
2021,,Female,Araba/Álava,PT,32.2
2018,,Female,Araba/Álava,PT,58.0
2023,,Female,Araba/Álava,PT,56.8
2022,,Female,Araba/Álava,PT,41.2
2019,,Female,Araba/Álava,PT,52.2
2016,,Female,Araba/Álava,PT,48.0
2022,,Female,Bizkaia,PT,54.7
2019,,Female,Bizkaia,PT,45.0
2017,,Female,Bizkaia,PT,47.6
2021,,Female,Bizkaia,PT,55.5
2018,,Female,Bizkaia,PT,49.1
2016,,Female,Bizkaia,PT,36.8
2023,,Female,Bizkaia,PT,48.4
2020,,Female,Bizkaia,PT,52.2
2020,,Female,Gipuzkoa,PT,51.6
2023,,Female,Gipuzkoa,PT,58.6
2017,,Female,Gipuzkoa,PT,67.3
2022,,Female,Gipuzkoa,PT,47.6
2018,,Female,Gipuzkoa,PT,58.5
2021,,Female,Gipuzkoa,PT,54.0
2019,,Female,Gipuzkoa,PT,61.4
2016,,Female,Gipuzkoa,PT,55.2
2022,,Male,,PT,52.8
2017,,Male,,PT,57.8
2023,,Male,,PT,59.0
2021,,Male,,PT,57.5
2016,,Male,,PT,54.6
2018,,Male,,PT,59.9
2020,,Male,,PT,58.3
2019,,Male,,PT,60.3
2021,,Male,Araba/Álava,PT,57.9
2016,,Male,Araba/Álava,PT,51.1
2023,,Male,Araba/Álava,PT,55.0
2022,,Male,Araba/Álava,PT,44.4
2019,,Male,Araba/Álava,PT,56.8
2017,,Male,Araba/Álava,PT,63.9
2018,,Male,Araba/Álava,PT,53.8
2020,,Male,Araba/Álava,PT,51.1
2016,,Male,Bizkaia,PT,53.7
2022,,Male,Bizkaia,PT,55.8
2017,,Male,Bizkaia,PT,54.0
2020,,Male,Bizkaia,PT,61.0
2018,,Male,Bizkaia,PT,60.8
2023,,Male,Bizkaia,PT,60.0
2019,,Male,Bizkaia,PT,59.0
2021,,Male,Bizkaia,PT,61.3
2020,,Male,Gipuzkoa,PT,58.6
2021,,Male,Gipuzkoa,PT,55.6
2017,,Male,Gipuzkoa,PT,57.4
2022,,Male,Gipuzkoa,PT,53.7
2018,,Male,Gipuzkoa,PT,61.1
2023,,Male,Gipuzkoa,PT,60.5
2019,,Male,Gipuzkoa,PT,62.0
2016,,Male,Gipuzkoa,PT,56.9
2018,Teaching,,,PT,70.9
2013,Teaching,,,PT,45.5
2016,Teaching,,,PT,60.0
2023,Teaching,,,PT,65.3
2022,Teaching,,,PT,60.9
2020,Teaching,,,PT,56.5
2015,Teaching,,,PT,59.4
2014,Teaching,,,PT,54.0
2012,Teaching,,,PT,66.0
2019,Teaching,,,PT,72.2
2011,Teaching,,,PT,66.7
2021,Teaching,,,PT,54.4
2017,Teaching,,,PT,69.5
2020,Teaching,,Araba/Álava,PT,33.3
2017,Teaching,,Araba/Álava,PT,60.0
2018,Teaching,,Araba/Álava,PT,76.5
2021,Teaching,,Araba/Álava,PT,61.2
2016,Teaching,,Araba/Álava,PT,77.8
2023,Teaching,,Araba/Álava,PT,57.0
2019,Teaching,,Araba/Álava,PT,41.7
2022,Teaching,,Araba/Álava,PT,42.0
2019,Teaching,,Bizkaia,PT,69.0
2023,Teaching,,Bizkaia,PT,66.2
2017,Teaching,,Bizkaia,PT,72.2
2021,Teaching,,Bizkaia,PT,53.2
2018,Teaching,,Bizkaia,PT,58.3
2016,Teaching,,Bizkaia,PT,48.8
2022,Teaching,,Bizkaia,PT,63.9
2020,Teaching,,Bizkaia,PT,58.8
2017,Teaching,,Gipuzkoa,PT,72.7
2018,Teaching,,Gipuzkoa,PT,82.2
2016,Teaching,,Gipuzkoa,PT,63.6
2022,Teaching,,Gipuzkoa,PT,64.4
2019,Teaching,,Gipuzkoa,PT,80.3
2023,Teaching,,Gipuzkoa,PT,67.7
2020,Teaching,,Gipuzkoa,PT,66.0
2021,Teaching,,Gipuzkoa,PT,53.9
2022,Teaching,Female,,PT,63.0
2019,Teaching,Female,,PT,68.9
2021,Teaching,Female,,PT,59.6
2023,Teaching,Female,,PT,67.2
2018,Teaching,Female,,PT,70.4
