Year,Series,Units,COL2,COL3,COL4,COL5,COL6,Value
2022,Net direct investment in countries receiving Official Development Assistance,Millions of euros,,,,,,1566.89
2013,Net direct investment in countries receiving Official Development Assistance,Millions of euros,,,,,,-1006.19
2021,Net direct investment in countries receiving Official Development Assistance,Millions of euros,,,,,,9.0
2017,Net direct investment in countries receiving Official Development Assistance,Millions of euros,,,,,,543.72
2012,Net direct investment in countries receiving Official Development Assistance,Millions of euros,,,,,,576.56
2015,Net direct investment in countries receiving Official Development Assistance,Millions of euros,,,,,,36.2
2016,Net direct investment in countries receiving Official Development Assistance,Millions of euros,,,,,,554.29
2018,Net direct investment in countries receiving Official Development Assistance,Millions of euros,,,,,,178.6
2010,Net direct investment in countries receiving Official Development Assistance,Millions of euros,,,,,,1597.2
2023,Net direct investment in countries receiving Official Development Assistance,Millions of euros,,,,,,33.18
2020,Net direct investment in countries receiving Official Development Assistance,Millions of euros,,,,,,-153.5
2011,Net direct investment in countries receiving Official Development Assistance,Millions of euros,,,,,,5181.85
2019,Net direct investment in countries receiving Official Development Assistance,Millions of euros,,,,,,121.82
2014,Net direct investment in countries receiving Official Development Assistance,Millions of euros,,,,,,-144.05
2010,Net direct investment in countries receiving Official Development Assistance as a proportion of GDP,%,,,,,,2.4
2011,Net direct investment in countries receiving Official Development Assistance as a proportion of GDP,%,,,,,,7.73
2013,Net direct investment in countries receiving Official Development Assistance as a proportion of GDP,%,,,,,,-1.55
2014,Net direct investment in countries receiving Official Development Assistance as a proportion of GDP,%,,,,,,-0.22
2022,Net direct investment in countries receiving Official Development Assistance as a proportion of GDP,%,,,,,,1.81
2015,Net direct investment in countries receiving Official Development Assistance as a proportion of GDP,%,,,,,,0.05
2016,Net direct investment in countries receiving Official Development Assistance as a proportion of GDP,%,,,,,,0.78
2017,Net direct investment in countries receiving Official Development Assistance as a proportion of GDP,%,,,,,,0.74
2018,Net direct investment in countries receiving Official Development Assistance as a proportion of GDP,%,,,,,,0.23
2012,Net direct investment in countries receiving Official Development Assistance as a proportion of GDP,%,,,,,,0.88
2019,Net direct investment in countries receiving Official Development Assistance as a proportion of GDP,%,,,,,,0.15
2020,Net direct investment in countries receiving Official Development Assistance as a proportion of GDP,%,,,,,,-0.21
2021,Net direct investment in countries receiving Official Development Assistance as a proportion of GDP,%,,,,,,0.01
2023,Net direct investment in countries receiving Official Development Assistance as a proportion of GDP,%,,,,,,0.04
