Year,Series,Province,Units,Value
2018,Productivity of small food producers,,Constant euros,12030.9
2020,Productivity of small food producers,,Constant euros,9818.3
2019,Productivity of small food producers,,Constant euros,10646.1
2016,Productivity of small food producers,,Constant euros,10978.5
2015,Productivity of small food producers,,Constant euros,10150.0
2017,Productivity of small food producers,,Constant euros,12294.5
2021,Productivity of small food producers,,Constant euros,10509.0
2016,Productivity of small food producers,Araba/Álava,Constant euros,4537.4
2021,Productivity of small food producers,Araba/Álava,Constant euros,5528.7
2017,Productivity of small food producers,Araba/Álava,Constant euros,5057.9
2019,Productivity of small food producers,Araba/Álava,Constant euros,6400.4
2020,Productivity of small food producers,Araba/Álava,Constant euros,5071.3
2018,Productivity of small food producers,Araba/Álava,Constant euros,5442.0
2015,Productivity of small food producers,Araba/Álava,Constant euros,4172.9
2018,Productivity of small food producers,Bizkaia,Constant euros,10550.5
2015,Productivity of small food producers,Bizkaia,Constant euros,10831.9
2017,Productivity of small food producers,Bizkaia,Constant euros,11225.2
2019,Productivity of small food producers,Bizkaia,Constant euros,9738.4
2016,Productivity of small food producers,Bizkaia,Constant euros,10140.6
2021,Productivity of small food producers,Bizkaia,Constant euros,9670.7
2020,Productivity of small food producers,Bizkaia,Constant euros,9413.9
2015,Productivity of small food producers,Gipuzkoa,Constant euros,11666.0
2021,Productivity of small food producers,Gipuzkoa,Constant euros,12048.2
2018,Productivity of small food producers,Gipuzkoa,Constant euros,13733.6
2020,Productivity of small food producers,Gipuzkoa,Constant euros,11080.9
2017,Productivity of small food producers,Gipuzkoa,Constant euros,13878.5
2019,Productivity of small food producers,Gipuzkoa,Constant euros,11900.8
2016,Productivity of small food producers,Gipuzkoa,Constant euros,12569.2
2018,Productivity of large food producers,,Constant euros,44914.3
2015,Productivity of large food producers,,Constant euros,43924.4
2019,Productivity of large food producers,,Constant euros,46168.5
2020,Productivity of large food producers,,Constant euros,45942.5
2021,Productivity of large food producers,,Constant euros,50293.1
2017,Productivity of large food producers,,Constant euros,42600.2
2016,Productivity of large food producers,,Constant euros,43308.1
2016,Productivity of large food producers,Araba/Álava,Constant euros,36918.9
2015,Productivity of large food producers,Araba/Álava,Constant euros,39222.8
2020,Productivity of large food producers,Araba/Álava,Constant euros,40460.4
2018,Productivity of large food producers,Araba/Álava,Constant euros,36631.3
2017,Productivity of large food producers,Araba/Álava,Constant euros,33711.7
2019,Productivity of large food producers,Araba/Álava,Constant euros,37348.9
2021,Productivity of large food producers,Araba/Álava,Constant euros,41426.0
2021,Productivity of large food producers,Bizkaia,Constant euros,52025.6
2020,Productivity of large food producers,Bizkaia,Constant euros,50356.7
2018,Productivity of large food producers,Bizkaia,Constant euros,49326.0
2015,Productivity of large food producers,Bizkaia,Constant euros,43917.9
2017,Productivity of large food producers,Bizkaia,Constant euros,44660.2
2016,Productivity of large food producers,Bizkaia,Constant euros,43852.2
2019,Productivity of large food producers,Bizkaia,Constant euros,52252.4
2021,Productivity of large food producers,Gipuzkoa,Constant euros,54538.2
2015,Productivity of large food producers,Gipuzkoa,Constant euros,46579.9
2019,Productivity of large food producers,Gipuzkoa,Constant euros,49106.7
2018,Productivity of large food producers,Gipuzkoa,Constant euros,48274.0
2017,Productivity of large food producers,Gipuzkoa,Constant euros,47269.8
2016,Productivity of large food producers,Gipuzkoa,Constant euros,46975.4
2020,Productivity of large food producers,Gipuzkoa,Constant euros,47324.6
