Year,Series,Territorio,Comarca,Municipio,Units,GeoCode,Value
2014,All,,,,PT,,1.3
2010,All,,,,PT,,0.8
2021,All,,,,PT,,3.5
2018,All,,,,PT,,2.0
2019,All,,,,PT,,2.5
2013,All,,,,PT,,1.2
2012,All,,,,PT,,1.1
2023,All,,,,PT,,4.8
2016,All,,,,PT,,1.5
2009,All,,,,PT,,0.7
2011,All,,,,PT,,0.9
2020,All,,,,PT,,3.0
2015,All,,,,PT,,1.3
2022,All,,,,PT,,4.1
2017,All,,,,PT,,1.9
2008,All,,,,PT,,0.6
2012,All,,,ES48001,PT,ES48001,0.5
2017,All,,,ES48001,PT,ES48001,0.3
2013,All,,,ES48001,PT,ES48001,0.5
2011,All,,,ES48001,PT,ES48001,0.5
2019,All,,,ES48001,PT,ES48001,3.8
2014,All,,,ES48001,PT,ES48001,0.5
2010,All,,,ES48001,PT,ES48001,0.3
2022,All,,,ES48001,PT,ES48001,5.5
2020,All,,,ES48001,PT,ES48001,5.3
2016,All,,,ES48001,PT,ES48001,0.3
2015,All,,,ES48001,PT,ES48001,0.5
2018,All,,,ES48001,PT,ES48001,0.3
2023,All,,,ES48001,PT,ES48001,5.6
2021,All,,,ES48001,PT,ES48001,5.6
2018,All,,,ES20001,PT,ES20001,1.0
2023,All,,,ES20001,PT,ES20001,2.2
2015,All,,,ES20001,PT,ES20001,0.0
2021,All,,,ES20001,PT,ES20001,2.2
2016,All,,,ES20001,PT,ES20001,0.0
2012,All,,,ES20001,PT,ES20001,1.1
2022,All,,,ES20001,PT,ES20001,2.2
2010,All,,,ES20001,PT,ES20001,1.1
2014,All,,,ES20001,PT,ES20001,0.0
2017,All,,,ES20001,PT,ES20001,0.0
2020,All,,,ES20001,PT,ES20001,0.8
2013,All,,,ES20001,PT,ES20001,1.1
2019,All,,,ES20001,PT,ES20001,0.8
2011,All,,,ES20001,PT,ES20001,1.1
2019,All,,,ES48002,PT,ES48002,0.1
2021,All,,,ES48002,PT,ES48002,0.3
2014,All,,,ES48002,PT,ES48002,0.0
2022,All,,,ES48002,PT,ES48002,0.3
2010,All,,,ES48002,PT,ES48002,0.0
2011,All,,,ES48002,PT,ES48002,0.0
2015,All,,,ES48002,PT,ES48002,0.0
2018,All,,,ES48002,PT,ES48002,1.9
2017,All,,,ES48002,PT,ES48002,0.0
2013,All,,,ES48002,PT,ES48002,0.0
2012,All,,,ES48002,PT,ES48002,0.0
2020,All,,,ES48002,PT,ES48002,0.3
2016,All,,,ES48002,PT,ES48002,0.0
2023,All,,,ES48002,PT,ES48002,0.3
2013,All,,,ES20002,PT,ES20002,0.0
2021,All,,,ES20002,PT,ES20002,0.0
2014,All,,,ES20002,PT,ES20002,0.0
2020,All,,,ES20002,PT,ES20002,0.0
2011,All,,,ES20002,PT,ES20002,0.0
2010,All,,,ES20002,PT,ES20002,0.0
2016,All,,,ES20002,PT,ES20002,0.0
2012,All,,,ES20002,PT,ES20002,0.0
2023,All,,,ES20002,PT,ES20002,0.0
2022,All,,,ES20002,PT,ES20002,0.0
2018,All,,,ES20002,PT,ES20002,0.0
2019,All,,,ES20002,PT,ES20002,0.0
2017,All,,,ES20002,PT,ES20002,0.0
2015,All,,,ES20002,PT,ES20002,0.0
2014,All,,,ES01051,PT,ES01051,0.3
2010,All,,,ES01051,PT,ES01051,0.4
2021,All,,,ES01051,PT,ES01051,0.1
2019,All,,,ES01051,PT,ES01051,0.4
2016,All,,,ES01051,PT,ES01051,0.4
2015,All,,,ES01051,PT,ES01051,0.3
2011,All,,,ES01051,PT,ES01051,0.3
2013,All,,,ES01051,PT,ES01051,0.3
2020,All,,,ES01051,PT,ES01051,0.4
2018,All,,,ES01051,PT,ES01051,0.4
2017,All,,,ES01051,PT,ES01051,0.4
2023,All,,,ES01051,PT,ES01051,0.1
2022,All,,,ES01051,PT,ES01051,0.0
2012,All,,,ES01051,PT,ES01051,0.3
2022,All,,,ES20016,PT,ES20016,2.1
2017,All,,,ES20016,PT,ES20016,0.6
2013,All,,,ES20016,PT,ES20016,0.5
2016,All,,,ES20016,PT,ES20016,0.5
2010,All,,,ES20016,PT,ES20016,0.4
2020,All,,,ES20016,PT,ES20016,1.2
2019,All,,,ES20016,PT,ES20016,1.6
2011,All,,,ES20016,PT,ES20016,0.7
2023,All,,,ES20016,PT,ES20016,2.1
2014,All,,,ES20016,PT,ES20016,0.5
2012,All,,,ES20016,PT,ES20016,0.7
2021,All,,,ES20016,PT,ES20016,1.9
2015,All,,,ES20016,PT,ES20016,0.5
2018,All,,,ES20016,PT,ES20016,0.6
2022,All,,,ES20003,PT,ES20003,0.9
2014,All,,,ES20003,PT,ES20003,1.6
2015,All,,,ES20003,PT,ES20003,1.6
2012,All,,,ES20003,PT,ES20003,2.3
2019,All,,,ES20003,PT,ES20003,1.6
2017,All,,,ES20003,PT,ES20003,1.5
2016,All,,,ES20003,PT,ES20003,1.7
2013,All,,,ES20003,PT,ES20003,2.3
2023,All,,,ES20003,PT,ES20003,0.9
2010,All,,,ES20003,PT,ES20003,2.4
2021,All,,,ES20003,PT,ES20003,0.9
2018,All,,,ES20003,PT,ES20003,1.6
2011,All,,,ES20003,PT,ES20003,2.3
2020,All,,,ES20003,PT,ES20003,1.6
2011,All,,,ES48911,PT,ES48911,4.0
2017,All,,,ES48911,PT,ES48911,3.8
2019,All,,,ES48911,PT,ES48911,3.8
2013,All,,,ES48911,PT,ES48911,4.5
2015,All,,,ES48911,PT,ES48911,4.0
2021,All,,,ES48911,PT,ES48911,4.0
2016,All,,,ES48911,PT,ES48911,3.7
2014,All,,,ES48911,PT,ES48911,4.5
2022,All,,,ES48911,PT,ES48911,4.0
2020,All,,,ES48911,PT,ES48911,3.8
2018,All,,,ES48911,PT,ES48911,3.7
2023,All,,,ES48911,PT,ES48911,14.9
2012,All,,,ES48911,PT,ES48911,4.0
2010,All,,,ES48911,PT,ES48911,1.8
2014,All,,,ES20004,PT,ES20004,0.0
2015,All,,,ES20004,PT,ES20004,0.0
2012,All,,,ES20004,PT,ES20004,0.0
2022,All,,,ES20004,PT,ES20004,0.0
2013,All,,,ES20004,PT,ES20004,0.0
2011,All,,,ES20004,PT,ES20004,0.0
2023,All,,,ES20004,PT,ES20004,0.0
2017,All,,,ES20004,PT,ES20004,0.0
2021,All,,,ES20004,PT,ES20004,0.0
2018,All,,,ES20004,PT,ES20004,0.0
2020,All,,,ES20004,PT,ES20004,0.0
2010,All,,,ES20004,PT,ES20004,0.0
2019,All,,,ES20004,PT,ES20004,0.0
2016,All,,,ES20004,PT,ES20004,0.0
2016,All,,,ES20005,PT,ES20005,0.0
2012,All,,,ES20005,PT,ES20005,0.0
2017,All,,,ES20005,PT,ES20005,0.5
2013,All,,,ES20005,PT,ES20005,0.0
2021,All,,,ES20005,PT,ES20005,0.5
2014,All,,,ES20005,PT,ES20005,0.0
2020,All,,,ES20005,PT,ES20005,0.5
2018,All,,,ES20005,PT,ES20005,0.5
2019,All,,,ES20005,PT,ES20005,0.5
2010,All,,,ES20005,PT,ES20005,0.0
2015,All,,,ES20005,PT,ES20005,0.0
2022,All,,,ES20005,PT,ES20005,0.5
2023,All,,,ES20005,PT,ES20005,0.5
2011,All,,,ES20005,PT,ES20005,0.0
2023,All,,,ES01001,PT,ES01001,1.4
2016,All,,,ES01001,PT,ES01001,0.3
2017,All,,,ES01001,PT,ES01001,0.3
2010,All,,,ES01001,PT,ES01001,0.2
2020,All,,,ES01001,PT,ES01001,1.0
2015,All,,,ES01001,PT,ES01001,0.3
2021,All,,,ES01001,PT,ES01001,1.0
2012,All,,,ES01001,PT,ES01001,0.2
2018,All,,,ES01001,PT,ES01001,0.5
2014,All,,,ES01001,PT,ES01001,0.3
2022,All,,,ES01001,PT,ES01001,1.4
2013,All,,,ES01001,PT,ES01001,0.5
2019,All,,,ES01001,PT,ES01001,1.0
2011,All,,,ES01001,PT,ES01001,0.2
2020,All,,,ES20006,PT,ES20006,0.4
2023,All,,,ES20006,PT,ES20006,2.6
2014,All,,,ES20006,PT,ES20006,0.2
2010,All,,,ES20006,PT,ES20006,0.2
2013,All,,,ES20006,PT,ES20006,0.2
2021,All,,,ES20006,PT,ES20006,0.4
2022,All,,,ES20006,PT,ES20006,3.0
2018,All,,,ES20006,PT,ES20006,0.2
2017,All,,,ES20006,PT,ES20006,0.2
2019,All,,,ES20006,PT,ES20006,0.2
2016,All,,,ES20006,PT,ES20006,0.2
2012,All,,,ES20006,PT,ES20006,0.2
2011,All,,,ES20006,PT,ES20006,0.2
2015,All,,,ES20006,PT,ES20006,0.2
2016,All,,,ES48912,PT,ES48912,0.1
2022,All,,,ES48912,PT,ES48912,0.2
2013,All,,,ES48912,PT,ES48912,0.1
2023,All,,,ES48912,PT,ES48912,0.2
2011,All,,,ES48912,PT,ES48912,0.0
2018,All,,,ES48912,PT,ES48912,0.1
2021,All,,,ES48912,PT,ES48912,0.0
2012,All,,,ES48912,PT,ES48912,0.5
2020,All,,,ES48912,PT,ES48912,0.1
2010,All,,,ES48912,PT,ES48912,0.0
2019,All,,,ES48912,PT,ES48912,0.1
2015,All,,,ES48912,PT,ES48912,0.1
2017,All,,,ES48912,PT,ES48912,0.1
2014,All,,,ES48912,PT,ES48912,0.7
2019,All,,,ES20906,PT,ES20906,6.0
2023,All,,,ES20906,PT,ES20906,14.5
