Year,Series,Alimento,Territorio,Units,Value
2020,AG_FPA_CFPI,ECOICOP011,,IX,-0.2
2013,EU_FPA_IPC,ECOICOP011,,IX,89.9
2012,EU_FPA_IPC,ECOICOP011,,IX,87.3
2019,AG_FPA_CFPI,ECOICOP011,,IX,-0.5
2011,EU_FPA_IPC,ECOICOP011,,IX,85.0
2017,AG_FPA_CFPI,ECOICOP011,,IX,-0.4
2020,EU_FPA_IPC,ECOICOP011,,IX,98.2
2009,EU_FPA_IPC,ECOICOP011,,IX,83.9
2002,EU_FPA_IPC,ECOICOP011,,IX,64.9
2010,AG_FPA_CFPI,ECOICOP011,,IX,-0.9
2012,AG_FPA_CFPI,ECOICOP011,,IX,0.0
2018,EU_FPA_IPC,ECOICOP011,,IX,94.7
2004,AG_FPA_CFPI,ECOICOP011,,IX,0.3
2017,EU_FPA_IPC,ECOICOP011,,IX,93.3
2024,AG_FPA_CFPI,ECOICOP011,,IX,0.2
2003,AG_FPA_CFPI,ECOICOP011,,IX,0.4
2013,AG_FPA_CFPI,ECOICOP011,,IX,-0.2
2014,EU_FPA_IPC,ECOICOP011,,IX,89.3
2008,EU_FPA_IPC,ECOICOP011,,IX,84.1
2015,AG_FPA_CFPI,ECOICOP011,,IX,-0.4
2016,EU_FPA_IPC,ECOICOP011,,IX,92.1
2018,AG_FPA_CFPI,ECOICOP011,,IX,-0.5
2021,AG_FPA_CFPI,ECOICOP011,,IX,-0.3
2007,EU_FPA_IPC,ECOICOP011,,IX,79.1
2024,EU_FPA_IPC,ECOICOP011,,IX,129.1
2022,AG_FPA_CFPI,ECOICOP011,,IX,2.6
2014,AG_FPA_CFPI,ECOICOP011,,IX,-0.9
2005,AG_FPA_CFPI,ECOICOP011,,IX,0.1
2005,EU_FPA_IPC,ECOICOP011,,IX,73.2
2019,EU_FPA_IPC,ECOICOP011,,IX,95.6
2009,AG_FPA_CFPI,ECOICOP011,,IX,-1.0
2010,EU_FPA_IPC,ECOICOP011,,IX,83.3
2006,EU_FPA_IPC,ECOICOP011,,IX,76.2
2006,AG_FPA_CFPI,ECOICOP011,,IX,0.2
2022,EU_FPA_IPC,ECOICOP011,,IX,111.4
2004,EU_FPA_IPC,ECOICOP011,,IX,70.6
2007,AG_FPA_CFPI,ECOICOP011,,IX,0.5
2023,AG_FPA_CFPI,ECOICOP011,,IX,1.9
2011,AG_FPA_CFPI,ECOICOP011,,IX,-0.3
2016,AG_FPA_CFPI,ECOICOP011,,IX,-0.5
2015,EU_FPA_IPC,ECOICOP011,,IX,90.6
2003,EU_FPA_IPC,ECOICOP011,,IX,67.7
2021,EU_FPA_IPC,ECOICOP011,,IX,100.0
2023,EU_FPA_IPC,ECOICOP011,,IX,123.7
2008,AG_FPA_CFPI,ECOICOP011,,IX,0.6
2018,AG_FPA_CFPI,ECOICOP011,ES211,IX,-0.5
