Year,Province,Units,Value
2019,,"Per 100,000",6.48
2022,,"Per 100,000",7.33
2021,,"Per 100,000",0.0
2018,,"Per 100,000",6.21
2023,,"Per 100,000",7.43
2017,,"Per 100,000",0.0
2015,,"Per 100,000",0.0
2012,,"Per 100,000",0.0
2016,,"Per 100,000",10.96
2011,,"Per 100,000",0.0
2014,,"Per 100,000",0.0
2013,,"Per 100,000",0.0
2010,,"Per 100,000",4.73
2020,,"Per 100,000",6.78
2012,Araba/Álava,"Per 100,000",0.0
2013,Araba/Álava,"Per 100,000",0.0
2014,Araba/Álava,"Per 100,000",0.0
2010,Araba/Álava,"Per 100,000",0.0
2018,Araba/Álava,"Per 100,000",0.0
2017,Araba/Álava,"Per 100,000",0.0
2011,Araba/Álava,"Per 100,000",0.0
2020,Araba/Álava,"Per 100,000",0.0
2021,Araba/Álava,"Per 100,000",0.0
2015,Araba/Álava,"Per 100,000",0.0
2019,Araba/Álava,"Per 100,000",0.0
2022,Araba/Álava,"Per 100,000",0.0
2016,Araba/Álava,"Per 100,000",0.0
2023,Araba/Álava,"Per 100,000",0.0
2013,Bizkaia,"Per 100,000",0.0
2015,Bizkaia,"Per 100,000",0.0
2016,Bizkaia,"Per 100,000",21.85
2017,Bizkaia,"Per 100,000",0.0
2019,Bizkaia,"Per 100,000",0.0
2020,Bizkaia,"Per 100,000",13.65
2021,Bizkaia,"Per 100,000",0.0
2023,Bizkaia,"Per 100,000",14.99
2010,Bizkaia,"Per 100,000",9.44
2011,Bizkaia,"Per 100,000",0.0
2012,Bizkaia,"Per 100,000",0.0
2022,Bizkaia,"Per 100,000",0.0
2018,Bizkaia,"Per 100,000",12.58
2014,Bizkaia,"Per 100,000",0.0
2022,Gipuzkoa,"Per 100,000",22.18
2023,Gipuzkoa,"Per 100,000",0.0
2010,Gipuzkoa,"Per 100,000",0.0
2011,Gipuzkoa,"Per 100,000",0.0
2012,Gipuzkoa,"Per 100,000",0.0
2013,Gipuzkoa,"Per 100,000",0.0
2014,Gipuzkoa,"Per 100,000",0.0
2015,Gipuzkoa,"Per 100,000",0.0
2016,Gipuzkoa,"Per 100,000",0.0
2017,Gipuzkoa,"Per 100,000",0.0
2018,Gipuzkoa,"Per 100,000",0.0
2019,Gipuzkoa,"Per 100,000",19.48
2020,Gipuzkoa,"Per 100,000",0.0
2021,Gipuzkoa,"Per 100,000",0.0
