Year,Province,Units,Value
2019,,PT,99.93
2022,,PT,99.92
2021,,PT,99.94
2018,,PT,99.94
2023,,PT,99.91
2017,,PT,99.94
2015,,PT,99.88
2012,,PT,99.96
2016,,PT,99.94
2011,,PT,99.92
2014,,PT,99.93
2013,,PT,99.96
2010,,PT,99.97
2020,,PT,99.97
2012,Araba/Álava,PT,99.94
2013,Araba/Álava,PT,99.93
2014,Araba/Álava,PT,99.84
2010,Araba/Álava,PT,100.0
2018,Araba/Álava,PT,99.85
2017,Araba/Álava,PT,99.9
2011,Araba/Álava,PT,99.82
2020,Araba/Álava,PT,99.92
2021,Araba/Álava,PT,99.91
2015,Araba/Álava,PT,99.81
2019,Araba/Álava,PT,99.92
2022,Araba/Álava,PT,99.96
2016,Araba/Álava,PT,99.83
2023,Araba/Álava,PT,99.91
2013,Bizkaia,PT,99.97
2015,Bizkaia,PT,99.9
2016,Bizkaia,PT,99.97
2017,Bizkaia,PT,99.96
2019,Bizkaia,PT,99.9
2020,Bizkaia,PT,99.96
2021,Bizkaia,PT,99.96
2023,Bizkaia,PT,99.91
2010,Bizkaia,PT,99.96
2011,Bizkaia,PT,99.95
2012,Bizkaia,PT,99.96
2022,Bizkaia,PT,99.88
2018,Bizkaia,PT,99.94
2014,Bizkaia,PT,99.96
2022,Gipuzkoa,PT,99.95
2023,Gipuzkoa,PT,99.91
2010,Gipuzkoa,PT,99.96
2011,Gipuzkoa,PT,99.93
2012,Gipuzkoa,PT,99.96
2013,Gipuzkoa,PT,99.97
2014,Gipuzkoa,PT,99.94
2015,Gipuzkoa,PT,99.87
2016,Gipuzkoa,PT,99.97
2017,Gipuzkoa,PT,99.93
2018,Gipuzkoa,PT,99.98
2019,Gipuzkoa,PT,99.98
2020,Gipuzkoa,PT,100.0
2021,Gipuzkoa,PT,99.92
