Year,Series,Sex,Units,Value
2015,"Malaria incidence per 1,000 population.",,"Per 1,000",0
2017,"Malaria incidence per 1,000 population.",,"Per 1,000",0
2014,"Malaria incidence per 1,000 population.",,"Per 1,000",0
2022,"Malaria incidence per 1,000 population.",,"Per 1,000",0
2020,"Malaria incidence per 1,000 population.",,"Per 1,000",0
2010,"Malaria incidence per 1,000 population.",,"Per 1,000",0
2012,"Malaria incidence per 1,000 population.",,"Per 1,000",0
2018,"Malaria incidence per 1,000 population.",,"Per 1,000",0
2011,"Malaria incidence per 1,000 population.",,"Per 1,000",0
2021,"Malaria incidence per 1,000 population.",,"Per 1,000",0
2016,"Malaria incidence per 1,000 population.",,"Per 1,000",0
2013,"Malaria incidence per 1,000 population.",,"Per 1,000",0
2023,"Malaria incidence per 1,000 population.",,"Per 1,000",0
2019,"Malaria incidence per 1,000 population.",,"Per 1,000",0
2017,"Malaria incidence per 1,000 population.",Female,"Per 1,000",0
2014,"Malaria incidence per 1,000 population.",Female,"Per 1,000",0
2023,"Malaria incidence per 1,000 population.",Female,"Per 1,000",0
2016,"Malaria incidence per 1,000 population.",Female,"Per 1,000",0
2021,"Malaria incidence per 1,000 population.",Female,"Per 1,000",0
2011,"Malaria incidence per 1,000 population.",Female,"Per 1,000",0
2020,"Malaria incidence per 1,000 population.",Female,"Per 1,000",0
2022,"Malaria incidence per 1,000 population.",Female,"Per 1,000",0
2019,"Malaria incidence per 1,000 population.",Female,"Per 1,000",0
2010,"Malaria incidence per 1,000 population.",Female,"Per 1,000",0
2015,"Malaria incidence per 1,000 population.",Female,"Per 1,000",0
2013,"Malaria incidence per 1,000 population.",Female,"Per 1,000",0
2018,"Malaria incidence per 1,000 population.",Female,"Per 1,000",0
2012,"Malaria incidence per 1,000 population.",Female,"Per 1,000",0
2018,"Malaria incidence per 1,000 population.",Male,"Per 1,000",0
2019,"Malaria incidence per 1,000 population.",Male,"Per 1,000",0
2021,"Malaria incidence per 1,000 population.",Male,"Per 1,000",0
2014,"Malaria incidence per 1,000 population.",Male,"Per 1,000",0
2020,"Malaria incidence per 1,000 population.",Male,"Per 1,000",0
2015,"Malaria incidence per 1,000 population.",Male,"Per 1,000",0
2010,"Malaria incidence per 1,000 population.",Male,"Per 1,000",0
2011,"Malaria incidence per 1,000 population.",Male,"Per 1,000",0
2012,"Malaria incidence per 1,000 population.",Male,"Per 1,000",0
2013,"Malaria incidence per 1,000 population.",Male,"Per 1,000",0
2017,"Malaria incidence per 1,000 population.",Male,"Per 1,000",0
2023,"Malaria incidence per 1,000 population.",Male,"Per 1,000",0
2022,"Malaria incidence per 1,000 population.",Male,"Per 1,000",0
2016,"Malaria incidence per 1,000 population.",Male,"Per 1,000",0
