Year,Sex,Units,Value
2016,,PT,0.0
2023,,PT,1.2
2022,,PT,0.7
2010,,PT,0.1
2020,,PT,0.1
2017,,PT,0.0
2015,,PT,0.0
2013,,PT,0.2
2014,,PT,0.4
2024,,PT,1.3
2021,,PT,0.7
2019,,PT,1.1
2012,,PT,0.7
2011,,PT,0.2
2018,,PT,1.1
2010,Female,PT,0.1
2011,Female,PT,0.2
2012,Female,PT,0.4
2014,Female,PT,0.4
2015,Female,PT,0.0
2016,Female,PT,0.0
2017,Female,PT,0.0
2019,Female,PT,1.3
2013,Female,PT,0.2
2020,Female,PT,0.2
2021,Female,PT,0.7
2022,Female,PT,0.9
2018,Female,PT,0.9
2023,Female,PT,1.3
2024,Female,PT,1.7
2024,Male,PT,0.9
2017,Male,PT,0.0
2013,Male,PT,0.2
2010,Male,PT,0.1
2018,Male,PT,1.3
2019,Male,PT,0.9
2011,Male,PT,0.2
2014,Male,PT,0.4
2020,Male,PT,0.0
2021,Male,PT,0.6
2015,Male,PT,0.0
2012,Male,PT,1.1
2022,Male,PT,0.5
2023,Male,PT,1.0
2016,Male,PT,0.0
