Year,Edad,Sexo,Territorio,Units,Value
2008,Y_GE15,,,PT,25.0
2018,Y_GE15,,,PT,16.7
2023,Y_GE15,,,PT,15.2
2013,Y_GE15,,,PT,21.3
2013,Y_GE15,,ES211,PT,21.0
2023,Y_GE15,,ES211,PT,16.3
2008,Y_GE15,,ES211,PT,22.9
2018,Y_GE15,,ES211,PT,12.9
2013,Y_GE15,,ES213,PT,21.7
2018,Y_GE15,,ES213,PT,17.6
2023,Y_GE15,,ES213,PT,11.4
2008,Y_GE15,,ES213,PT,25.9
2013,Y_GE15,,ES212,PT,20.7
2023,Y_GE15,,ES212,PT,17.3
2008,Y_GE15,,ES212,PT,24.4
2018,Y_GE15,,ES212,PT,16.9
2023,Y_GE15,F,,PT,13.2
2008,Y_GE15,F,,PT,21.1
2018,Y_GE15,F,,PT,13.5
2013,Y_GE15,F,,PT,18.1
2013,Y_GE15,F,ES211,PT,19.2
2008,Y_GE15,F,ES211,PT,19.9
2023,Y_GE15,F,ES211,PT,16.0
2018,Y_GE15,F,ES211,PT,11.0
2008,Y_GE15,F,ES213,PT,21.9
2013,Y_GE15,F,ES213,PT,17.7
2023,Y_GE15,F,ES213,PT,9.9
2018,Y_GE15,F,ES213,PT,14.1
2008,Y_GE15,F,ES212,PT,20.3
2018,Y_GE15,F,ES212,PT,13.7
2023,Y_GE15,F,ES212,PT,14.4
2013,Y_GE15,F,ES212,PT,18.2
2018,Y_GE15,M,,PT,20.1
2008,Y_GE15,M,,PT,29.1
2023,Y_GE15,M,,PT,17.5
2013,Y_GE15,M,,PT,24.7
2018,Y_GE15,M,ES211,PT,14.8
2023,Y_GE15,M,ES211,PT,16.7
2013,Y_GE15,M,ES211,PT,22.8
2008,Y_GE15,M,ES211,PT,26.1
2023,Y_GE15,M,ES213,PT,13.0
2013,Y_GE15,M,ES213,PT,26.0
2008,Y_GE15,M,ES213,PT,30.1
2018,Y_GE15,M,ES213,PT,21.5
2023,Y_GE15,M,ES212,PT,20.5
2008,Y_GE15,M,ES212,PT,28.7
2013,Y_GE15,M,ES212,PT,23.4
2018,Y_GE15,M,ES212,PT,20.2
