Year,Series,Units,Value
2014,Official Development Assistance to medical research and basic heath sectors (total gross disbursement),Millions of euros,1.39
2015,Official Development Assistance to medical research and basic heath sectors (total gross disbursement),Millions of euros,1.16
2016,Official Development Assistance to medical research and basic heath sectors (total gross disbursement),Millions of euros,1.35
2017,Official Development Assistance to medical research and basic heath sectors (total gross disbursement),Millions of euros,1.75
2018,Official Development Assistance to medical research and basic heath sectors (total gross disbursement),Millions of euros,1.2
2019,Official Development Assistance to medical research and basic heath sectors (total gross disbursement),Millions of euros,0.59
2020,Official Development Assistance to medical research and basic heath sectors (total gross disbursement),Millions of euros,0.43
2021,Official Development Assistance to medical research and basic heath sectors (total gross disbursement),Millions of euros,1.25
2022,Official Development Assistance to medical research and basic heath sectors (total gross disbursement),Millions of euros,1.43
2023,Official Development Assistance to medical research and basic heath sectors (total gross disbursement),Millions of euros,1.02
2024,Official Development Assistance to medical research and basic heath sectors (total gross disbursement),Millions of euros,1.04
