Year,Profession,Employment status,Sex,Province,Units,Value
2021,,,,,"Per 10,000 inhabitants",173.7
2022,,Retired,,,"Per 10,000 inhabitants",14.8
2016,,Retired,,,"Per 10,000 inhabitants",8.2
2013,,Retired,,,"Per 10,000 inhabitants",6.2
2017,,Not retired,,,"Per 10,000 inhabitants",151.9
2025,,Not retired,,,"Per 10,000 inhabitants",165.5
2021,,Not retired,,,"Per 10,000 inhabitants",159.5
2011,,Retired,,,"Per 10,000 inhabitants",5.4
2011,,,,,"Per 10,000 inhabitants",146.7
2012,,Not retired,,,"Per 10,000 inhabitants",142.9
2015,,,,,"Per 10,000 inhabitants",156.8
2019,,Retired,,,"Per 10,000 inhabitants",11.7
2010,,Retired,,,"Per 10,000 inhabitants",4.9
2021,,Retired,,,"Per 10,000 inhabitants",14.0
2019,,Not retired,,,"Per 10,000 inhabitants",154.2
2022,,,,,"Per 10,000 inhabitants",175.6
2011,,Not retired,,,"Per 10,000 inhabitants",133.7
2010,,,,,"Per 10,000 inhabitants",143.1
2022,,Not retired,,,"Per 10,000 inhabitants",160.7
2020,,Retired,,,"Per 10,000 inhabitants",12.8
2020,,,,,"Per 10,000 inhabitants",170.8
2023,,,,,"Per 10,000 inhabitants",186.6
2016,,Not retired,,,"Per 10,000 inhabitants",150.8
2010,,Not retired,,,"Per 10,000 inhabitants",138.0
2025,,Retired,,,"Per 10,000 inhabitants",26.2
2014,,Retired,,,"Per 10,000 inhabitants",6.6
2014,,,,,"Per 10,000 inhabitants",154.0
2012,,,,,"Per 10,000 inhabitants",149.2
2012,,Retired,,,"Per 10,000 inhabitants",6.0
2020,,Not retired,,,"Per 10,000 inhabitants",157.8
2013,,,,,"Per 10,000 inhabitants",151.2
2023,,Not retired,,,"Per 10,000 inhabitants",161.7
2019,,,,,"Per 10,000 inhabitants",166.1
2024,,Retired,,,"Per 10,000 inhabitants",24.3
2013,,Not retired,,,"Per 10,000 inhabitants",144.7
2015,,Not retired,,,"Per 10,000 inhabitants",149.1
2015,,Retired,,,"Per 10,000 inhabitants",7.4
2017,,,,,"Per 10,000 inhabitants",161.3
2024,,Not retired,,,"Per 10,000 inhabitants",163.1
2017,,Retired,,,"Per 10,000 inhabitants",9.2
2018,,Not retired,,,"Per 10,000 inhabitants",153.4
2024,,,,,"Per 10,000 inhabitants",187.4
2023,,Retired,,,"Per 10,000 inhabitants",24.9
2018,,,,,"Per 10,000 inhabitants",163.7
2014,,Not retired,,,"Per 10,000 inhabitants",147.2
2016,,,,,"Per 10,000 inhabitants",159.2
2025,,,,,"Per 10,000 inhabitants",191.7
