Year,Age,Sex,Province,Units,Value
2018,5 years,,,PT,100.0
2010,5 years,,,PT,100.1
2014,5 years,,,PT,99.3
2016,5 years,,,PT,100.0
2012,5 years,,,PT,99.7
2013,5 years,,,PT,99.8
2022,5 years,,,PT,99.6
2011,5 years,,,PT,100.3
2020,5 years,,,PT,99.8
2015,5 years,,,PT,99.6
2021,5 years,,,PT,99.1
2017,5 years,,,PT,99.8
2019,5 years,,,PT,99.8
2022,5 years,,Araba/Álava,PT,98.6
2021,5 years,,Araba/Álava,PT,99.0
2020,5 years,,Araba/Álava,PT,99.5
2022,5 years,,Bizkaia,PT,100.1
2021,5 years,,Bizkaia,PT,99.4
2020,5 years,,Bizkaia,PT,100.5
2020,5 years,,Gipuzkoa,PT,98.9
2021,5 years,,Gipuzkoa,PT,98.6
2022,5 years,,Gipuzkoa,PT,99.5
2020,5 years,Female,,PT,100.0
2014,5 years,Female,,PT,98.9
2011,5 years,Female,,PT,100.0
2022,5 years,Female,,PT,98.9
2016,5 years,Female,,PT,99.7
2015,5 years,Female,,PT,99.5
2010,5 years,Female,,PT,99.7
2019,5 years,Female,,PT,99.9
2017,5 years,Female,,PT,99.8
2013,5 years,Female,,PT,99.6
2012,5 years,Female,,PT,98.5
2018,5 years,Female,,PT,99.9
2021,5 years,Female,,PT,98.6
2022,5 years,Female,Araba/Álava,PT,98.8
2020,5 years,Female,Araba/Álava,PT,100.0
2021,5 years,Female,Araba/Álava,PT,98.6
2022,5 years,Female,Bizkaia,PT,99.0
2020,5 years,Female,Bizkaia,PT,100.8
2021,5 years,Female,Bizkaia,PT,99.0
2020,5 years,Female,Gipuzkoa,PT,98.8
2021,5 years,Female,Gipuzkoa,PT,98.0
2022,5 years,Female,Gipuzkoa,PT,98.8
2021,5 years,Male,,PT,99.5
2016,5 years,Male,,PT,100.4
2017,5 years,Male,,PT,99.8
2014,5 years,Male,,PT,99.7
2019,5 years,Male,,PT,99.8
2020,5 years,Male,,PT,99.6
2011,5 years,Male,,PT,100.6
2022,5 years,Male,,PT,100.4
2015,5 years,Male,,PT,99.6
2012,5 years,Male,,PT,100.7
2010,5 years,Male,,PT,100.6
2013,5 years,Male,,PT,100.0
2018,5 years,Male,,PT,100.2
2020,5 years,Male,Araba/Álava,PT,99.0
2022,5 years,Male,Araba/Álava,PT,98.4
2021,5 years,Male,Araba/Álava,PT,99.4
2022,5 years,Male,Bizkaia,PT,101.1
2020,5 years,Male,Bizkaia,PT,100.1
2021,5 years,Male,Bizkaia,PT,99.8
2020,5 years,Male,Gipuzkoa,PT,99.0
2022,5 years,Male,Gipuzkoa,PT,100.2
2021,5 years,Male,Gipuzkoa,PT,99.2
