Year,Series,Province,Units,Value
2016,Gender parity index in completion of educational activities ,,Ratio,1.0
2011,Gender parity index in completion of educational activities ,,Ratio,1.17
2022,Gender parity index in completion of educational activities ,,Ratio,1.07
2016,Income parity index in completion of educational activities (top and bottom quintiles),,Ratio,0.6
2011,Income parity index in completion of educational activities (top and bottom quintiles),,Ratio,0.64
2022,Income parity index in completion of educational activities (top and bottom quintiles),,Ratio,0.6
2024,"Location parity index in completion of educational activities (municipalities over and under 10,000 inhabitants)",,Ratio,0.97
2015,"Location parity index in completion of educational activities (municipalities over and under 10,000 inhabitants)",,Ratio,0.91
2023,"Location parity index in completion of educational activities (municipalities over and under 10,000 inhabitants)",,Ratio,1.02
2016,"Location parity index in completion of educational activities (municipalities over and under 10,000 inhabitants)",,Ratio,0.94
2021,"Location parity index in completion of educational activities (municipalities over and under 10,000 inhabitants)",,Ratio,1.02
2017,"Location parity index in completion of educational activities (municipalities over and under 10,000 inhabitants)",,Ratio,0.92
2018,"Location parity index in completion of educational activities (municipalities over and under 10,000 inhabitants)",,Ratio,0.88
2019,"Location parity index in completion of educational activities (municipalities over and under 10,000 inhabitants)",,Ratio,0.9
2022,"Location parity index in completion of educational activities (municipalities over and under 10,000 inhabitants)",,Ratio,1.01
2020,"Location parity index in completion of educational activities (municipalities over and under 10,000 inhabitants)",,Ratio,0.99
2012,"Location parity index in completion of educational activities (municipalities over and under 10,000 inhabitants)",,Ratio,0.98
2013,"Location parity index in completion of educational activities (municipalities over and under 10,000 inhabitants)",,Ratio,0.93
2010,"Location parity index in completion of educational activities (municipalities over and under 10,000 inhabitants)",,Ratio,0.99
2011,"Location parity index in completion of educational activities (municipalities over and under 10,000 inhabitants)",,Ratio,0.96
2014,"Location parity index in completion of educational activities (municipalities over and under 10,000 inhabitants)",,Ratio,0.91
2011,"Location parity index in completion of educational activities (municipalities over and under 10,000 inhabitants)",Araba/Álava,Ratio,0.68
2019,"Location parity index in completion of educational activities (municipalities over and under 10,000 inhabitants)",Araba/Álava,Ratio,0.96
2020,"Location parity index in completion of educational activities (municipalities over and under 10,000 inhabitants)",Araba/Álava,Ratio,0.85
2024,"Location parity index in completion of educational activities (municipalities over and under 10,000 inhabitants)",Araba/Álava,Ratio,0.9
2021,"Location parity index in completion of educational activities (municipalities over and under 10,000 inhabitants)",Araba/Álava,Ratio,0.91
2017,"Location parity index in completion of educational activities (municipalities over and under 10,000 inhabitants)",Araba/Álava,Ratio,0.84
2013,"Location parity index in completion of educational activities (municipalities over and under 10,000 inhabitants)",Araba/Álava,Ratio,0.77
2010,"Location parity index in completion of educational activities (municipalities over and under 10,000 inhabitants)",Araba/Álava,Ratio,0.43
2014,"Location parity index in completion of educational activities (municipalities over and under 10,000 inhabitants)",Araba/Álava,Ratio,0.7
2023,"Location parity index in completion of educational activities (municipalities over and under 10,000 inhabitants)",Araba/Álava,Ratio,0.89
2016,"Location parity index in completion of educational activities (municipalities over and under 10,000 inhabitants)",Araba/Álava,Ratio,0.93
2022,"Location parity index in completion of educational activities (municipalities over and under 10,000 inhabitants)",Araba/Álava,Ratio,0.85
2018,"Location parity index in completion of educational activities (municipalities over and under 10,000 inhabitants)",Araba/Álava,Ratio,1.03
