Year,Basic services,Units,Value
2018,Electricity,%,100.0
2019,Electricity,%,100.0
2021,Electricity,%,100.0
2013,Electricity,%,100.0
2020,Electricity,%,100.0
2024,Electricity,%,100.0
2023,Electricity,%,100.0
2022,Electricity,%,100.0
2010,Electricity,%,100.0
2016,Electricity,%,100.0
2017,Electricity,%,100.0
2012,Electricity,%,100.0
2014,Electricity,%,100.0
2015,Electricity,%,100.0
2011,Electricity,%,100.0
2013,Internet connection,%,100.0
2016,Internet connection,%,100.0
2015,Internet connection,%,100.0
2021,Internet connection,%,99.9
2019,Internet connection,%,99.9
2017,Internet connection,%,99.9
2010,Internet connection,%,100.0
2014,Internet connection,%,100.0
2024,Internet connection,%,99.9
2011,Internet connection,%,100.0
2012,Internet connection,%,100.0
2013,Single-sex restrooms,%,100.0
2016,Single-sex restrooms,%,100.0
2015,Single-sex restrooms,%,100.0
2010,Single-sex restrooms,%,100.0
2012,Single-sex restrooms,%,100.0
2011,Single-sex restrooms,%,100.0
2019,Single-sex restrooms,%,100.0
2018,Single-sex restrooms,%,100.0
2017,Single-sex restrooms,%,100.0
2014,Single-sex restrooms,%,100.0
2021,Single-sex restrooms,%,100.0
2020,Single-sex restrooms,%,100.0
2022,Single-sex restrooms,%,100.0
2024,Single-sex restrooms,%,100.0
2023,Single-sex restrooms,%,100.0
2010,Drinking water,%,100.0
2011,Drinking water,%,100.0
2012,Drinking water,%,100.0
2013,Drinking water,%,100.0
2014,Drinking water,%,100.0
2015,Drinking water,%,100.0
2016,Drinking water,%,100.0
2017,Drinking water,%,100.0
2018,Drinking water,%,100.0
2019,Drinking water,%,100.0
2020,Drinking water,%,100.0
2021,Drinking water,%,100.0
2022,Drinking water,%,100.0
2023,Drinking water,%,100.0
2024,Drinking water,%,100.0
2010,Handwashing,%,100.0
2011,Handwashing,%,100.0
2012,Handwashing,%,100.0
2013,Handwashing,%,100.0
2014,Handwashing,%,100.0
2015,Handwashing,%,100.0
2023,Handwashing,%,100.0
2016,Handwashing,%,100.0
2017,Handwashing,%,100.0
2018,Handwashing,%,100.0
2019,Handwashing,%,100.0
2020,Handwashing,%,100.0
2021,Handwashing,%,100.0
2022,Handwashing,%,100.0
2024,Handwashing,%,100.0
