Year,Occupation,Province,Units,Value
2018,Managerial position,,PT,35.8
2011,Managerial position,,PT,31.7
2020,Managerial position,,PT,31.8
2014,Managerial position,,PT,28.7
2021,Managerial position,,PT,32.3
2012,Managerial position,,PT,29.0
2022,Managerial position,,PT,32.3
2017,Managerial position,,PT,35.6
2016,Managerial position,,PT,34.7
2013,Managerial position,,PT,31.3
2019,Managerial position,,PT,34.3
2015,Managerial position,,PT,36.7
2023,Managerial position,,PT,34.0
2010,Managerial position,,PT,28.8
2014,Managerial position,Araba/Álava,PT,26.5
2013,Managerial position,Araba/Álava,PT,29.3
2011,Managerial position,Araba/Álava,PT,25.8
2016,Managerial position,Araba/Álava,PT,27.6
2021,Managerial position,Araba/Álava,PT,28.8
2010,Managerial position,Araba/Álava,PT,28.4
2019,Managerial position,Araba/Álava,PT,28.4
2018,Managerial position,Araba/Álava,PT,39.4
2015,Managerial position,Araba/Álava,PT,35.2
2023,Managerial position,Araba/Álava,PT,36.5
2020,Managerial position,Araba/Álava,PT,27.0
2012,Managerial position,Araba/Álava,PT,24.8
2017,Managerial position,Araba/Álava,PT,36.2
2022,Managerial position,Araba/Álava,PT,31.3
2022,Managerial position,Bizkaia,PT,34.5
2023,Managerial position,Bizkaia,PT,35.8
2016,Managerial position,Bizkaia,PT,34.7
2021,Managerial position,Bizkaia,PT,30.2
2015,Managerial position,Bizkaia,PT,37.1
2012,Managerial position,Bizkaia,PT,29.4
2017,Managerial position,Bizkaia,PT,35.5
2014,Managerial position,Bizkaia,PT,26.8
2019,Managerial position,Bizkaia,PT,35.3
2018,Managerial position,Bizkaia,PT,35.5
2011,Managerial position,Bizkaia,PT,33.2
2013,Managerial position,Bizkaia,PT,30.6
2010,Managerial position,Bizkaia,PT,30.4
2020,Managerial position,Bizkaia,PT,31.5
2013,Managerial position,Gipuzkoa,PT,33.3
2016,Managerial position,Gipuzkoa,PT,38.6
2023,Managerial position,Gipuzkoa,PT,30.4
2015,Managerial position,Gipuzkoa,PT,36.6
2017,Managerial position,Gipuzkoa,PT,35.4
2019,Managerial position,Gipuzkoa,PT,34.7
2010,Managerial position,Gipuzkoa,PT,26.4
2021,Managerial position,Gipuzkoa,PT,37.0
2012,Managerial position,Gipuzkoa,PT,30.4
2020,Managerial position,Gipuzkoa,PT,34.3
2022,Managerial position,Gipuzkoa,PT,29.8
2014,Managerial position,Gipuzkoa,PT,32.5
2018,Managerial position,Gipuzkoa,PT,35.0
2011,Managerial position,Gipuzkoa,PT,31.0
2013,Senior management,,PT,30.6
2010,Senior management,,PT,32.5
2014,Senior management,,PT,27.2
2023,Senior management,,PT,29.6
2017,Senior management,,PT,32.3
2022,Senior management,,PT,27.7
2020,Senior management,,PT,29.8
2012,Senior management,,PT,25.7
2018,Senior management,,PT,31.9
2011,Senior management,,PT,28.1
2016,Senior management,,PT,30.2
2019,Senior management,,PT,31.4
2015,Senior management,,PT,29.5
2021,Senior management,,PT,28.6
2014,Senior management,Araba/Álava,PT,19.9
2022,Senior management,Araba/Álava,PT,24.6
2013,Senior management,Araba/Álava,PT,20.1
2020,Senior management,Araba/Álava,PT,25.1
2017,Senior management,Araba/Álava,PT,38.7
2019,Senior management,Araba/Álava,PT,23.3
2015,Senior management,Araba/Álava,PT,25.5
2018,Senior management,Araba/Álava,PT,42.3
2012,Senior management,Araba/Álava,PT,11.7
2010,Senior management,Araba/Álava,PT,34.6
