Year,Sex,Province,Units,Value
2009,,,PT,87.6
2018,,,PT,95.8
2023,,,PT,99.0
2013,,,PT,93.3
2019,,,PT,97.0
2020,,,PT,96.9
2012,,,PT,92.4
2016,,,PT,95.8
2011,,,PT,91.7
2017,,,PT,96.1
2021,,,PT,97.2
2022,,,PT,97.6
2024,,,PT,99.2
2014,,,PT,93.6
2010,,,PT,89.5
2008,,,PT,87.8
2015,,,PT,96.0
2024,,Araba/Álava,PT,99.5
2018,,Araba/Álava,PT,96.8
2023,,Araba/Álava,PT,98.1
2020,,Araba/Álava,PT,97.5
2019,,Araba/Álava,PT,97.2
2016,,Araba/Álava,PT,96.5
2021,,Araba/Álava,PT,97.7
2009,,Araba/Álava,PT,83.9
2013,,Araba/Álava,PT,93.0
2012,,Araba/Álava,PT,91.0
2011,,Araba/Álava,PT,90.7
2008,,Araba/Álava,PT,86.8
2017,,Araba/Álava,PT,97.2
2015,,Araba/Álava,PT,96.7
2010,,Araba/Álava,PT,88.4
2014,,Araba/Álava,PT,94.1
2022,,Araba/Álava,PT,97.5
2009,,Bizkaia,PT,88.1
2013,,Bizkaia,PT,93.3
2019,,Bizkaia,PT,97.3
2011,,Bizkaia,PT,92.8
2014,,Bizkaia,PT,93.8
2012,,Bizkaia,PT,93.1
2021,,Bizkaia,PT,96.7
2017,,Bizkaia,PT,96.3
2018,,Bizkaia,PT,95.8
2022,,Bizkaia,PT,97.5
2020,,Bizkaia,PT,96.9
2010,,Bizkaia,PT,89.8
2015,,Bizkaia,PT,95.8
2024,,Bizkaia,PT,99.5
2016,,Bizkaia,PT,96.5
2008,,Bizkaia,PT,88.5
2023,,Bizkaia,PT,99.3
2024,,Gipuzkoa,PT,98.7
2015,,Gipuzkoa,PT,96.1
2016,,Gipuzkoa,PT,94.3
2020,,Gipuzkoa,PT,96.5
2008,,Gipuzkoa,PT,86.9
2018,,Gipuzkoa,PT,95.3
2017,,Gipuzkoa,PT,95.1
2023,,Gipuzkoa,PT,99.0
2010,,Gipuzkoa,PT,89.4
2014,,Gipuzkoa,PT,93.3
2012,,Gipuzkoa,PT,91.9
2009,,Gipuzkoa,PT,88.4
2019,,Gipuzkoa,PT,96.5
2022,,Gipuzkoa,PT,97.9
2013,,Gipuzkoa,PT,93.4
2011,,Gipuzkoa,PT,90.6
2021,,Gipuzkoa,PT,97.8
2021,Female,,PT,97.4
2010,Female,,PT,89.0
2015,Female,,PT,96.4
2020,Female,,PT,97.1
2024,Female,,PT,99.4
2014,Female,,PT,94.2
2022,Female,,PT,98.3
2016,Female,,PT,95.4
2018,Female,,PT,96.1
2012,Female,,PT,93.0
2023,Female,,PT,99.1
2011,Female,,PT,92.4
2013,Female,,PT,94.1
2017,Female,,PT,95.9
2019,Female,,PT,97.9
2009,Female,,PT,87.9
2008,Female,,PT,88.1
2019,Female,Araba/Álava,PT,97.5
2017,Female,Araba/Álava,PT,95.4
2016,Female,Araba/Álava,PT,94.7
2009,Female,Araba/Álava,PT,83.1
2013,Female,Araba/Álava,PT,94.5
2014,Female,Araba/Álava,PT,93.8
2011,Female,Araba/Álava,PT,90.2
2021,Female,Araba/Álava,PT,98.4
2008,Female,Araba/Álava,PT,86.2
2012,Female,Araba/Álava,PT,91.4
2010,Female,Araba/Álava,PT,87.7
2015,Female,Araba/Álava,PT,97.5
2018,Female,Araba/Álava,PT,96.7
2024,Female,Araba/Álava,PT,99.5
2023,Female,Araba/Álava,PT,98.6
2022,Female,Araba/Álava,PT,97.6
2020,Female,Araba/Álava,PT,98.3
2018,Female,Bizkaia,PT,95.9
2023,Female,Bizkaia,PT,99.4
2022,Female,Bizkaia,PT,98.5
2020,Female,Bizkaia,PT,96.9
2019,Female,Bizkaia,PT,97.9
2015,Female,Bizkaia,PT,96.0
2017,Female,Bizkaia,PT,96.1
2011,Female,Bizkaia,PT,93.7
2009,Female,Bizkaia,PT,88.3
2013,Female,Bizkaia,PT,93.4
2010,Female,Bizkaia,PT,89.0
2008,Female,Bizkaia,PT,88.6
2012,Female,Bizkaia,PT,93.8
2016,Female,Bizkaia,PT,96.5
2024,Female,Bizkaia,PT,99.2
2014,Female,Bizkaia,PT,94.0
2021,Female,Bizkaia,PT,97.0
2023,Female,Gipuzkoa,PT,98.9
2018,Female,Gipuzkoa,PT,96.1
2024,Female,Gipuzkoa,PT,99.5
2021,Female,Gipuzkoa,PT,97.6
2019,Female,Gipuzkoa,PT,98.1
2016,Female,Gipuzkoa,PT,93.9
2015,Female,Gipuzkoa,PT,96.4
2014,Female,Gipuzkoa,PT,94.8
2013,Female,Gipuzkoa,PT,95.0
2012,Female,Gipuzkoa,PT,92.6
2011,Female,Gipuzkoa,PT,91.4
2010,Female,Gipuzkoa,PT,89.7
2009,Female,Gipuzkoa,PT,89.2
2008,Female,Gipuzkoa,PT,88.1
2017,Female,Gipuzkoa,PT,95.9
2022,Female,Gipuzkoa,PT,98.2
2020,Female,Gipuzkoa,PT,96.7
2013,Male,,PT,92.5
2017,Male,,PT,96.2
2012,Male,,PT,91.7
2021,Male,,PT,97.0
2008,Male,,PT,87.4
2014,Male,,PT,93.1
2010,Male,,PT,89.9
2024,Male,,PT,99.1
2015,Male,,PT,95.7
2022,Male,,PT,96.9
2018,Male,,PT,95.5
2019,Male,,PT,96.1
2011,Male,,PT,91.0
2023,Male,,PT,98.9
2009,Male,,PT,87.3
2020,Male,,PT,96.7
2016,Male,,PT,96.2
2015,Male,Araba/Álava,PT,95.8
2021,Male,Araba/Álava,PT,97.0
2022,Male,Araba/Álava,PT,97.3
2014,Male,Araba/Álava,PT,94.3
2023,Male,Araba/Álava,PT,97.6
2020,Male,Araba/Álava,PT,96.7
2009,Male,Araba/Álava,PT,84.7
2012,Male,Araba/Álava,PT,90.7
2013,Male,Araba/Álava,PT,91.6
2016,Male,Araba/Álava,PT,98.4
2017,Male,Araba/Álava,PT,99.0
2018,Male,Araba/Álava,PT,96.8
2024,Male,Araba/Álava,PT,99.5
2010,Male,Araba/Álava,PT,89.0
2011,Male,Araba/Álava,PT,91.1
2008,Male,Araba/Álava,PT,87.5
2019,Male,Araba/Álava,PT,96.9
2024,Male,Bizkaia,PT,99.9
2023,Male,Bizkaia,PT,99.2
2022,Male,Bizkaia,PT,96.4
2021,Male,Bizkaia,PT,96.3
2020,Male,Bizkaia,PT,96.9
2019,Male,Bizkaia,PT,96.7
2018,Male,Bizkaia,PT,95.7
2017,Male,Bizkaia,PT,96.6
2016,Male,Bizkaia,PT,96.5
2015,Male,Bizkaia,PT,95.6
2014,Male,Bizkaia,PT,93.5
2013,Male,Bizkaia,PT,93.1
2012,Male,Bizkaia,PT,92.3
2011,Male,Bizkaia,PT,91.8
2010,Male,Bizkaia,PT,90.7
2009,Male,Bizkaia,PT,87.9
2008,Male,Bizkaia,PT,88.4
2010,Male,Gipuzkoa,PT,89.1
2009,Male,Gipuzkoa,PT,87.5
