Year,Series,Category,Units,Value
2015,Proportion of good-quality water bodies,,%,46.8
2022,Proportion of good-quality water bodies,,%,57.1
2018,Proportion of good-quality water bodies,,%,65.8
2019,Proportion of good-quality water bodies,,%,60.9
2021,Proportion of good-quality water bodies,,%,62.4
2016,Proportion of good-quality water bodies,,%,58.2
2023,Proportion of good-quality water bodies,,%,55.7
2020,Proportion of good-quality water bodies,,%,59.4
2017,Proportion of good-quality water bodies,,%,64.4
2024,Proportion of good-quality water bodies,,%,59.6
2020,Proportion of good-quality groundwater bodies,,%,88.9
2024,Proportion of good-quality groundwater bodies,,%,88.9
2017,Proportion of good-quality groundwater bodies,,%,91.7
2023,Proportion of good-quality groundwater bodies,,%,88.9
2019,Proportion of good-quality groundwater bodies,,%,88.9
2016,Proportion of good-quality groundwater bodies,,%,91.7
2015,Proportion of good-quality groundwater bodies,,%,91.7
2018,Proportion of good-quality groundwater bodies,,%,88.9
2021,Proportion of good-quality groundwater bodies,,%,88.9
2022,Proportion of good-quality groundwater bodies,,%,88.9
2019,Proportion of good-quality surface water bodies,Coastal waters,%,100.0
2016,Proportion of good-quality surface water bodies,Coastal waters,%,100.0
2023,Proportion of good-quality surface water bodies,Coastal waters,%,100.0
2018,Proportion of good-quality surface water bodies,,%,60.8
2017,Proportion of good-quality surface water bodies,Coastal waters,%,100.0
2023,Proportion of good-quality surface water bodies,,%,48.5
2016,Proportion of good-quality surface water bodies,Transition waters,%,42.9
2021,Proportion of good-quality surface water bodies,Coastal waters,%,100.0
2020,Proportion of good-quality surface water bodies,Coastal waters,%,100.0
2015,Proportion of good-quality surface water bodies,Coastal waters,%,75.0
2018,Proportion of good-quality surface water bodies,Rivers,%,60.6
2020,Proportion of good-quality surface water bodies,,%,53.0
2021,Proportion of good-quality surface water bodies,,%,56.6
2024,Proportion of good-quality surface water bodies,,%,53.3
2017,Proportion of good-quality surface water bodies,Rivers,%,57.5
2019,Proportion of good-quality surface water bodies,Rivers,%,52.8
2022,Proportion of good-quality surface water bodies,Rivers,%,45.3
2021,Proportion of good-quality surface water bodies,Rivers,%,55.1
2022,Proportion of good-quality surface water bodies,,%,50.3
2017,Proportion of good-quality surface water bodies,,%,58.4
2020,Proportion of good-quality surface water bodies,Rivers,%,48.0
2024,Proportion of good-quality surface water bodies,Rivers,%,48.4
2023,Proportion of good-quality surface water bodies,Rivers,%,43.0
2015,Proportion of good-quality surface water bodies,Rivers,%,35.3
2018,Proportion of good-quality surface water bodies,Coastal waters,%,100.0
2016,Proportion of good-quality surface water bodies,Rivers,%,49.6
2016,Proportion of good-quality surface water bodies,,%,50.6
2020,Proportion of good-quality surface water bodies,Lakes and wetlands,%,22.2
2018,Proportion of good-quality surface water bodies,Reservoirs,%,100.0
2022,Proportion of good-quality surface water bodies,Coastal waters,%,100.0
2015,Proportion of good-quality surface water bodies,Reservoirs,%,100.0
2015,Proportion of good-quality surface water bodies,Lakes and wetlands,%,22.2
2022,Proportion of good-quality surface water bodies,Reservoirs,%,91.7
2024,Proportion of good-quality surface water bodies,Coastal waters,%,100.0
2015,Proportion of good-quality surface water bodies,Transition waters,%,21.4
2021,Proportion of good-quality surface water bodies,Lakes and wetlands,%,22.2
2018,Proportion of good-quality surface water bodies,Transition waters,%,50.0
2021,Proportion of good-quality surface water bodies,Reservoirs,%,100.0
2023,Proportion of good-quality surface water bodies,Reservoirs,%,91.7
2022,Proportion of good-quality surface water bodies,Lakes and wetlands,%,33.3
2020,Proportion of good-quality surface water bodies,Reservoirs,%,91.7
2022,Proportion of good-quality surface water bodies,Transition waters,%,57.1
2018,Proportion of good-quality surface water bodies,Lakes and wetlands,%,11.1
2016,Proportion of good-quality surface water bodies,Reservoirs,%,75.0
2017,Proportion of good-quality surface water bodies,Transition waters,%,50.0
2017,Proportion of good-quality surface water bodies,Lakes and wetlands,%,11.1
2020,Proportion of good-quality surface water bodies,Transition waters,%,71.4
2019,Proportion of good-quality surface water bodies,Lakes and wetlands,%,11.1
2019,Proportion of good-quality surface water bodies,Reservoirs,%,100.0
2017,Proportion of good-quality surface water bodies,Reservoirs,%,100.0
2023,Proportion of good-quality surface water bodies,Lakes and wetlands,%,33.3
2024,Proportion of good-quality surface water bodies,Reservoirs,%,91.7
2019,Proportion of good-quality surface water bodies,Transition waters,%,50.0
2024,Proportion of good-quality surface water bodies,Lakes and wetlands,%,44.4
2023,Proportion of good-quality surface water bodies,Transition waters,%,57.1
2021,Proportion of good-quality surface water bodies,Transition waters,%,42.9
2015,Proportion of good-quality surface water bodies,,%,36.0
2019,Proportion of good-quality surface water bodies,,%,54.8
2016,Proportion of good-quality surface water bodies,Lakes and wetlands,%,22.2
2024,Proportion of good-quality surface water bodies,Transition waters,%,57.1
