Year,Series,Edad,Sexo,EmpCont,Territorio,Comarca,Municipio,Units,GeoCode,Value
2020,EU_EMP_LFS,Y_GE16,,,,,,PT,,50.8
2010,EU_EMP_LFS,Y_GE16,,,,,,PT,,50.1
2019,EU_EMP_LFS,Y_GE16,,,,,,PT,,50.6
2022,EU_EMP_LFS,Y_GE16,,,,,,PT,,51.3
2015,EU_EMP_LFS,Y_GE16,,,,,,PT,,48.7
2016,EU_EMP_LFS,Y_GE16,,,,,,PT,,48.5
2021,EU_EMP_LFS,Y_GE16,,,,,,PT,,49.7
2018,EU_EMP_LFS,Y_GE16,,,,,,PT,,50.1
2023,EU_EMP_LFS,Y_GE16,,,,,,PT,,52.2
2020,EU_EMP_LFS,Y_GE16,,,,,ES48001,PT,ES48001,54.2
2019,EU_EMP_LFS,Y_GE16,,,,,ES48001,PT,ES48001,54.4
2016,EU_EMP_LFS,Y_GE16,,,,,ES48001,PT,ES48001,53.9
2018,EU_EMP_LFS,Y_GE16,,,,,ES48001,PT,ES48001,54.4
2010,EU_EMP_LFS,Y_GE16,,,,,ES48001,PT,ES48001,53.6
2015,EU_EMP_LFS,Y_GE16,,,,,ES48001,PT,ES48001,53.5
2021,EU_EMP_LFS,Y_GE16,,,,,ES48001,PT,ES48001,52.8
2022,EU_EMP_LFS,Y_GE16,,,,,ES48001,PT,ES48001,54.0
2023,EU_EMP_LFS,Y_GE16,,,,,ES48001,PT,ES48001,54.9
2015,EU_EMP_LFS,Y_GE16,,,,,ES20001,PT,ES20001,56.0
2022,EU_EMP_LFS,Y_GE16,,,,,ES20001,PT,ES20001,61.7
2010,EU_EMP_LFS,Y_GE16,,,,,ES20001,PT,ES20001,58.3
2016,EU_EMP_LFS,Y_GE16,,,,,ES20001,PT,ES20001,54.2
2019,EU_EMP_LFS,Y_GE16,,,,,ES20001,PT,ES20001,58.2
2023,EU_EMP_LFS,Y_GE16,,,,,ES20001,PT,ES20001,58.9
2021,EU_EMP_LFS,Y_GE16,,,,,ES20001,PT,ES20001,60.8
2020,EU_EMP_LFS,Y_GE16,,,,,ES20001,PT,ES20001,63.0
2018,EU_EMP_LFS,Y_GE16,,,,,ES20001,PT,ES20001,55.4
2016,EU_EMP_LFS,Y_GE16,,,,,ES48002,PT,ES48002,49.2
2018,EU_EMP_LFS,Y_GE16,,,,,ES48002,PT,ES48002,50.7
2022,EU_EMP_LFS,Y_GE16,,,,,ES48002,PT,ES48002,52.1
2010,EU_EMP_LFS,Y_GE16,,,,,ES48002,PT,ES48002,51.8
2023,EU_EMP_LFS,Y_GE16,,,,,ES48002,PT,ES48002,53.7
2021,EU_EMP_LFS,Y_GE16,,,,,ES48002,PT,ES48002,50.3
2020,EU_EMP_LFS,Y_GE16,,,,,ES48002,PT,ES48002,51.5
2019,EU_EMP_LFS,Y_GE16,,,,,ES48002,PT,ES48002,51.8
2015,EU_EMP_LFS,Y_GE16,,,,,ES48002,PT,ES48002,49.5
2023,EU_EMP_LFS,Y_GE16,,,,,ES20002,PT,ES20002,67.3
2021,EU_EMP_LFS,Y_GE16,,,,,ES20002,PT,ES20002,67.0
2019,EU_EMP_LFS,Y_GE16,,,,,ES20002,PT,ES20002,65.3
2018,EU_EMP_LFS,Y_GE16,,,,,ES20002,PT,ES20002,65.0
2016,EU_EMP_LFS,Y_GE16,,,,,ES20002,PT,ES20002,62.5
2010,EU_EMP_LFS,Y_GE16,,,,,ES20002,PT,ES20002,62.9
2022,EU_EMP_LFS,Y_GE16,,,,,ES20002,PT,ES20002,65.7
2015,EU_EMP_LFS,Y_GE16,,,,,ES20002,PT,ES20002,61.4
2020,EU_EMP_LFS,Y_GE16,,,,,ES20002,PT,ES20002,65.4
2019,EU_EMP_LFS,Y_GE16,,,,,ES01051,PT,ES01051,53.0
2016,EU_EMP_LFS,Y_GE16,,,,,ES01051,PT,ES01051,52.8
2020,EU_EMP_LFS,Y_GE16,,,,,ES01051,PT,ES01051,53.6
