Year,Series,Sexo,Edad,Territorio,Units,Value
2010,SL_TLF_NEET_19ICLS,,Y15T24,,PT,10.9
2018,SL_TLF_NEET_19ICLS,,Y15T24,,PT,8.7
2020,SL_TLF_NEET_19ICLS,,Y15T24,,PT,8.5
2016,SL_TLF_NEET_19ICLS,,Y15T24,,PT,9.2
2022,SL_TLF_NEET_19ICLS,,Y15T24,,PT,8.6
2017,SL_TLF_NEET_19ICLS,,Y15T24,,PT,9.4
2015,SL_TLF_NEET_19ICLS,,Y15T24,,PT,8.2
2019,SL_TLF_NEET_19ICLS,,Y15T24,,PT,8.0
2011,SL_TLF_NEET_19ICLS,,Y15T24,,PT,10.9
2013,SL_TLF_NEET_19ICLS,,Y15T24,,PT,13.2
2014,SL_TLF_NEET_19ICLS,,Y15T24,,PT,9.9
2012,SL_TLF_NEET_19ICLS,,Y15T24,,PT,11.6
2023,SL_TLF_NEET_19ICLS,,Y15T24,,PT,7.9
2021,SL_TLF_NEET_19ICLS,,Y15T24,,PT,7.9
2015,SL_TLF_NEET_19ICLS,,Y15T24,ES211,PT,8.2
2022,SL_TLF_NEET_19ICLS,,Y15T24,ES211,PT,8.6
2017,SL_TLF_NEET_19ICLS,,Y15T24,ES211,PT,12.0
2010,SL_TLF_NEET_19ICLS,,Y15T24,ES211,PT,12.7
2020,SL_TLF_NEET_19ICLS,,Y15T24,ES211,PT,9.5
2021,SL_TLF_NEET_19ICLS,,Y15T24,ES211,PT,7.6
2016,SL_TLF_NEET_19ICLS,,Y15T24,ES211,PT,8.5
2013,SL_TLF_NEET_19ICLS,,Y15T24,ES211,PT,13.6
2012,SL_TLF_NEET_19ICLS,,Y15T24,ES211,PT,13.0
2014,SL_TLF_NEET_19ICLS,,Y15T24,ES211,PT,9.4
2011,SL_TLF_NEET_19ICLS,,Y15T24,ES211,PT,12.6
2019,SL_TLF_NEET_19ICLS,,Y15T24,ES211,PT,9.1
2018,SL_TLF_NEET_19ICLS,,Y15T24,ES211,PT,8.7
2023,SL_TLF_NEET_19ICLS,,Y15T24,ES211,PT,8.9
2018,SL_TLF_NEET_19ICLS,,Y15T24,ES213,PT,9.4
2013,SL_TLF_NEET_19ICLS,,Y15T24,ES213,PT,13.4
2014,SL_TLF_NEET_19ICLS,,Y15T24,ES213,PT,10.7
2010,SL_TLF_NEET_19ICLS,,Y15T24,ES213,PT,11.4
2011,SL_TLF_NEET_19ICLS,,Y15T24,ES213,PT,11.2
2022,SL_TLF_NEET_19ICLS,,Y15T24,ES213,PT,10.3
2016,SL_TLF_NEET_19ICLS,,Y15T24,ES213,PT,9.6
2012,SL_TLF_NEET_19ICLS,,Y15T24,ES213,PT,11.2
2019,SL_TLF_NEET_19ICLS,,Y15T24,ES213,PT,8.5
2015,SL_TLF_NEET_19ICLS,,Y15T24,ES213,PT,8.3
2017,SL_TLF_NEET_19ICLS,,Y15T24,ES213,PT,8.6
2021,SL_TLF_NEET_19ICLS,,Y15T24,ES213,PT,8.4
2020,SL_TLF_NEET_19ICLS,,Y15T24,ES213,PT,9.2
2023,SL_TLF_NEET_19ICLS,,Y15T24,ES213,PT,8.7
2010,SL_TLF_NEET_19ICLS,,Y15T24,ES212,PT,9.3
2018,SL_TLF_NEET_19ICLS,,Y15T24,ES212,PT,7.6
2017,SL_TLF_NEET_19ICLS,,Y15T24,ES212,PT,9.6
2016,SL_TLF_NEET_19ICLS,,Y15T24,ES212,PT,8.8
2015,SL_TLF_NEET_19ICLS,,Y15T24,ES212,PT,8.1
2021,SL_TLF_NEET_19ICLS,,Y15T24,ES212,PT,7.5
2011,SL_TLF_NEET_19ICLS,,Y15T24,ES212,PT,9.5
2019,SL_TLF_NEET_19ICLS,,Y15T24,ES212,PT,7.0
2023,SL_TLF_NEET_19ICLS,,Y15T24,ES212,PT,6.3
2020,SL_TLF_NEET_19ICLS,,Y15T24,ES212,PT,7.1
2014,SL_TLF_NEET_19ICLS,,Y15T24,ES212,PT,9.0
2012,SL_TLF_NEET_19ICLS,,Y15T24,ES212,PT,11.4
2022,SL_TLF_NEET_19ICLS,,Y15T24,ES212,PT,6.1
2013,SL_TLF_NEET_19ICLS,,Y15T24,ES212,PT,12.8
2020,SL_TLF_NEET_19ICLS,F,Y15T24,,PT,8.5
2013,SL_TLF_NEET_19ICLS,F,Y15T24,,PT,13.0
2016,SL_TLF_NEET_19ICLS,F,Y15T24,,PT,9.2
2010,SL_TLF_NEET_19ICLS,F,Y15T24,,PT,9.6
2011,SL_TLF_NEET_19ICLS,F,Y15T24,,PT,9.7
2014,SL_TLF_NEET_19ICLS,F,Y15T24,,PT,9.3
2023,SL_TLF_NEET_19ICLS,F,Y15T24,,PT,8.4
2012,SL_TLF_NEET_19ICLS,F,Y15T24,,PT,11.1
2015,SL_TLF_NEET_19ICLS,F,Y15T24,,PT,7.9
2017,SL_TLF_NEET_19ICLS,F,Y15T24,,PT,9.6
2022,SL_TLF_NEET_19ICLS,F,Y15T24,,PT,7.9
2021,SL_TLF_NEET_19ICLS,F,Y15T24,,PT,7.3
2019,SL_TLF_NEET_19ICLS,F,Y15T24,,PT,8.3
2018,SL_TLF_NEET_19ICLS,F,Y15T24,,PT,9.2
2011,SL_TLF_NEET_19ICLS,F,Y15T24,ES211,PT,11.1
2016,SL_TLF_NEET_19ICLS,F,Y15T24,ES211,PT,9.8
2022,SL_TLF_NEET_19ICLS,F,Y15T24,ES211,PT,7.6
2012,SL_TLF_NEET_19ICLS,F,Y15T24,ES211,PT,12.4
2020,SL_TLF_NEET_19ICLS,F,Y15T24,ES211,PT,7.3
2019,SL_TLF_NEET_19ICLS,F,Y15T24,ES211,PT,6.0
2021,SL_TLF_NEET_19ICLS,F,Y15T24,ES211,PT,7.2
2023,SL_TLF_NEET_19ICLS,F,Y15T24,ES211,PT,11.3
2010,SL_TLF_NEET_19ICLS,F,Y15T24,ES211,PT,12.2
2013,SL_TLF_NEET_19ICLS,F,Y15T24,ES211,PT,13.6
2017,SL_TLF_NEET_19ICLS,F,Y15T24,ES211,PT,11.8
2014,SL_TLF_NEET_19ICLS,F,Y15T24,ES211,PT,10.6
2015,SL_TLF_NEET_19ICLS,F,Y15T24,ES211,PT,7.6
2018,SL_TLF_NEET_19ICLS,F,Y15T24,ES211,PT,8.6
2012,SL_TLF_NEET_19ICLS,F,Y15T24,ES213,PT,10.6
2016,SL_TLF_NEET_19ICLS,F,Y15T24,ES213,PT,8.5
2022,SL_TLF_NEET_19ICLS,F,Y15T24,ES213,PT,9.2
2018,SL_TLF_NEET_19ICLS,F,Y15T24,ES213,PT,10.4
2014,SL_TLF_NEET_19ICLS,F,Y15T24,ES213,PT,9.3
2010,SL_TLF_NEET_19ICLS,F,Y15T24,ES213,PT,10.0
2011,SL_TLF_NEET_19ICLS,F,Y15T24,ES213,PT,9.5
2015,SL_TLF_NEET_19ICLS,F,Y15T24,ES213,PT,7.3
2019,SL_TLF_NEET_19ICLS,F,Y15T24,ES213,PT,10.2
2017,SL_TLF_NEET_19ICLS,F,Y15T24,ES213,PT,9.2
2020,SL_TLF_NEET_19ICLS,F,Y15T24,ES213,PT,9.9
2021,SL_TLF_NEET_19ICLS,F,Y15T24,ES213,PT,7.6
2023,SL_TLF_NEET_19ICLS,F,Y15T24,ES213,PT,9.2
2013,SL_TLF_NEET_19ICLS,F,Y15T24,ES213,PT,13.0
2015,SL_TLF_NEET_19ICLS,F,Y15T24,ES212,PT,9.0
2019,SL_TLF_NEET_19ICLS,F,Y15T24,ES212,PT,6.2
2016,SL_TLF_NEET_19ICLS,F,Y15T24,ES212,PT,10.1
2020,SL_TLF_NEET_19ICLS,F,Y15T24,ES212,PT,6.8
2018,SL_TLF_NEET_19ICLS,F,Y15T24,ES212,PT,7.7
2021,SL_TLF_NEET_19ICLS,F,Y15T24,ES212,PT,6.9
2022,SL_TLF_NEET_19ICLS,F,Y15T24,ES212,PT,6.1
2014,SL_TLF_NEET_19ICLS,F,Y15T24,ES212,PT,8.6
2023,SL_TLF_NEET_19ICLS,F,Y15T24,ES212,PT,6.2
2017,SL_TLF_NEET_19ICLS,F,Y15T24,ES212,PT,9.3
2013,SL_TLF_NEET_19ICLS,F,Y15T24,ES212,PT,12.7
2012,SL_TLF_NEET_19ICLS,F,Y15T24,ES212,PT,11.0
2010,SL_TLF_NEET_19ICLS,F,Y15T24,ES212,PT,7.9
2011,SL_TLF_NEET_19ICLS,F,Y15T24,ES212,PT,9.5
2015,SL_TLF_NEET_19ICLS,M,Y15T24,,PT,8.5
2018,SL_TLF_NEET_19ICLS,M,Y15T24,,PT,8.2
2011,SL_TLF_NEET_19ICLS,M,Y15T24,,PT,11.9
2020,SL_TLF_NEET_19ICLS,M,Y15T24,,PT,8.6
2010,SL_TLF_NEET_19ICLS,M,Y15T24,,PT,12.1
2021,SL_TLF_NEET_19ICLS,M,Y15T24,,PT,8.6
2012,SL_TLF_NEET_19ICLS,M,Y15T24,,PT,12.0
2017,SL_TLF_NEET_19ICLS,M,Y15T24,,PT,9.3
2014,SL_TLF_NEET_19ICLS,M,Y15T24,,PT,10.5
2013,SL_TLF_NEET_19ICLS,M,Y15T24,,PT,13.4
2023,SL_TLF_NEET_19ICLS,M,Y15T24,,PT,7.4
2016,SL_TLF_NEET_19ICLS,M,Y15T24,,PT,9.1
