Year,Sex,Province,Units,Value
2019,,,PT,20.5
2021,,,PT,20.0
2023,,,PT,18.9
2020,,,PT,20.5
2022,,,PT,19.2
2010,,,PT,22.9
2016,,,PT,19.8
2013,,,PT,21.1
2014,,,PT,20.5
2017,,,PT,20.3
2015,,,PT,19.7
2011,,,PT,22.8
2012,,,PT,22.3
2018,,,PT,20.9
2010,,Araba/Álava,PT,28.0
2017,,Araba/Álava,PT,24.9
2019,,Araba/Álava,PT,24.5
2013,,Araba/Álava,PT,24.4
2012,,Araba/Álava,PT,27.1
2016,,Araba/Álava,PT,27.5
2023,,Araba/Álava,PT,23.4
2011,,Araba/Álava,PT,27.5
2018,,Araba/Álava,PT,23.5
2022,,Araba/Álava,PT,24.7
2014,,Araba/Álava,PT,23.7
2015,,Araba/Álava,PT,27.3
2020,,Araba/Álava,PT,25.3
2021,,Araba/Álava,PT,25.3
2011,,Bizkaia,PT,18.8
2012,,Bizkaia,PT,18.9
2013,,Bizkaia,PT,18.3
2016,,Bizkaia,PT,15.9
2022,,Bizkaia,PT,14.9
2019,,Bizkaia,PT,15.8
2014,,Bizkaia,PT,17.8
2023,,Bizkaia,PT,14.6
2020,,Bizkaia,PT,15.8
2018,,Bizkaia,PT,17.3
2010,,Bizkaia,PT,18.6
2015,,Bizkaia,PT,15.7
2021,,Bizkaia,PT,15.8
2017,,Bizkaia,PT,17.4
2017,,Gipuzkoa,PT,22.7
2018,,Gipuzkoa,PT,25.2
2022,,Gipuzkoa,PT,23.4
2013,,Gipuzkoa,PT,24.1
2021,,Gipuzkoa,PT,24.1
2010,,Gipuzkoa,PT,27.1
2019,,Gipuzkoa,PT,25.9
2015,,Gipuzkoa,PT,22.3
2016,,Gipuzkoa,PT,22.4
2011,,Gipuzkoa,PT,26.9
2012,,Gipuzkoa,PT,25.3
2020,,Gipuzkoa,PT,25.5
2023,,Gipuzkoa,PT,23.5
2014,,Gipuzkoa,PT,23.1
2016,Female,,PT,8.6
2015,Female,,PT,8.8
