Year,Value,Units,GeoCode
2018,0.18,"Per 100,000 inhabitants",
2019,0.09,"Per 100,000 inhabitants",
2020,0.05,"Per 100,000 inhabitants",
2017,0.23,"Per 100,000 inhabitants",
2012,0.0,"Per 100,000 inhabitants",
2011,0.14,"Per 100,000 inhabitants",
2015,0.09,"Per 100,000 inhabitants",
2016,0.14,"Per 100,000 inhabitants",
2010,0.18,"Per 100,000 inhabitants",
2013,0.14,"Per 100,000 inhabitants",
2022,0.27,"Per 100,000 inhabitants",
2023,0.09,"Per 100,000 inhabitants",
2014,0.05,"Per 100,000 inhabitants",
2021,0.0,"Per 100,000 inhabitants",
