Year,Value,Units,Series
2015,36.4,%,Proportion of municipal waste recycled
2016,38.0,%,Proportion of municipal waste recycled
2019,44.7,%,Proportion of municipal waste recycled
2013,28.2,%,Proportion of municipal waste recycled
2018,41.5,%,Proportion of municipal waste recycled
2010,24.7,%,Proportion of municipal waste recycled
2020,47.2,%,Proportion of municipal waste recycled
2011,25.6,%,Proportion of municipal waste recycled
2014,33.3,%,Proportion of municipal waste recycled
2017,39.3,%,Proportion of municipal waste recycled
2012,28.5,%,Proportion of municipal waste recycled
