Year,Value,Units,Series
2016,19.2,Kg per hectare,Ammonia emissions from agriculture and livestock per hectare
2019,18.4,Kg per hectare,Ammonia emissions from agriculture and livestock per hectare
2020,18.5,Kg per hectare,Ammonia emissions from agriculture and livestock per hectare
2013,18.6,Kg per hectare,Ammonia emissions from agriculture and livestock per hectare
2021,18.1,Kg per hectare,Ammonia emissions from agriculture and livestock per hectare
2015,19.1,Kg per hectare,Ammonia emissions from agriculture and livestock per hectare
2018,18.2,Kg per hectare,Ammonia emissions from agriculture and livestock per hectare
2017,19.2,Kg per hectare,Ammonia emissions from agriculture and livestock per hectare
2011,18.6,Kg per hectare,Ammonia emissions from agriculture and livestock per hectare
2012,19.2,Kg per hectare,Ammonia emissions from agriculture and livestock per hectare
2010,19.6,Kg per hectare,Ammonia emissions from agriculture and livestock per hectare
2014,19.3,Kg per hectare,Ammonia emissions from agriculture and livestock per hectare
2022,18.0,Kg per hectare,Ammonia emissions from agriculture and livestock per hectare
2016,4.2,Kilotons,Ammonia emissions from agriculture and livestock
2013,4.1,Kilotons,Ammonia emissions from agriculture and livestock
2022,4.0,Kilotons,Ammonia emissions from agriculture and livestock
2017,4.3,Kilotons,Ammonia emissions from agriculture and livestock
2019,4.1,Kilotons,Ammonia emissions from agriculture and livestock
2014,4.3,Kilotons,Ammonia emissions from agriculture and livestock
2020,4.1,Kilotons,Ammonia emissions from agriculture and livestock
2012,4.2,Kilotons,Ammonia emissions from agriculture and livestock
2011,4.1,Kilotons,Ammonia emissions from agriculture and livestock
2021,4.0,Kilotons,Ammonia emissions from agriculture and livestock
2010,4.3,Kilotons,Ammonia emissions from agriculture and livestock
2018,4.0,Kilotons,Ammonia emissions from agriculture and livestock
2015,4.2,Kilotons,Ammonia emissions from agriculture and livestock
