Year,Value,Units
2011,3.7,"Per 100,000 inhabitants"
2010,4.1,"Per 100,000 inhabitants"
2020,2.7,"Per 100,000 inhabitants"
2014,2.6,"Per 100,000 inhabitants"
2013,3.7,"Per 100,000 inhabitants"
2024,2.8,"Per 100,000 inhabitants"
2021,2.9,"Per 100,000 inhabitants"
2019,3.1,"Per 100,000 inhabitants"
2023,3.0,"Per 100,000 inhabitants"
2016,3.8,"Per 100,000 inhabitants"
2015,3.5,"Per 100,000 inhabitants"
2018,2.8,"Per 100,000 inhabitants"
2012,4.0,"Per 100,000 inhabitants"
2017,3.1,"Per 100,000 inhabitants"
2022,3.7,"Per 100,000 inhabitants"
