Year,Value,Units,Series
2014,1.39,Millions of euros,Official Development Assistance to medical research and basic heath sectors (total gross disbursement)
2015,1.16,Millions of euros,Official Development Assistance to medical research and basic heath sectors (total gross disbursement)
2016,1.35,Millions of euros,Official Development Assistance to medical research and basic heath sectors (total gross disbursement)
2017,1.75,Millions of euros,Official Development Assistance to medical research and basic heath sectors (total gross disbursement)
2018,1.2,Millions of euros,Official Development Assistance to medical research and basic heath sectors (total gross disbursement)
2019,0.59,Millions of euros,Official Development Assistance to medical research and basic heath sectors (total gross disbursement)
2020,0.43,Millions of euros,Official Development Assistance to medical research and basic heath sectors (total gross disbursement)
2021,1.25,Millions of euros,Official Development Assistance to medical research and basic heath sectors (total gross disbursement)
2022,1.43,Millions of euros,Official Development Assistance to medical research and basic heath sectors (total gross disbursement)
2023,1.02,Millions of euros,Official Development Assistance to medical research and basic heath sectors (total gross disbursement)
2024,1.04,Millions of euros,Official Development Assistance to medical research and basic heath sectors (total gross disbursement)
