Year,Value,Units
2018,164.2,"Per 10,000 inhabitants"
2013,150.8,"Per 10,000 inhabitants"
2011,147.2,"Per 10,000 inhabitants"
2023,187.6,"Per 10,000 inhabitants"
2015,156.7,"Per 10,000 inhabitants"
2022,176.4,"Per 10,000 inhabitants"
2016,159.5,"Per 10,000 inhabitants"
2021,173.2,"Per 10,000 inhabitants"
2017,161.6,"Per 10,000 inhabitants"
2024,188.3,"Per 10,000 inhabitants"
2014,154.1,"Per 10,000 inhabitants"
2010,143.5,"Per 10,000 inhabitants"
2012,149.0,"Per 10,000 inhabitants"
2020,170.3,"Per 10,000 inhabitants"
2019,167.0,"Per 10,000 inhabitants"
