Year,Value,Units,Series
2009,33.2,%,"Proportion of women among owners or holders of rights to agricultural land, by tenure type"
2009,54.5,%,Proportion of the total agricultural population with property rights or secure rights to agricultural land
2016,51.7,%,Proportion of the total agricultural population with property rights or secure rights to agricultural land
2020,30.6,%,"Proportion of women among owners or holders of rights to agricultural land, by tenure type"
2023,43.2,%,Proportion of the total agricultural population with property rights or secure rights to agricultural land
2016,38.2,%,"Proportion of women among owners or holders of rights to agricultural land, by tenure type"
2023,32.9,%,"Proportion of women among owners or holders of rights to agricultural land, by tenure type"
2020,47.9,%,Proportion of the total agricultural population with property rights or secure rights to agricultural land
2013,57.5,%,Proportion of the total agricultural population with property rights or secure rights to agricultural land
2013,37.4,%,"Proportion of women among owners or holders of rights to agricultural land, by tenure type"
