Year,Value,Units,Series
2017,100,PT,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in drinking water management
2019,100,PT,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in drinking water management
2018,100,PT,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in drinking water management
2015,100,PT,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in drinking water management
2022,100,PT,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in drinking water management
2013,100,PT,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in drinking water management
2021,100,PT,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in drinking water management
2023,100,PT,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in drinking water management
2014,100,PT,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in drinking water management
2011,100,PT,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in drinking water management
2020,100,PT,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in drinking water management
2016,100,PT,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in drinking water management
2012,100,PT,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in drinking water management
2010,100,PT,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in drinking water management
2024,100,PT,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in drinking water management
2017,100,PT,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in bathing water management
2020,100,PT,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in bathing water management
2011,100,PT,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in bathing water management
2016,100,PT,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in bathing water management
2014,100,PT,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in bathing water management
2023,100,PT,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in bathing water management
2022,100,PT,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in bathing water management
2010,100,PT,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in bathing water management
2018,100,PT,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in bathing water management
2024,100,PT,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in bathing water management
2015,100,PT,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in bathing water management
2021,100,PT,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in bathing water management
2019,100,PT,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in bathing water management
2012,100,PT,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in bathing water management
2013,100,PT,Proportion of local administrative units that have established operational policies and procedures for the participation of local communities in bathing water management
