Year,Value,Units,Series
2018,99.97,PT,Proportion of households covered by 3.5G mobile networks
2014,99.4,PT,Proportion of households covered by 3.5G mobile networks
2016,99.85,PT,Proportion of households covered by 3.5G mobile networks
2013,99.5,PT,Proportion of households covered by 3.5G mobile networks
2017,99.96,PT,Proportion of households covered by 3.5G mobile networks
2015,99.89,PT,Proportion of households covered by 3.5G mobile networks
2020,99.99,PT,Proportion of households covered by 3.5G mobile networks
2012,96.6,PT,Proportion of households covered by 3.5G mobile networks
2019,99.97,PT,Proportion of households covered by 3.5G mobile networks
2020,99.98,PT,Proportion of households covered by 4G mobile networks
2022,99.97,PT,Proportion of households covered by 4G mobile networks
2019,99.95,PT,Proportion of households covered by 4G mobile networks
2017,99.01,PT,Proportion of households covered by 4G mobile networks
2015,79.64,PT,Proportion of households covered by 4G mobile networks
2014,55.1,PT,Proportion of households covered by 4G mobile networks
2021,99.99,PT,Proportion of households covered by 4G mobile networks
2016,93.46,PT,Proportion of households covered by 4G mobile networks
2018,99.89,PT,Proportion of households covered by 4G mobile networks
2021,66.8,PT,Proportion of households covered by 5G mobile networks
2022,84.6,PT,Proportion of households covered by 5G mobile networks
2023,95.8,PT,Proportion of households covered by 5G mobile networks
