Year,Series,Sexo,Territorio histórico,Units,Value
2022,Proporción de personas desempleadas que reciben prestaciones por desempleo,,,Porcentaje,61.3
2024,Proporción de personas desempleadas que reciben prestaciones por desempleo,,,Porcentaje,70.0
2020,Proporción de personas desempleadas que reciben prestaciones por desempleo,,,Porcentaje,92.6
2018,Proporción de personas desempleadas que reciben prestaciones por desempleo,,,Porcentaje,46.7
2021,Proporción de personas desempleadas que reciben prestaciones por desempleo,,,Porcentaje,59.1
2019,Proporción de personas desempleadas que reciben prestaciones por desempleo,,,Porcentaje,53.5
2017,Proporción de personas desempleadas que reciben prestaciones por desempleo,,,Porcentaje,45.7
2023,Proporción de personas desempleadas que reciben prestaciones por desempleo,,,Porcentaje,66.4
2020,Proporción de personas desempleadas que reciben prestaciones por desempleo,,Araba/Álava,Porcentaje,92.4
2023,Proporción de personas desempleadas que reciben prestaciones por desempleo,,Araba/Álava,Porcentaje,69.0
2021,Proporción de personas desempleadas que reciben prestaciones por desempleo,,Araba/Álava,Porcentaje,56.7
2018,Proporción de personas desempleadas que reciben prestaciones por desempleo,,Araba/Álava,Porcentaje,44.4
2017,Proporción de personas desempleadas que reciben prestaciones por desempleo,,Araba/Álava,Porcentaje,46.0
2024,Proporción de personas desempleadas que reciben prestaciones por desempleo,,Araba/Álava,Porcentaje,71.3
2019,Proporción de personas desempleadas que reciben prestaciones por desempleo,,Araba/Álava,Porcentaje,50.5
2022,Proporción de personas desempleadas que reciben prestaciones por desempleo,,Araba/Álava,Porcentaje,57.0
2024,Proporción de personas desempleadas que reciben prestaciones por desempleo,,Bizkaia,Porcentaje,65.7
2020,Proporción de personas desempleadas que reciben prestaciones por desempleo,,Bizkaia,Porcentaje,84.7
2023,Proporción de personas desempleadas que reciben prestaciones por desempleo,,Bizkaia,Porcentaje,64.7
2018,Proporción de personas desempleadas que reciben prestaciones por desempleo,,Bizkaia,Porcentaje,43.3
2019,Proporción de personas desempleadas que reciben prestaciones por desempleo,,Bizkaia,Porcentaje,49.7
2021,Proporción de personas desempleadas que reciben prestaciones por desempleo,,Bizkaia,Porcentaje,56.4
2022,Proporción de personas desempleadas que reciben prestaciones por desempleo,,Bizkaia,Porcentaje,61.2
2017,Proporción de personas desempleadas que reciben prestaciones por desempleo,,Bizkaia,Porcentaje,42.8
