Year,Series,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2012,Proporción de municipios que disponen de un plan municipal de emergencias,,,,%,,33.73
2014,Proporción de municipios que disponen de un plan municipal de emergencias,,,,%,,34.13
2023,Proporción de municipios que disponen de un plan municipal de emergencias,,,,%,,34.52
2019,Proporción de municipios que disponen de un plan municipal de emergencias,,,,%,,34.13
2024,Proporción de municipios que disponen de un plan municipal de emergencias,,,,%,,35.32
2017,Proporción de municipios que disponen de un plan municipal de emergencias,,,,%,,34.13
2015,Proporción de municipios que disponen de un plan municipal de emergencias,,,,%,,34.13
2016,Proporción de municipios que disponen de un plan municipal de emergencias,,,,%,,34.13
2022,Proporción de municipios que disponen de un plan municipal de emergencias,,,,%,,34.52
2018,Proporción de municipios que disponen de un plan municipal de emergencias,,,,%,,34.13
2020,Proporción de municipios que disponen de un plan municipal de emergencias,,,,%,,34.13
2013,Proporción de municipios que disponen de un plan municipal de emergencias,,,,%,,33.73
2021,Proporción de municipios que disponen de un plan municipal de emergencias,,,,%,,34.52
2011,Proporción de municipios que disponen de un plan municipal de emergencias,,,,%,,33.73
2010,Proporción de municipios que disponen de un plan municipal de emergencias,,,,%,,33.73
2017,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abadiño,%,Abadiño,100.0
2011,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abadiño,%,Abadiño,100.0
2016,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abadiño,%,Abadiño,100.0
2021,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abadiño,%,Abadiño,100.0
2020,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abadiño,%,Abadiño,100.0
2015,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abadiño,%,Abadiño,100.0
2019,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abadiño,%,Abadiño,100.0
2022,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abadiño,%,Abadiño,100.0
2012,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abadiño,%,Abadiño,100.0
2024,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abadiño,%,Abadiño,100.0
2013,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abadiño,%,Abadiño,100.0
2010,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abadiño,%,Abadiño,100.0
